_id,date,total_reservation,total_people
r_202,2026-04-04,59,118
r_203,2026-04-05,52,208
r_204,2026-04-06,34,102
r_205,2026-04-07,28,56
r_206,2026-04-08,31,62
r_207,2026-04-09,38,152
r_208,2026-04-10,22,66
r_209,2026-04-11,61,122
r_210,2026-04-12,57,228
r_211,2026-04-13,27,54
r_212,2026-04-14,30,90
r_213,2026-04-15,24,48
r_214,2026-04-16,26,78
r_215,2026-04-17,22,66
r_216,2026-04-18,50,200
r_217,2026-04-19,50,150
r_218,2026-04-20,28,56
r_219,2026-04-21,27,54
r_220,2026-04-22,21,42
r_221,2026-04-23,25,75
r_222,2026-04-24,30,60
r_223,2026-04-25,51,153
r_224,2026-04-26,61,244
r_225,2026-04-27,38,152
r_226,2026-04-28,27,81
r_227,2026-04-29,35,140
r_228,2026-04-30,33,132
r_229,2026-05-01,32,96
r_230,2026-05-02,43,172
r_231,2026-05-03,53,106
r_232,2026-05-04,29,116
r_233,2026-05-05,28,56
r_234,2026-05-06,37,148
r_235,2026-05-07,38,152
r_236,2026-05-08,27,81
r_237,2026-05-09,53,106
r_238,2026-05-10,55,165
r_239,2026-05-11,27,81
r_240,2026-05-12,29,116
r_241,2026-05-13,36,144
r_242,2026-05-14,30,90
r_243,2026-05-15,36,144
r_244,2026-05-16,44,132
r_245,2026-05-17,60,180
r_246,2026-05-18,32,128
r_247,2026-05-19,20,80
r_248,2026-05-20,26,78
r_249,2026-05-21,38,114
r_250,2026-05-22,27,108
r_251,2026-05-23,60,240
r_252,2026-05-24,46,138
r_253,2026-05-25,37,74
r_254,2026-05-26,40,80
r_255,2026-05-27,42,84
r_256,2026-05-28,28,84
r_257,2026-05-29,29,87
r_258,2026-05-30,66,264
r_259,2026-05-31,60,120
r_260,2026-06-01,27,108
r_261,2026-06-02,23,69
r_262,2026-06-03,28,56
r_263,2026-06-04,27,81
r_264,2026-06-05,28,56
r_265,2026-06-06,52,208
r_266,2026-06-07,49,196
r_267,2026-06-08,28,112
r_268,2026-06-09,30,90
r_269,2026-06-10,28,84
r_270,2026-06-11,45,90
r_271,2026-06-12,39,156
r_272,2026-06-13,40,80
r_273,2026-06-14,54,108
r_274,2026-06-15,31,62
r_275,2026-06-16,34,102
r_276,2026-06-17,32,64
r_277,2026-06-18,34,68
r_278,2026-06-19,37,111
r_279,2026-06-20,56,224
r_280,2026-06-21,64,192
r_281,2026-06-22,29,116
r_282,2026-06-23,27,108
r_283,2026-06-24,25,100
r_284,2026-06-25,38,114
r_285,2026-06-26,25,100
r_286,2026-06-27,57,228
r_287,2026-06-28,50,200
r_288,2026-06-29,34,102
r_289,2026-06-30,42,84
r_290,2026-07-01,29,87
r_291,2026-07-02,29,116
r_292,2026-07-03,30,120
r_293,2026-07-04,57,171
r_294,2026-07-05,52,104
r_295,2026-07-06,27,81
r_296,2026-07-07,24,96
r_297,2026-07-08,30,90
r_298,2026-07-09,14,42
r_299,2026-07-10,28,84
r_300,2026-07-11,48,96
r_301,2026-07-12,57,114
r_302,2026-07-13,31,124
r_303,2026-07-14,36,72
r_304,2026-07-15,29,116
r_305,2026-07-16,37,74
r_306,2026-07-17,31,93
r_307,2026-07-18,47,141
r_308,2026-07-19,60,240
r_309,2026-07-20,34,136
r_310,2026-07-21,21,63
r_311,2026-07-22,25,75
r_312,2026-07-23,29,116
r_313,2026-07-24,30,90
r_314,2026-07-25,63,126
r_315,2026-07-26,54,162
r_316,2026-07-27,33,66
r_317,2026-07-28,26,78
r_318,2026-07-29,28,84
r_319,2026-07-30,29,58
r_320,2026-07-31,27,54
r_321,2026-08-01,52,208
r_322,2026-08-02,65,195
r_323,2026-08-03,23,46
r_324,2026-08-04,36,144
r_325,2026-08-05,23,92
r_326,2026-08-06,34,136
r_327,2026-08-07,31,124
r_328,2026-08-08,52,208
r_329,2026-08-09,49,147
r_330,2026-08-10,22,44
r_331,2026-08-11,32,128
r_332,2026-08-12,35,70
r_333,2026-08-13,31,62
r_334,2026-08-14,27,108
r_335,2026-08-15,53,212
r_336,2026-08-16,55,165
r_337,2026-08-17,25,100
r_338,2026-08-18,22,88
r_339,2026-08-19,35,140
r_340,2026-08-20,38,76
r_341,2026-08-21,20,60
r_342,2026-08-22,58,116
r_343,2026-08-23,63,252
r_344,2026-08-24,31,62
r_345,2026-08-25,31,124
r_346,2026-08-26,29,58
r_347,2026-08-27,25,75
r_348,2026-08-28,30,60
r_349,2026-08-29,38,152
r_350,2026-08-30,57,171
r_351,2026-08-31,33,132
r_352,2026-09-01,32,64
r_353,2026-09-02,32,96
r_354,2026-09-03,32,128
r_355,2026-09-04,26,104
r_356,2026-09-05,65,130
r_357,2026-09-06,43,129
r_358,2026-09-07,25,75
r_359,2026-09-08,36,108
r_360,2026-09-09,31,93
r_361,2026-09-10,29,58
r_362,2026-09-11,34,136
r_363,2026-09-12,52,104
r_364,2026-09-13,46,92
