"forecast_id";"forecast_generated_date";"forecast_date";"forecast_horizon_days";"service_period";"menu_item_id";"menu_variant_id";"menu_item_name";"portion_size";"category";"baseline_portions";"predicted_portions";"lower_bound_portions";"upper_bound_portions";"forecast_confidence_pct";"confirmed_reservation_covers";"weather_condition";"special_occasion";"event_types";"key_demand_drivers";"predicted_revenue_aud";"model_version";"is_synthetic"
"FC-000015";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-008";"MI-008-SMALL";"Karaage Chicken Bowl - Small";"Small";"Signature Nosh Bowls";"6.643";"7.041";"5.633";"8.449";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"118.99";"misecast-menu-v2.0";"true"
"FC-000016";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-008";"MI-008-LARGE";"Karaage Chicken Bowl - Large";"Large";"Signature Nosh Bowls";"6.429";"6.814";"5.451";"8.177";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"135.6";"misecast-menu-v2.0";"true"
"FC-000017";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-009";"MI-009-SMALL";"Power Meal - Small";"Small";"Signature Nosh Bowls";"8";"8.48";"6.784";"10.176";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"160.27";"misecast-menu-v2.0";"true"
"FC-000018";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-009";"MI-009-LARGE";"Power Meal - Large";"Large";"Signature Nosh Bowls";"7.821";"8.291";"6.633";"9.949";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"181.57";"misecast-menu-v2.0";"true"
"FC-000019";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-010";"MI-010-SMALL";"Salmon Yuzu Bowl - Small";"Small";"Signature Nosh Bowls";"7.071";"7.496";"5.997";"8.995";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"134.18";"misecast-menu-v2.0";"true"
"FC-000020";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-010";"MI-010-LARGE";"Salmon Yuzu Bowl - Large";"Large";"Signature Nosh Bowls";"6.929";"7.344";"5.875";"8.813";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"153.49";"misecast-menu-v2.0";"true"
"FC-000021";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-011";"MI-011-STANDARD";"Karaage Bento";"Standard";"Protein Bento";"15.786";"16.733";"13.386";"20.08";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"232.59";"misecast-menu-v2.0";"true"
"FC-000022";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-012";"MI-012-STANDARD";"Salmon Aburi Bento";"Standard";"Protein Bento";"15.929";"16.884";"13.507";"20.261";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"251.57";"misecast-menu-v2.0";"true"
"FC-000023";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-013";"MI-013-STANDARD";"Tofu Bento";"Standard";"Protein Bento";"15.964";"16.922";"13.538";"20.306";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"218.29";"misecast-menu-v2.0";"true"
"FC-000024";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-014";"MI-014-SMALL";"Create Your Own - Sous-vide Chicken - Small";"Small";"Create Your Own Bowl";"6.036";"6.398";"5.118";"7.678";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"101.73";"misecast-menu-v2.0";"true"
"FC-000025";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-014";"MI-014-LARGE";"Create Your Own - Sous-vide Chicken - Large";"Large";"Create Your Own Bowl";"6.214";"6.587";"5.27";"7.904";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"124.49";"misecast-menu-v2.0";"true"
"FC-000026";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-015";"MI-015-SMALL";"Create Your Own - Seared Chicken - Small";"Small";"Create Your Own Bowl";"6.393";"6.776";"5.421";"8.131";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"107.74";"misecast-menu-v2.0";"true"
"FC-000027";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-015";"MI-015-LARGE";"Create Your Own - Seared Chicken - Large";"Large";"Create Your Own Bowl";"6.357";"6.739";"5.391";"8.087";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"127.37";"misecast-menu-v2.0";"true"
"FC-000028";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-016";"MI-016-SMALL";"Create Your Own - Pan-seared Tofu - Small";"Small";"Create Your Own Bowl";"5.893";"6.246";"4.997";"7.495";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"99.31";"misecast-menu-v2.0";"true"
"FC-000029";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-016";"MI-016-LARGE";"Create Your Own - Pan-seared Tofu - Large";"Large";"Create Your Own Bowl";"5.964";"6.322";"5.058";"7.586";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"119.49";"misecast-menu-v2.0";"true"
"FC-000030";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-017";"MI-017-SMALL";"Create Your Own - Crispy Eggplant - Small";"Small";"Create Your Own Bowl";"6.571";"6.966";"5.573";"8.359";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"117.73";"misecast-menu-v2.0";"true"
"FC-000031";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-017";"MI-017-LARGE";"Create Your Own - Crispy Eggplant - Large";"Large";"Create Your Own Bowl";"6.571";"6.966";"5.573";"8.359";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"138.62";"misecast-menu-v2.0";"true"
"FC-000032";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-018";"MI-018-SMALL";"Create Your Own - Miso Beet Falafel - Small";"Small";"Create Your Own Bowl";"7.107";"7.534";"6.027";"9.041";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"127.32";"misecast-menu-v2.0";"true"
"FC-000033";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-018";"MI-018-LARGE";"Create Your Own - Miso Beet Falafel - Large";"Large";"Create Your Own Bowl";"7.107";"7.534";"6.027";"9.041";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"149.93";"misecast-menu-v2.0";"true"
"FC-000034";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-019";"MI-019-SMALL";"Create Your Own - Tiger Prawns - Small";"Small";"Create Your Own Bowl";"5.893";"6.246";"4.997";"7.495";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"105.56";"misecast-menu-v2.0";"true"
"FC-000035";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-019";"MI-019-LARGE";"Create Your Own - Tiger Prawns - Large";"Large";"Create Your Own Bowl";"5.821";"6.171";"4.937";"7.405";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"122.8";"misecast-menu-v2.0";"true"
"FC-000036";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-020";"MI-020-SMALL";"Create Your Own - Karaage Chicken - Small";"Small";"Create Your Own Bowl";"6.75";"7.155";"5.724";"8.586";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"128.07";"misecast-menu-v2.0";"true"
"FC-000037";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-020";"MI-020-LARGE";"Create Your Own - Karaage Chicken - Large";"Large";"Create Your Own Bowl";"6.464";"6.852";"5.482";"8.222";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"143.21";"misecast-menu-v2.0";"true"
"FC-000038";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-021";"MI-021-SMALL";"Create Your Own - Sashimi Salmon - Small";"Small";"Create Your Own Bowl";"5.964";"6.322";"5.058";"7.586";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"113.16";"misecast-menu-v2.0";"true"
"FC-000039";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-021";"MI-021-LARGE";"Create Your Own - Sashimi Salmon - Large";"Large";"Create Your Own Bowl";"5.75";"6.095";"4.876";"7.314";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"127.39";"misecast-menu-v2.0";"true"
"FC-000040";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-022";"MI-022-SMALL";"Create Your Own - Sashimi Tuna - Small";"Small";"Create Your Own Bowl";"6.179";"6.549";"5.239";"7.859";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"117.23";"misecast-menu-v2.0";"true"
"FC-000041";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-022";"MI-022-LARGE";"Create Your Own - Sashimi Tuna - Large";"Large";"Create Your Own Bowl";"6.036";"6.398";"5.118";"7.678";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"133.72";"misecast-menu-v2.0";"true"
"FC-000042";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-023";"MI-023-SMALL";"Create Your Own - Flame-seared Salmon - Small";"Small";"Create Your Own Bowl";"5.929";"6.284";"5.027";"7.541";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"118.77";"misecast-menu-v2.0";"true"
"FC-000043";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-023";"MI-023-LARGE";"Create Your Own - Flame-seared Salmon - Large";"Large";"Create Your Own Bowl";"5.857";"6.209";"4.967";"7.451";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"135.98";"misecast-menu-v2.0";"true"
"FC-000044";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-024";"MI-024-SMALL";"Create Your Own - Flame-seared Wagyu - Small";"Small";"Create Your Own Bowl";"5.929";"6.284";"5.027";"7.541";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"118.77";"misecast-menu-v2.0";"true"
"FC-000045";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-024";"MI-024-LARGE";"Create Your Own - Flame-seared Wagyu - Large";"Large";"Create Your Own Bowl";"5.679";"6.019";"4.815";"7.223";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"131.82";"misecast-menu-v2.0";"true"
"FC-000046";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-025";"MI-025-SMALL";"Create Your Own - No Protein - Small";"Small";"Create Your Own Bowl";"4.821";"5.111";"4.089";"6.133";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"65.93";"misecast-menu-v2.0";"true"
"FC-000047";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-025";"MI-025-LARGE";"Create Your Own - No Protein - Large";"Large";"Create Your Own Bowl";"4.643";"4.921";"3.937";"5.905";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"78.24";"misecast-menu-v2.0";"true"
"FC-000048";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-026";"MI-026-STANDARD";"Miso Soup";"Standard";"Light Bites";"9.714";"10.297";"8.238";"12.356";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"25.74";"misecast-menu-v2.0";"true"
"FC-000049";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-027";"MI-027-STANDARD";"Raw Balls - Peanut Butter";"Standard";"Light Bites";"1.964";"2.082";"1.666";"2.498";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"8.74";"misecast-menu-v2.0";"true"
"FC-000050";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-028";"MI-028-STANDARD";"Raw Balls - Choc Brownie";"Standard";"Light Bites";"1.893";"2.006";"1.605";"2.407";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"8.43";"misecast-menu-v2.0";"true"
"FC-000051";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-029";"MI-029-STANDARD";"Raw Balls - Coconut Cacao";"Standard";"Light Bites";"1.893";"2.006";"1.605";"2.407";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"8.43";"misecast-menu-v2.0";"true"
"FC-000052";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-030";"MI-030-STANDARD";"Raw Balls - Hazelnut";"Standard";"Light Bites";"1.786";"1.893";"1.514";"2.272";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"7.95";"misecast-menu-v2.0";"true"
"FC-000053";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-031";"MI-031-STANDARD";"Raw Balls - Apricot Delight";"Standard";"Light Bites";"1.893";"2.006";"1.605";"2.407";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"8.43";"misecast-menu-v2.0";"true"
"FC-000054";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-032";"MI-032-STANDARD";"myDeal - $5 Crispy Chicken Bites";"Standard";"Promotions";"3.286";"3.483";"2.786";"4.18";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"17.42";"misecast-menu-v2.0";"true"
"FC-000055";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-033";"MI-033-STANDARD";"Coconut Water";"Standard";"Drinks";"12.179";"12.909";"10.327";"15.491";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"54.22";"misecast-menu-v2.0";"true"
"FC-000056";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-034";"MI-034-STANDARD";"Cold Pressed Juice - Watermelon Lime";"Standard";"Drinks";"11.214";"11.887";"9.51";"14.264";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"65.38";"misecast-menu-v2.0";"true"
"FC-000057";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-035";"MI-035-STANDARD";"Cold Pressed Juice - Classic OJ";"Standard";"Drinks";"11.429";"12.114";"9.691";"14.537";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"66.63";"misecast-menu-v2.0";"true"
"FC-000058";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-036";"MI-036-STANDARD";"Cold Pressed Juice - Pineapple Mint";"Standard";"Drinks";"11.393";"12.076";"9.661";"14.491";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"66.42";"misecast-menu-v2.0";"true"
"FC-000059";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-037";"MI-037-STANDARD";"Dash Sparkling Water - Lime";"Standard";"Drinks";"12.071";"12.796";"10.237";"15.355";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"51.18";"misecast-menu-v2.0";"true"
"FC-000060";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-038";"MI-038-STANDARD";"Dash Sparkling Water - Raspberry";"Standard";"Drinks";"12.357";"13.099";"10.479";"15.719";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"52.4";"misecast-menu-v2.0";"true"
"FC-000061";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-039";"MI-039-STANDARD";"Dash Sparkling Water - Peach";"Standard";"Drinks";"12.179";"12.909";"10.327";"15.491";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"51.64";"misecast-menu-v2.0";"true"
"FC-000062";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-040";"MI-040-STANDARD";"Kombucha - Ginger Lemon";"Standard";"Drinks";"12.25";"12.985";"10.388";"15.582";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"71.42";"misecast-menu-v2.0";"true"
"FC-000063";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-041";"MI-041-STANDARD";"Kombucha - Lemon Lime Mint";"Standard";"Drinks";"11.964";"12.682";"10.146";"15.218";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"69.75";"misecast-menu-v2.0";"true"
"FC-000064";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-042";"MI-042-STANDARD";"Kombucha - Peach";"Standard";"Drinks";"12.5";"13.25";"10.6";"15.9";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"72.88";"misecast-menu-v2.0";"true"
"FC-000065";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-043";"MI-043-STANDARD";"Kombucha - Raspberry Lemonade";"Standard";"Drinks";"12.071";"12.796";"10.237";"15.355";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"70.38";"misecast-menu-v2.0";"true"
"FC-000066";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-044";"MI-044-STANDARD";"Sodaly - Passionfruit";"Standard";"Drinks";"12.429";"13.174";"10.539";"15.809";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"64.55";"misecast-menu-v2.0";"true"
"FC-000067";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-045";"MI-045-STANDARD";"Sodaly - Guava";"Standard";"Drinks";"12.536";"13.288";"10.63";"15.946";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"65.11";"misecast-menu-v2.0";"true"
"FC-000068";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-046";"MI-046-STANDARD";"Sodaly - Raspberry";"Standard";"Drinks";"12.429";"13.174";"10.539";"15.809";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"64.55";"misecast-menu-v2.0";"true"
"FC-000069";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-047";"MI-047-STANDARD";"Sparkling Water";"Standard";"Drinks";"18.75";"19.875";"15.9";"23.85";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"69.56";"misecast-menu-v2.0";"true"
"FC-000070";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-048";"MI-048-STANDARD";"Specialty Soda - Gingerella";"Standard";"Drinks";"12.179";"12.909";"10.327";"15.491";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"63.25";"misecast-menu-v2.0";"true"
"FC-000071";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-049";"MI-049-STANDARD";"Specialty Soda - Karma Cola";"Standard";"Drinks";"12.393";"13.136";"10.509";"15.763";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"64.37";"misecast-menu-v2.0";"true"
"FC-000072";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-050";"MI-050-STANDARD";"Specialty Soda - Lemmy";"Standard";"Drinks";"12.107";"12.834";"10.267";"15.401";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"62.89";"misecast-menu-v2.0";"true"
"FC-000073";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-051";"MI-051-STANDARD";"Still Water";"Standard";"Drinks";"22.286";"23.623";"18.898";"28.348";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"70.87";"misecast-menu-v2.0";"true"
"FC-000074";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-052";"MI-052-STANDARD";"Yuzu Ginger Cha";"Standard";"Drinks";"11.464";"12.152";"9.722";"14.582";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"54.68";"misecast-menu-v2.0";"true"
"FC-000075";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-053";"MI-053-STANDARD";"Avocado";"Standard";"Add-ons / Modifiers";"1.464";"1.552";"1.242";"1.862";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"3.1";"misecast-menu-v2.0";"true"
"FC-000076";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-054";"MI-054-STANDARD";"63 deg egg";"Standard";"Add-ons / Modifiers";"2";"2.12";"1.696";"2.544";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"5.3";"misecast-menu-v2.0";"true"
"FC-000077";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-055";"MI-055-STANDARD";"Extra Salad";"Standard";"Add-ons / Modifiers";"2.107";"2.234";"1.787";"2.681";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"4.47";"misecast-menu-v2.0";"true"
"FC-000078";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-056";"MI-056-STANDARD";"Standard topping (kimchi, corn, edamame, nori, etc.)";"Standard";"Add-ons / Modifiers";"1.107";"1.174";"0.939";"1.409";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"0.59";"misecast-menu-v2.0";"true"
"FC-000079";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-057";"MI-057-STANDARD";"Extra Sauce (any)";"Standard";"Add-ons / Modifiers";"1";"1.06";"0.848";"1.272";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"1.59";"misecast-menu-v2.0";"true"
"FC-000080";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-058";"MI-058-STANDARD";"Extra Sous-vide / Seared Chicken";"Standard";"Add-ons / Modifiers";"2.964";"3.142";"2.514";"3.77";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"12.57";"misecast-menu-v2.0";"true"
"FC-000081";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-059";"MI-059-STANDARD";"Extra Pan Seared Tofu";"Standard";"Add-ons / Modifiers";"2.357";"2.499";"1.999";"2.999";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"10";"misecast-menu-v2.0";"true"
"FC-000082";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-060";"MI-060-STANDARD";"Extra Eggplant";"Standard";"Add-ons / Modifiers";"3.607";"3.824";"3.059";"4.589";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"15.3";"misecast-menu-v2.0";"true"
"FC-000083";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-061";"MI-061-STANDARD";"Extra Falafels";"Standard";"Add-ons / Modifiers";"4.571";"4.846";"3.877";"5.815";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"24.23";"misecast-menu-v2.0";"true"
"FC-000084";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-062";"MI-062-STANDARD";"Extra Karaage Chicken";"Standard";"Add-ons / Modifiers";"3.607";"3.824";"3.059";"4.589";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"19.12";"misecast-menu-v2.0";"true"
"FC-000085";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-063";"MI-063-STANDARD";"Extra Tiger Prawns";"Standard";"Add-ons / Modifiers";"2.5";"2.65";"2.12";"3.18";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"13.25";"misecast-menu-v2.0";"true"
"FC-000086";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-064";"MI-064-STANDARD";"Extra Aburi / Sashimi Salmon";"Standard";"Add-ons / Modifiers";"2.5";"2.65";"2.12";"3.18";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"15.9";"misecast-menu-v2.0";"true"
"FC-000087";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-065";"MI-065-STANDARD";"Extra Sashimi Tuna";"Standard";"Add-ons / Modifiers";"2.286";"2.423";"1.938";"2.908";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"14.54";"misecast-menu-v2.0";"true"
"FC-000088";"2026-08-01";"2026-08-02";"1";"Lunch";"MI-066";"MI-066-STANDARD";"Extra Wagyu";"Standard";"Add-ons / Modifiers";"2.071";"2.196";"1.757";"2.635";"87.2";"29";"Mild";"None";"None";"Weekend | Mild";"13.18";"misecast-menu-v2.0";"true"
"FC-000089";"2026-08-01";"2026-08-02";"1";"Dinner";"MI-001";"MI-001-SMALL";"Chicken Teriyaki Bowl - Small";"Small";"Signature Nosh Bowls";"9.393";"10.52";"8.416";"12.624";"87.2";"55";"Mild";"None";"None";"Weekend | Mild";"156.75";"misecast-menu-v2.0";"true"
