"forecast_date";"ingredient_id";"ingredient_name";"category";"unit";"forecast_quantity_needed";"lower_bound_quantity";"upper_bound_quantity";"cumulative_forecast_quantity";"starting_inventory_quantity";"projected_inventory_end_of_day_no_order";"projected_expired_quantity_to_date";"projected_unfilled_demand_quantity";"is_synthetic"
"2026-08-02";"PROT-009";"Pan-seared tofu";"PROT";"g";"10234.58";"8187.664";"12281.496";"10234.58";"46825";"36590.42";"0";"0";"true"
"2026-08-02";"PROT-010";"Miso beet falafel";"PROT";"ea";"425.76";"340.608";"510.912";"425.76";"4668";"4242.24";"0";"0";"true"
"2026-08-02";"PROT-011";"Crispy eggplant";"PROT";"g";"9544.932";"7635.946";"11453.919";"9544.932";"104592";"95047.068";"0";"0";"true"
"2026-08-02";"SAUC-001";"Teriyaki sauce";"SAUC";"g";"5032.041";"4025.633";"6038.449";"5032.041";"22966";"17933.959";"0";"0";"true"
"2026-08-02";"SAUC-002";"Japanese mayo";"SAUC";"g";"365.278";"292.223";"438.334";"365.278";"1668";"1302.722";"0";"0";"true"
"2026-08-02";"SAUC-003";"Spicy mayo";"SAUC";"g";"1835.608";"1468.487";"2202.73";"1835.608";"8380";"6544.392";"0";"0";"true"
"2026-08-02";"SAUC-004";"Sweet miso sauce";"SAUC";"g";"1987.433";"1589.946";"2384.92";"1987.433";"9089";"7101.567";"0";"0";"true"
"2026-08-02";"SAUC-005";"Shoyu";"SAUC";"g";"1358.402";"1086.722";"1630.082";"1358.402";"6198";"4839.598";"0";"0";"true"
"2026-08-02";"SAUC-006";"Creamy roasted sesame";"SAUC";"g";"3757.902";"3006.322";"4509.482";"3757.902";"17205";"13447.098";"0";"0";"true"
"2026-08-02";"SAUC-007";"Yuzu kosho mayo";"SAUC";"g";"3889.763";"3111.81";"4667.715";"3889.763";"17784";"13894.237";"0";"0";"true"
"2026-08-02";"SAUC-008";"Bao sauce";"SAUC";"g";"1249.969";"999.975";"1499.963";"1249.969";"5735";"4485.031";"0";"0";"true"
"2026-08-02";"SAUC-009";"Warm cashew satay";"SAUC";"g";"1071.402";"857.122";"1285.682";"1071.402";"4915";"3843.598";"0";"0";"true"
"2026-08-02";"SAUC-010";"Assorted sauce";"SAUC";"g";"14228.73";"11382.984";"17074.476";"14228.73";"64951";"50722.27";"0";"0";"true"
"2026-08-02";"SEAS-001";"Aonori seasoning";"SEAS";"g";"364.3";"291.44";"437.16";"364.3";"7005";"6640.7";"0";"0";"true"
"2026-08-02";"SEAS-002";"Furikake";"SEAS";"g";"144.586";"115.669";"173.503";"144.586";"2778";"2633.414";"0";"0";"true"
"2026-08-02";"SEAS-003";"Cinnamon";"SEAS";"dash";"25.232";"20.186";"30.278";"25.232";"486";"460.768";"0";"0";"true"
"2026-08-02";"SNCK-001";"Raw ball - Peanut Butter";"SNCK";"ea";"4.122";"3.298";"4.946";"4.122";"80";"75.878";"0";"0";"true"
"2026-08-02";"SNCK-002";"Raw ball - Choc Brownie";"SNCK";"ea";"4.006";"3.205";"4.807";"4.006";"77";"72.994";"0";"0";"true"
"2026-08-02";"SNCK-003";"Raw ball - Coconut Cacao";"SNCK";"ea";"4.046";"3.237";"4.855";"4.046";"78";"73.954";"0";"0";"true"
"2026-08-02";"SNCK-004";"Raw ball - Hazelnut";"SNCK";"ea";"4.013";"3.21";"4.816";"4.013";"77";"72.987";"0";"0";"true"
"2026-08-02";"SNCK-005";"Raw ball - Apricot Delight";"SNCK";"ea";"4.126";"3.301";"4.951";"4.126";"80";"75.874";"0";"0";"true"
"2026-08-03";"BASE-001";"Cooked jasmine rice";"BASE";"g";"139249.467";"111399.573";"167099.36";"291698.048";"696249";"300113.702";"104437.25";"0";"true"
"2026-08-03";"BASE-002";"Cooked brown rice";"BASE";"g";"6224.49";"4979.592";"7469.388";"13047.296";"31122";"13406.454";"4668.25";"0";"true"
"2026-08-03";"BASE-003";"Turmeric coconut rice";"BASE";"g";"13959.388";"11167.51";"16751.265";"29251.122";"69798";"30077.128";"10469.75";"0";"true"
"2026-08-03";"DRNK-001";"Coconut water 330ml";"DRNK";"ea";"24.393";"19.514";"29.272";"50.982";"122";"71.018";"0";"0";"true"
"2026-08-03";"DRNK-002";"Cold pressed juice - Watermelon Lime 300ml";"DRNK";"ea";"22.643";"18.114";"27.172";"47.33";"113";"65.67";"0";"0";"true"
"2026-08-03";"DRNK-003";"Cold pressed juice - Classic OJ 300ml";"DRNK";"ea";"22.822";"18.258";"27.386";"47.696";"114";"66.304";"0";"0";"true"
"2026-08-03";"DRNK-004";"Cold pressed juice - Pineapple Mint 300ml";"DRNK";"ea";"22.5";"18";"27";"47.016";"113";"65.984";"0";"0";"true"
"2026-08-03";"DRNK-005";"Dash sparkling water - Lime 330ml";"DRNK";"ea";"25";"20";"30";"52.276";"125";"72.724";"0";"0";"true"
"2026-08-03";"DRNK-006";"Dash sparkling water - Raspberry 330ml";"DRNK";"ea";"24.857";"19.886";"29.828";"51.956";"124";"72.044";"0";"0";"true"
"2026-08-03";"DRNK-007";"Dash sparkling water - Peach 330ml";"DRNK";"ea";"24.893";"19.914";"29.872";"52.042";"124";"71.958";"0";"0";"true"
"2026-08-03";"DRNK-008";"Kombucha - Ginger Lemon 330ml";"DRNK";"ea";"24.786";"19.829";"29.743";"51.811";"124";"72.189";"0";"0";"true"
"2026-08-03";"DRNK-009";"Kombucha - Lemon Lime Mint 330ml";"DRNK";"ea";"24.607";"19.686";"29.528";"51.449";"123";"71.551";"0";"0";"true"
"2026-08-03";"DRNK-010";"Kombucha - Peach 330ml";"DRNK";"ea";"25.036";"20.029";"30.043";"52.326";"125";"72.674";"0";"0";"true"
"2026-08-03";"DRNK-011";"Kombucha - Raspberry Lemonade 330ml";"DRNK";"ea";"24.892";"19.914";"29.87";"52.048";"124";"71.952";"0";"0";"true"
"2026-08-03";"DRNK-012";"Sodaly - Passionfruit 330ml";"DRNK";"ea";"25.108";"20.086";"30.13";"52.482";"126";"73.518";"0";"0";"true"
"2026-08-03";"DRNK-013";"Sodaly - Guava 330ml";"DRNK";"ea";"24.929";"19.943";"29.915";"52.097";"125";"72.903";"0";"0";"true"
"2026-08-03";"DRNK-014";"Sodaly - Raspberry 330ml";"DRNK";"ea";"25.322";"20.258";"30.386";"52.936";"127";"74.064";"0";"0";"true"
"2026-08-03";"DRNK-015";"Sparkling water 500ml";"DRNK";"ea";"37.929";"30.343";"45.515";"79.284";"190";"110.716";"0";"0";"true"
"2026-08-03";"DRNK-016";"Specialty soda - Gingerella 330ml";"DRNK";"ea";"24.643";"19.714";"29.572";"51.512";"123";"71.488";"0";"0";"true"
"2026-08-03";"DRNK-017";"Specialty soda - Karma Cola 330ml";"DRNK";"ea";"24.929";"19.943";"29.915";"52.105";"125";"72.895";"0";"0";"true"
"2026-08-03";"DRNK-018";"Specialty soda - Lemmy 330ml";"DRNK";"ea";"24.678";"19.742";"29.614";"51.592";"123";"71.408";"0";"0";"true"
"2026-08-03";"DRNK-019";"Still water 600ml";"DRNK";"ea";"45.107";"36.086";"54.128";"94.29";"226";"131.71";"0";"0";"true"
"2026-08-03";"GARN-001";"Edamame";"GARN";"cup";"85.806";"68.645";"102.968";"179.792";"429.032";"184.885";"64.355";"0";"true"
"2026-08-03";"GARN-002";"Pickled ginger";"GARN";"g";"3016.051";"2412.841";"3619.261";"6319.623";"15080";"6498.377";"2262";"0";"true"
"2026-08-03";"GARN-003";"Crispy shallots";"GARN";"spoon";"161.955";"129.564";"194.346";"339.379";"3401";"3061.621";"0";"0";"true"
"2026-08-03";"GARN-004";"Nori strips";"GARN";"g";"386.146";"308.917";"463.375";"809.194";"8109";"7299.806";"0";"0";"true"
"2026-08-03";"GARN-005";"Nori sheet";"GARN";"ea";"34";"27.2";"40.8";"71.24";"714";"642.76";"0";"0";"true"
"2026-08-03";"GARN-006";"63-degree egg";"GARN";"ea";"38.534";"30.827";"46.24";"80.731";"193";"83.269";"29";"0";"true"
"2026-08-03";"GARN-007";"Half-boiled egg";"GARN";"ea";"67.707";"54.166";"81.249";"141.536";"339";"146.714";"50.75";"0";"true"
"2026-08-03";"GARN-008";"Tamagoyaki";"GARN";"ea";"72.864";"58.291";"87.437";"152.628";"364";"156.872";"54.5";"0";"true"
"2026-08-03";"GARN-009";"Lemon wedge";"GARN";"ea";"70.678";"56.542";"84.814";"148.049";"353";"151.951";"53";"0";"true"
"2026-08-03";"GARN-010";"Avocado";"GARN";"g";"3980.853";"3184.683";"4777.024";"8341.12";"19905";"8578.13";"2985.75";"0";"true"
"2026-08-03";"GARN-011";"Pineapple";"GARN";"g";"1400.85";"1120.68";"1681.02";"2935.125";"7004";"3018.375";"1050.5";"0";"true"
"2026-08-03";"GARN-012";"Cucumber slice";"GARN";"slice";"202.331";"161.864";"242.797";"422.918";"1012";"437.332";"151.75";"0";"true"
"2026-08-03";"GARN-013";"Crushed walnuts";"GARN";"ea";"196.137";"156.909";"235.364";"409.971";"4119";"3709.029";"0";"0";"true"
"2026-08-03";"GARN-014";"Assorted topping (kimchi / corn / edamame / nori)";"GARN";"cup";"110.586";"88.469";"132.703";"231.716";"2322.317";"2090.601";"0";"0";"true"
"2026-08-03";"LEAF-001";"Mixed leaf salad";"LEAF";"g";"29205.592";"23364.473";"35046.71";"61194.781";"146029";"62929.969";"21904.25";"0";"true"
"2026-08-03";"LEAF-002";"Baby spinach";"LEAF";"g";"1155.787";"924.63";"1386.945";"2422.138";"5779";"2490.112";"866.75";"0";"true"
"2026-08-03";"LEAF-003";"Kale";"LEAF";"g";"1186.111";"948.889";"1423.333";"2486.189";"5931";"2555.061";"889.75";"0";"true"
"2026-08-03";"LEAF-004";"Classic slaw";"LEAF";"g";"4552.437";"3641.949";"5462.924";"9515.653";"22762";"9832.097";"3414.25";"0";"true"
"2026-08-03";"MISC-001";"Miso paste (pre-packaged)";"MISC";"pack";"20.107";"16.086";"24.128";"42.044";"101";"58.956";"0";"0";"true"
"2026-08-03";"MISC-002";"Water";"MISC";"ml";"10812.5";"8650";"12975";"22604.75";"227063";"204458.25";"0";"0";"true"
"2026-08-03";"MISC-003";"Fresh ginger";"MISC";"matchsticks";"81.681";"65.345";"98.017";"170.735";"408";"237.265";"0";"0";"true"
"2026-08-03";"MISC-004";"Yuzu jam";"MISC";"g";"1180.765";"944.612";"1416.918";"2468.112";"5904";"3435.888";"0";"0";"true"
"2026-08-03";"PROT-001";"Seared chicken";"PROT";"g";"6265.984";"5012.787";"7519.181";"13127.079";"31330";"13503.421";"4699.5";"0";"true"
"2026-08-03";"PROT-002";"Sous-vide chicken";"PROT";"g";"3466.29";"2773.032";"4159.548";"7260.355";"17332";"7471.895";"2599.75";"0";"true"
"2026-08-03";"PROT-003";"Karaage chicken";"PROT";"g";"15787.189";"12629.751";"18944.627";"33053.572";"189445";"156391.428";"0";"0";"true"
"2026-08-03";"PROT-004";"Flame-seared wagyu";"PROT";"g";"4930.969";"3944.775";"5917.163";"10331.923";"24655";"10624.827";"3698.25";"0";"true"
"2026-08-03";"PROT-005";"Aburi salmon";"PROT";"g";"11156.898";"8925.518";"13388.278";"23357.946";"55785";"24059.304";"8367.75";"0";"true"
"2026-08-03";"PROT-006";"Sashimi salmon";"PROT";"g";"7010.617";"5608.494";"8412.74";"14688.686";"35053";"15106.314";"5258";"0";"true"
"2026-08-03";"PROT-007";"Sashimi tuna";"PROT";"g";"5516.587";"4413.27";"6619.905";"11558.254";"27583";"11887.246";"4137.5";"0";"true"
"2026-08-03";"PROT-008";"Tiger prawns";"PROT";"g";"2762.267";"2209.813";"3314.72";"5787.036";"33148";"27360.964";"0";"0";"true"
"2026-08-03";"PROT-009";"Pan-seared tofu";"PROT";"g";"9364.978";"7491.983";"11237.974";"19599.558";"46825";"20201.692";"7023.75";"0";"true"
"2026-08-03";"PROT-010";"Miso beet falafel";"PROT";"ea";"389.01";"311.208";"466.812";"814.77";"4668";"3853.23";"0";"0";"true"
"2026-08-03";"PROT-011";"Crispy eggplant";"PROT";"g";"8716.001";"6972.801";"10459.201";"18260.933";"104592";"86331.067";"0";"0";"true"
"2026-08-03";"SAUC-001";"Teriyaki sauce";"SAUC";"g";"4593.196";"3674.557";"5511.835";"9625.237";"22966";"13340.763";"0";"0";"true"
"2026-08-03";"SAUC-002";"Japanese mayo";"SAUC";"g";"333.588";"266.87";"400.305";"698.866";"1668";"969.134";"0";"0";"true"
"2026-08-03";"SAUC-003";"Spicy mayo";"SAUC";"g";"1675.959";"1340.767";"2011.15";"3511.567";"8380";"4868.433";"0";"0";"true"
"2026-08-03";"SAUC-004";"Sweet miso sauce";"SAUC";"g";"1817.773";"1454.219";"2181.328";"3805.206";"9089";"5283.794";"0";"0";"true"
"2026-08-03";"SAUC-005";"Shoyu";"SAUC";"g";"1239.691";"991.753";"1487.629";"2598.093";"6198";"3599.907";"0";"0";"true"
"2026-08-03";"SAUC-006";"Creamy roasted sesame";"SAUC";"g";"3440.938";"2752.75";"4129.126";"7198.84";"17205";"10006.16";"0";"0";"true"
"2026-08-03";"SAUC-007";"Yuzu kosho mayo";"SAUC";"g";"3556.691";"2845.353";"4268.029";"7446.454";"17784";"10337.546";"0";"0";"true"
"2026-08-03";"SAUC-008";"Bao sauce";"SAUC";"g";"1146.881";"917.505";"1376.258";"2396.851";"5735";"3338.149";"0";"0";"true"
"2026-08-03";"SAUC-009";"Warm cashew satay";"SAUC";"g";"983.041";"786.433";"1179.649";"2054.443";"4915";"2860.557";"0";"0";"true"
"2026-08-03";"SAUC-010";"Assorted sauce";"SAUC";"g";"12990.061";"10392.049";"15588.074";"27218.792";"64951";"37732.208";"0";"0";"true"
"2026-08-03";"SEAS-001";"Aonori seasoning";"SEAS";"g";"333.57";"266.856";"400.284";"697.87";"7005";"6307.13";"0";"0";"true"
"2026-08-03";"SEAS-002";"Furikake";"SEAS";"g";"132.286";"105.829";"158.743";"276.872";"2778";"2501.128";"0";"0";"true"
"2026-08-03";"SEAS-003";"Cinnamon";"SEAS";"dash";"23.143";"18.514";"27.772";"48.375";"486";"437.625";"0";"0";"true"
"2026-08-03";"SNCK-001";"Raw ball - Peanut Butter";"SNCK";"ea";"3.785";"3.028";"4.542";"7.907";"80";"72.093";"0";"0";"true"
"2026-08-03";"SNCK-002";"Raw ball - Choc Brownie";"SNCK";"ea";"3.679";"2.943";"4.415";"7.685";"77";"69.315";"0";"0";"true"
"2026-08-03";"SNCK-003";"Raw ball - Coconut Cacao";"SNCK";"ea";"3.714";"2.971";"4.457";"7.76";"78";"70.24";"0";"0";"true"
"2026-08-03";"SNCK-004";"Raw ball - Hazelnut";"SNCK";"ea";"3.679";"2.943";"4.415";"7.692";"77";"69.308";"0";"0";"true"
"2026-08-03";"SNCK-005";"Raw ball - Apricot Delight";"SNCK";"ea";"3.786";"3.029";"4.543";"7.912";"80";"72.088";"0";"0";"true"
"2026-08-04";"BASE-001";"Cooked jasmine rice";"BASE";"g";"139249.467";"111399.573";"167099.36";"430947.514";"696249";"160864.236";"104437.25";"0";"true"
"2026-08-04";"BASE-002";"Cooked brown rice";"BASE";"g";"6224.49";"4979.592";"7469.388";"19271.786";"31122";"7181.964";"4668.25";"0";"true"
"2026-08-04";"BASE-003";"Turmeric coconut rice";"BASE";"g";"13959.388";"11167.51";"16751.265";"43210.51";"69798";"16117.74";"10469.75";"0";"true"
"2026-08-04";"DRNK-001";"Coconut water 330ml";"DRNK";"ea";"24.393";"19.514";"29.272";"75.375";"122";"46.625";"0";"0";"true"
"2026-08-04";"DRNK-002";"Cold pressed juice - Watermelon Lime 300ml";"DRNK";"ea";"22.643";"18.114";"27.172";"69.973";"113";"43.027";"0";"0";"true"
"2026-08-04";"DRNK-003";"Cold pressed juice - Classic OJ 300ml";"DRNK";"ea";"22.822";"18.258";"27.386";"70.518";"114";"43.482";"0";"0";"true"
"2026-08-04";"DRNK-004";"Cold pressed juice - Pineapple Mint 300ml";"DRNK";"ea";"22.5";"18";"27";"69.516";"113";"43.484";"0";"0";"true"
"2026-08-04";"DRNK-005";"Dash sparkling water - Lime 330ml";"DRNK";"ea";"25";"20";"30";"77.276";"125";"47.724";"0";"0";"true"
"2026-08-04";"DRNK-006";"Dash sparkling water - Raspberry 330ml";"DRNK";"ea";"24.857";"19.886";"29.828";"76.813";"124";"47.187";"0";"0";"true"
"2026-08-04";"DRNK-007";"Dash sparkling water - Peach 330ml";"DRNK";"ea";"24.893";"19.914";"29.872";"76.935";"124";"47.065";"0";"0";"true"
"2026-08-04";"DRNK-008";"Kombucha - Ginger Lemon 330ml";"DRNK";"ea";"24.786";"19.829";"29.743";"76.597";"124";"47.403";"0";"0";"true"
"2026-08-04";"DRNK-009";"Kombucha - Lemon Lime Mint 330ml";"DRNK";"ea";"24.607";"19.686";"29.528";"76.056";"123";"46.944";"0";"0";"true"
"2026-08-04";"DRNK-010";"Kombucha - Peach 330ml";"DRNK";"ea";"25.036";"20.029";"30.043";"77.362";"125";"47.638";"0";"0";"true"
"2026-08-04";"DRNK-011";"Kombucha - Raspberry Lemonade 330ml";"DRNK";"ea";"24.892";"19.914";"29.87";"76.94";"124";"47.06";"0";"0";"true"
"2026-08-04";"DRNK-012";"Sodaly - Passionfruit 330ml";"DRNK";"ea";"25.108";"20.086";"30.13";"77.59";"126";"48.41";"0";"0";"true"
"2026-08-04";"DRNK-013";"Sodaly - Guava 330ml";"DRNK";"ea";"24.929";"19.943";"29.915";"77.026";"125";"47.974";"0";"0";"true"
"2026-08-04";"DRNK-014";"Sodaly - Raspberry 330ml";"DRNK";"ea";"25.322";"20.258";"30.386";"78.258";"127";"48.742";"0";"0";"true"
"2026-08-04";"DRNK-015";"Sparkling water 500ml";"DRNK";"ea";"37.929";"30.343";"45.515";"117.213";"190";"72.787";"0";"0";"true"
"2026-08-04";"DRNK-016";"Specialty soda - Gingerella 330ml";"DRNK";"ea";"24.643";"19.714";"29.572";"76.155";"123";"46.845";"0";"0";"true"
"2026-08-04";"DRNK-017";"Specialty soda - Karma Cola 330ml";"DRNK";"ea";"24.929";"19.943";"29.915";"77.034";"125";"47.966";"0";"0";"true"
"2026-08-04";"DRNK-018";"Specialty soda - Lemmy 330ml";"DRNK";"ea";"24.678";"19.742";"29.614";"76.27";"123";"46.73";"0";"0";"true"
"2026-08-04";"DRNK-019";"Still water 600ml";"DRNK";"ea";"45.107";"36.086";"54.128";"139.397";"226";"86.603";"0";"0";"true"
"2026-08-04";"GARN-001";"Edamame";"GARN";"cup";"85.806";"68.645";"102.968";"265.598";"429.032";"99.079";"64.355";"0";"true"
"2026-08-04";"GARN-002";"Pickled ginger";"GARN";"g";"3016.051";"2412.841";"3619.261";"9335.674";"15080";"3482.326";"2262";"0";"true"
"2026-08-04";"GARN-003";"Crispy shallots";"GARN";"spoon";"161.955";"129.564";"194.346";"501.334";"3401";"2899.666";"0";"0";"true"
"2026-08-04";"GARN-004";"Nori strips";"GARN";"g";"386.146";"308.917";"463.375";"1195.34";"8109";"6913.66";"0";"0";"true"
"2026-08-04";"GARN-005";"Nori sheet";"GARN";"ea";"34";"27.2";"40.8";"105.24";"714";"608.76";"0";"0";"true"
"2026-08-04";"GARN-006";"63-degree egg";"GARN";"ea";"38.534";"30.827";"46.24";"119.264";"193";"44.736";"29";"0";"true"
"2026-08-04";"GARN-007";"Half-boiled egg";"GARN";"ea";"67.707";"54.166";"81.249";"209.243";"339";"79.007";"50.75";"0";"true"
