"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"category";"sale_price_aud";"estimated_food_cost_aud";"gross_margin_aud";"gross_margin_ratio";"active";"demand_model_training_eligible";"exclusion_reason";"menu_tag_codes";"tag_gf";"tag_v";"tag_vg";"tag_a";"tag_i";"base_lunch_portions_parent";"base_dinner_portions_parent";"size_mix_assumption_pct";"source_row_number";"source_file"
"MI-006-SMALL";"MI-006";"Poke Bowl - Small";"Small";"Signature Bowls";"16.9";"5.72";"11.18";"0.661538";"true";"true";"";"A";"false";"false";"false";"true";"false";"331";"481";"50";"7";"Recipe and menu data_1_1(1).xlsx"
"MI-006-LARGE";"MI-006";"Poke Bowl - Large";"Large";"Signature Bowls";"19.9";"7.73";"12.17";"0.611558";"true";"true";"";"A";"false";"false";"false";"true";"false";"331";"481";"50";"7";"Recipe and menu data_1_1(1).xlsx"
"MI-007-SMALL";"MI-007";"Wagyu Beef Bowl - Small";"Small";"Signature Bowls";"17.9";"5.5";"12.4";"0.692737";"true";"true";"";"GF";"true";"false";"false";"false";"false";"376";"516";"50";"8";"Recipe and menu data_1_1(1).xlsx"
"MI-007-LARGE";"MI-007";"Wagyu Beef Bowl - Large";"Large";"Signature Bowls";"20.9";"7.22";"13.68";"0.654545";"true";"true";"";"GF";"true";"false";"false";"false";"false";"376";"516";"50";"8";"Recipe and menu data_1_1(1).xlsx"
"MI-008-SMALL";"MI-008";"Karaage Chicken Bowl - Small";"Small";"Signature Bowls";"16.9";"3.91";"12.99";"0.768639";"true";"true";"";"GF";"true";"false";"false";"false";"false";"349";"494";"50";"9";"Recipe and menu data_1_1(1).xlsx"
"MI-008-LARGE";"MI-008";"Karaage Chicken Bowl - Large";"Large";"Signature Bowls";"19.9";"5.32";"14.58";"0.732663";"true";"true";"";"GF";"true";"false";"false";"false";"false";"349";"494";"50";"9";"Recipe and menu data_1_1(1).xlsx"
"MI-009-SMALL";"MI-009";"Power Meal - Small";"Small";"Signature Bowls";"18.9";"6.31";"12.59";"0.666138";"true";"true";"";"A";"false";"false";"false";"true";"false";"421";"561";"50";"10";"Recipe and menu data_1_1(1).xlsx"
"MI-009-LARGE";"MI-009";"Power Meal - Large";"Large";"Signature Bowls";"21.9";"8.6";"13.3";"0.607306";"true";"true";"";"A";"false";"false";"false";"true";"false";"421";"561";"50";"10";"Recipe and menu data_1_1(1).xlsx"
"MI-010-SMALL";"MI-010";"Salmon Yuzu Bowl - Small";"Small";"Signature Bowls";"17.9";"5.98";"11.92";"0.665922";"true";"true";"";"A";"false";"false";"false";"true";"false";"374";"524";"50";"11";"Recipe and menu data_1_1(1).xlsx"
"MI-010-LARGE";"MI-010";"Salmon Yuzu Bowl - Large";"Large";"Signature Bowls";"20.9";"7.94";"12.96";"0.620096";"true";"true";"";"A";"false";"false";"false";"true";"false";"374";"524";"50";"11";"Recipe and menu data_1_1(1).xlsx"
"MI-011-STANDARD";"MI-011";"Karaage Bento";"Standard";"Protein Bento";"13.9";"5.04";"8.86";"0.63741";"true";"true";"";"None";"false";"false";"false";"false";"false";"436";"436";"";"12";"Recipe and menu data_1_1(1).xlsx"
"MI-012-STANDARD";"MI-012";"Salmon Aburi Bento";"Standard";"Protein Bento";"14.9";"6.15";"8.75";"0.587248";"true";"true";"";"A";"false";"false";"false";"true";"false";"418";"418";"";"13";"Recipe and menu data_1_1(1).xlsx"
"MI-013-STANDARD";"MI-013";"Tofu Bento";"Standard";"Protein Bento";"12.9";"4.15";"8.75";"0.678295";"true";"true";"";"None";"false";"false";"false";"false";"false";"416";"416";"";"14";"Recipe and menu data_1_1(1).xlsx"
"MI-014-SMALL";"MI-014";"Create Your Own - Sous-vide Chicken - Small";"Small";"Create Your Own Bowl";"15.9";"3.73";"12.17";"0.765409";"true";"true";"";"None";"false";"false";"false";"false";"false";"335";"465";"50";"15";"Recipe and menu data_1_1(1).xlsx"
"MI-014-LARGE";"MI-014";"Create Your Own - Sous-vide Chicken - Large";"Large";"Create Your Own Bowl";"18.9";"5.08";"13.82";"0.731217";"true";"true";"";"None";"false";"false";"false";"false";"false";"335";"465";"50";"15";"Recipe and menu data_1_1(1).xlsx"
"MI-015-SMALL";"MI-015";"Create Your Own - Seared Chicken - Small";"Small";"Create Your Own Bowl";"15.9";"3.73";"12.17";"0.765409";"true";"true";"";"None";"false";"false";"false";"false";"false";"335";"465";"50";"16";"Recipe and menu data_1_1(1).xlsx"
"MI-015-LARGE";"MI-015";"Create Your Own - Seared Chicken - Large";"Large";"Create Your Own Bowl";"18.9";"5.08";"13.82";"0.731217";"true";"true";"";"None";"false";"false";"false";"false";"false";"335";"465";"50";"16";"Recipe and menu data_1_1(1).xlsx"
"MI-016-SMALL";"MI-016";"Create Your Own - Pan-seared Tofu - Small";"Small";"Create Your Own Bowl";"15.9";"3.02";"12.88";"0.810063";"true";"true";"";"None";"false";"false";"false";"false";"false";"320";"450";"50";"17";"Recipe and menu data_1_1(1).xlsx"
"MI-016-LARGE";"MI-016";"Create Your Own - Pan-seared Tofu - Large";"Large";"Create Your Own Bowl";"18.9";"4.11";"14.79";"0.78254";"true";"true";"";"None";"false";"false";"false";"false";"false";"320";"450";"50";"17";"Recipe and menu data_1_1(1).xlsx"
"MI-017-SMALL";"MI-017";"Create Your Own - Crispy Eggplant - Small";"Small";"Create Your Own Bowl";"16.9";"3.2";"13.7";"0.810651";"true";"true";"";"None";"false";"false";"false";"false";"false";"355";"485";"50";"18";"Recipe and menu data_1_1(1).xlsx"
"MI-017-LARGE";"MI-017";"Create Your Own - Crispy Eggplant - Large";"Large";"Create Your Own Bowl";"19.9";"4.35";"15.55";"0.781407";"true";"true";"";"None";"false";"false";"false";"false";"false";"355";"485";"50";"18";"Recipe and menu data_1_1(1).xlsx"
"MI-018-SMALL";"MI-018";"Create Your Own - Miso Beet Falafel - Small";"Small";"Create Your Own Bowl";"16.9";"3.38";"13.52";"0.8";"true";"true";"";"None";"false";"false";"false";"false";"false";"375";"505";"50";"19";"Recipe and menu data_1_1(1).xlsx"
"MI-018-LARGE";"MI-018";"Create Your Own - Miso Beet Falafel - Large";"Large";"Create Your Own Bowl";"19.9";"4.59";"15.31";"0.769347";"true";"true";"";"None";"false";"false";"false";"false";"false";"375";"505";"50";"19";"Recipe and menu data_1_1(1).xlsx"
"MI-019-SMALL";"MI-019";"Create Your Own - Tiger Prawns - Small";"Small";"Create Your Own Bowl";"16.9";"4.64";"12.26";"0.725444";"true";"true";"";"I";"false";"false";"false";"false";"true";"320";"450";"50";"20";"Recipe and menu data_1_1(1).xlsx"
"MI-019-LARGE";"MI-019";"Create Your Own - Tiger Prawns - Large";"Large";"Create Your Own Bowl";"19.9";"6.29";"13.61";"0.68392";"true";"true";"";"I";"false";"false";"false";"false";"true";"320";"450";"50";"20";"Recipe and menu data_1_1(1).xlsx"
"MI-020-SMALL";"MI-020";"Create Your Own - Karaage Chicken - Small";"Small";"Create Your Own Bowl";"17.9";"3.91";"13.99";"0.781564";"true";"true";"";"None";"false";"false";"false";"false";"false";"355";"485";"50";"21";"Recipe and menu data_1_1(1).xlsx"
"MI-020-LARGE";"MI-020";"Create Your Own - Karaage Chicken - Large";"Large";"Create Your Own Bowl";"20.9";"5.32";"15.58";"0.745455";"true";"true";"";"None";"false";"false";"false";"false";"false";"355";"485";"50";"21";"Recipe and menu data_1_1(1).xlsx"
"MI-021-SMALL";"MI-021";"Create Your Own - Sashimi Salmon - Small";"Small";"Create Your Own Bowl";"17.9";"5.19";"12.71";"0.710056";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"22";"Recipe and menu data_1_1(1).xlsx"
"MI-021-LARGE";"MI-021";"Create Your Own - Sashimi Salmon - Large";"Large";"Create Your Own Bowl";"20.9";"7.04";"13.86";"0.663158";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"22";"Recipe and menu data_1_1(1).xlsx"
"MI-022-SMALL";"MI-022";"Create Your Own - Sashimi Tuna - Small";"Small";"Create Your Own Bowl";"17.9";"5.01";"12.89";"0.720112";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"23";"Recipe and menu data_1_1(1).xlsx"
"MI-022-LARGE";"MI-022";"Create Your Own - Sashimi Tuna - Large";"Large";"Create Your Own Bowl";"20.9";"6.79";"14.11";"0.67512";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"23";"Recipe and menu data_1_1(1).xlsx"
"MI-023-SMALL";"MI-023";"Create Your Own - Flame-seared Salmon - Small";"Small";"Create Your Own Bowl";"18.9";"5.01";"13.89";"0.734921";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"24";"Recipe and menu data_1_1(1).xlsx"
"MI-023-LARGE";"MI-023";"Create Your Own - Flame-seared Salmon - Large";"Large";"Create Your Own Bowl";"21.9";"6.79";"15.11";"0.689954";"true";"true";"";"A";"false";"false";"false";"true";"false";"320";"450";"50";"24";"Recipe and menu data_1_1(1).xlsx"
"MI-024-SMALL";"MI-024";"Create Your Own - Flame-seared Wagyu - Small";"Small";"Create Your Own Bowl";"18.9";"5.01";"13.89";"0.734921";"true";"true";"";"None";"false";"false";"false";"false";"false";"315";"445";"50";"25";"Recipe and menu data_1_1(1).xlsx"
"MI-024-LARGE";"MI-024";"Create Your Own - Flame-seared Wagyu - Large";"Large";"Create Your Own Bowl";"21.9";"6.79";"15.11";"0.689954";"true";"true";"";"None";"false";"false";"false";"false";"false";"315";"445";"50";"25";"Recipe and menu data_1_1(1).xlsx"
"MI-025-SMALL";"MI-025";"Create Your Own - No Protein - Small";"Small";"Create Your Own Bowl";"12.9";"2.4";"10.5";"0.813953";"true";"true";"";"None";"false";"false";"false";"false";"false";"255";"385";"50";"26";"Recipe and menu data_1_1(1).xlsx"
"MI-025-LARGE";"MI-025";"Create Your Own - No Protein - Large";"Large";"Create Your Own Bowl";"15.9";"3.09";"12.81";"0.80566";"true";"true";"";"None";"false";"false";"false";"false";"false";"255";"385";"50";"26";"Recipe and menu data_1_1(1).xlsx"
"MI-026-STANDARD";"MI-026";"Miso Soup";"Standard";"Light Bites";"2.5";"0.45";"2.05";"0.82";"true";"true";"";"None";"false";"false";"false";"false";"false";"268";"268";"";"27";"Recipe and menu data_1_1(1).xlsx"
"MI-027-STANDARD";"MI-027";"Raw Balls - Peanut Butter";"Standard";"Light Bites";"4.2";"1.15";"3.05";"0.72619";"true";"true";"";"None";"false";"false";"false";"false";"false";"45";"45";"";"28";"Recipe and menu data_1_1(1).xlsx"
"MI-028-STANDARD";"MI-028";"Raw Balls - Choc Brownie";"Standard";"Light Bites";"4.2";"1.15";"3.05";"0.72619";"true";"true";"";"None";"false";"false";"false";"false";"false";"45";"45";"";"29";"Recipe and menu data_1_1(1).xlsx"
"MI-029-STANDARD";"MI-029";"Raw Balls - Coconut Cacao";"Standard";"Light Bites";"4.2";"1.15";"3.05";"0.72619";"true";"true";"";"None";"false";"false";"false";"false";"false";"45";"45";"";"30";"Recipe and menu data_1_1(1).xlsx"
"MI-030-STANDARD";"MI-030";"Raw Balls - Hazelnut";"Standard";"Light Bites";"4.2";"1.15";"3.05";"0.72619";"true";"true";"";"None";"false";"false";"false";"false";"false";"45";"45";"";"31";"Recipe and menu data_1_1(1).xlsx"
"MI-031-STANDARD";"MI-031";"Raw Balls - Apricot Delight";"Standard";"Light Bites";"4.2";"1.15";"3.05";"0.72619";"true";"true";"";"None";"false";"false";"false";"false";"false";"45";"45";"";"32";"Recipe and menu data_1_1(1).xlsx"
"MI-032-STANDARD";"MI-032";"myDeal - $5 Crispy Chicken Bites";"Standard";"Promotions";"5";"1.6";"3.4";"0.68";"true";"true";"";"None";"false";"false";"false";"false";"false";"90";"90";"";"33";"Recipe and menu data_1_1(1).xlsx"
"MI-033-STANDARD";"MI-033";"Coconut Water";"Standard";"Drinks";"4.2";"2";"2.2";"0.52381";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"34";"Recipe and menu data_1_1(1).xlsx"
"MI-034-STANDARD";"MI-034";"Cold Pressed Juice - Watermelon Lime";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"300";"300";"";"35";"Recipe and menu data_1_1(1).xlsx"
"MI-035-STANDARD";"MI-035";"Cold Pressed Juice - Classic OJ";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"300";"300";"";"36";"Recipe and menu data_1_1(1).xlsx"
"MI-036-STANDARD";"MI-036";"Cold Pressed Juice - Pineapple Mint";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"300";"300";"";"37";"Recipe and menu data_1_1(1).xlsx"
"MI-037-STANDARD";"MI-037";"Dash Sparkling Water - Lime";"Standard";"Drinks";"4";"1.55";"2.45";"0.6125";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"38";"Recipe and menu data_1_1(1).xlsx"
"MI-038-STANDARD";"MI-038";"Dash Sparkling Water - Raspberry";"Standard";"Drinks";"4";"1.55";"2.45";"0.6125";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"39";"Recipe and menu data_1_1(1).xlsx"
"MI-039-STANDARD";"MI-039";"Dash Sparkling Water - Peach";"Standard";"Drinks";"4";"1.55";"2.45";"0.6125";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"40";"Recipe and menu data_1_1(1).xlsx"
"MI-040-STANDARD";"MI-040";"Kombucha - Ginger Lemon";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"41";"Recipe and menu data_1_1(1).xlsx"
"MI-041-STANDARD";"MI-041";"Kombucha - Lemon Lime Mint";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"42";"Recipe and menu data_1_1(1).xlsx"
"MI-042-STANDARD";"MI-042";"Kombucha - Peach";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"43";"Recipe and menu data_1_1(1).xlsx"
"MI-043-STANDARD";"MI-043";"Kombucha - Raspberry Lemonade";"Standard";"Drinks";"5.5";"2.6";"2.9";"0.527273";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"44";"Recipe and menu data_1_1(1).xlsx"
"MI-044-STANDARD";"MI-044";"Sodaly - Passionfruit";"Standard";"Drinks";"4.9";"2.1";"2.8";"0.571429";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"45";"Recipe and menu data_1_1(1).xlsx"
"MI-045-STANDARD";"MI-045";"Sodaly - Guava";"Standard";"Drinks";"4.9";"2.1";"2.8";"0.571429";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"46";"Recipe and menu data_1_1(1).xlsx"
"MI-046-STANDARD";"MI-046";"Sodaly - Raspberry";"Standard";"Drinks";"4.9";"2.1";"2.8";"0.571429";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"47";"Recipe and menu data_1_1(1).xlsx"
"MI-047-STANDARD";"MI-047";"Sparkling Water";"Standard";"Drinks";"3.5";"1.1";"2.4";"0.685714";"true";"true";"";"None";"false";"false";"false";"false";"false";"500";"500";"";"48";"Recipe and menu data_1_1(1).xlsx"
"MI-048-STANDARD";"MI-048";"Specialty Soda - Gingerella";"Standard";"Drinks";"4.9";"2.3";"2.6";"0.530612";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"49";"Recipe and menu data_1_1(1).xlsx"
"MI-049-STANDARD";"MI-049";"Specialty Soda - Karma Cola";"Standard";"Drinks";"4.9";"2.3";"2.6";"0.530612";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"50";"Recipe and menu data_1_1(1).xlsx"
"MI-050-STANDARD";"MI-050";"Specialty Soda - Lemmy";"Standard";"Drinks";"4.9";"2.3";"2.6";"0.530612";"true";"true";"";"None";"false";"false";"false";"false";"false";"330";"330";"";"51";"Recipe and menu data_1_1(1).xlsx"
"MI-051-STANDARD";"MI-051";"Still Water";"Standard";"Drinks";"3";"0.9";"2.1";"0.7";"true";"true";"";"None";"false";"false";"false";"false";"false";"600";"600";"";"52";"Recipe and menu data_1_1(1).xlsx"
"MI-052-STANDARD";"MI-052";"Yuzu Ginger Cha";"Standard";"Drinks";"4.5";"1.9";"2.6";"0.577778";"true";"true";"";"None";"false";"false";"false";"false";"false";"304";"304";"";"53";"Recipe and menu data_1_1(1).xlsx"
"MI-053-STANDARD";"MI-053";"Avocado";"Standard";"Add-ons / Modifiers";"2";"0.85";"1.15";"0.575";"true";"true";"";"None";"false";"false";"false";"false";"false";"40";"40";"";"54";"Recipe and menu data_1_1(1).xlsx"
"MI-054-STANDARD";"MI-054";"63 deg egg";"Standard";"Add-ons / Modifiers";"2.5";"0.55";"1.95";"0.78";"true";"true";"";"None";"false";"false";"false";"false";"false";"50";"50";"";"55";"Recipe and menu data_1_1(1).xlsx"
"MI-055-STANDARD";"MI-055";"Extra Salad";"Standard";"Add-ons / Modifiers";"2";"0.75";"1.25";"0.625";"true";"true";"";"None";"false";"false";"false";"false";"false";"60";"60";"";"56";"Recipe and menu data_1_1(1).xlsx"
"MI-056-STANDARD";"MI-056";"Standard topping (kimchi, corn, edamame, nori, etc.)";"Standard";"Add-ons / Modifiers";"0.5";"0.16";"0.34";"0.68";"true";"true";"";"None";"false";"false";"false";"false";"false";"35";"35";"";"57";"Recipe and menu data_1_1(1).xlsx"
"MI-057-STANDARD";"MI-057";"Extra Sauce (any)";"Standard";"Add-ons / Modifiers";"1.5";"0.4";"1.1";"0.733333";"true";"true";"";"None";"false";"false";"false";"false";"false";"30";"30";"";"58";"Recipe and menu data_1_1(1).xlsx"
"MI-058-STANDARD";"MI-058";"Extra Sous-vide / Seared Chicken";"Standard";"Add-ons / Modifiers";"4";"1";"3";"0.75";"true";"true";"";"None";"false";"false";"false";"false";"false";"80";"80";"";"59";"Recipe and menu data_1_1(1).xlsx"
"MI-059-STANDARD";"MI-059";"Extra Pan Seared Tofu";"Standard";"Add-ons / Modifiers";"4";"0.62";"3.38";"0.845";"true";"true";"";"None";"false";"false";"false";"false";"false";"65";"65";"";"60";"Recipe and menu data_1_1(1).xlsx"
"MI-060-STANDARD";"MI-060";"Extra Eggplant";"Standard";"Add-ons / Modifiers";"4";"0.71";"3.29";"0.8225";"true";"true";"";"None";"false";"false";"false";"false";"false";"100";"100";"";"61";"Recipe and menu data_1_1(1).xlsx"
"MI-061-STANDARD";"MI-061";"Extra Falafels";"Standard";"Add-ons / Modifiers";"5";"0.81";"4.19";"0.838";"true";"true";"";"None";"false";"false";"false";"false";"false";"120";"120";"";"62";"Recipe and menu data_1_1(1).xlsx"
"MI-062-STANDARD";"MI-062";"Extra Karaage Chicken";"Standard";"Add-ons / Modifiers";"5";"1.1";"3.9";"0.78";"true";"true";"";"None";"false";"false";"false";"false";"false";"100";"100";"";"63";"Recipe and menu data_1_1(1).xlsx"
"MI-063-STANDARD";"MI-063";"Extra Tiger Prawns";"Standard";"Add-ons / Modifiers";"5";"1.94";"3.06";"0.612";"true";"true";"";"I";"false";"false";"false";"false";"true";"65";"65";"";"64";"Recipe and menu data_1_1(1).xlsx"
"MI-064-STANDARD";"MI-064";"Extra Aburi / Sashimi Salmon";"Standard";"Add-ons / Modifiers";"6";"2.27";"3.73";"0.621667";"true";"true";"";"A";"false";"false";"false";"true";"false";"65";"65";"";"65";"Recipe and menu data_1_1(1).xlsx"
"MI-065-STANDARD";"MI-065";"Extra Sashimi Tuna";"Standard";"Add-ons / Modifiers";"6";"2.2";"3.8";"0.633333";"true";"true";"";"A";"false";"false";"false";"true";"false";"65";"65";"";"66";"Recipe and menu data_1_1(1).xlsx"
"MI-066-STANDARD";"MI-066";"Extra Wagyu";"Standard";"Add-ons / Modifiers";"6";"2.2";"3.8";"0.633333";"true";"true";"";"None";"false";"false";"false";"false";"false";"60";"60";"";"67";"Recipe and menu data_1_1(1).xlsx"
"MI-067-SMALL";"MI-067";"Aburi Salmon Bowl - Small";"Small";"Signature Bowls";"";"";"";"";"false";"false";"inactive menu item, missing sale price, missing food cost";"None";"false";"false";"false";"false";"false";"331";"481";"50";"68";"Recipe and menu data_1_1(1).xlsx"
"MI-067-LARGE";"MI-067";"Aburi Salmon Bowl - Large";"Large";"Signature Bowls";"";"";"";"";"false";"false";"inactive menu item, missing sale price, missing food cost";"None";"false";"false";"false";"false";"false";"331";"481";"50";"68";"Recipe and menu data_1_1(1).xlsx"
