"date";"day_of_week";"month";"season";"is_weekend";"is_public_holiday";"is_school_holiday";"special_occasion";"special_occasion_demand_factor";"restaurant_open";"data_status";"is_synthetic"
"2026-06-08";"Monday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-09";"Tuesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-10";"Wednesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-11";"Thursday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-12";"Friday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-13";"Saturday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-14";"Sunday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-15";"Monday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-16";"Tuesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-17";"Wednesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-18";"Thursday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-19";"Friday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-20";"Saturday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-21";"Sunday";"June";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-22";"Monday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-23";"Tuesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-24";"Wednesday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-25";"Thursday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-26";"Friday";"June";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-06-27";"Saturday";"June";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-06-28";"Sunday";"June";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-06-29";"Monday";"June";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-06-30";"Tuesday";"June";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-01";"Wednesday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-02";"Thursday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-03";"Friday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-04";"Saturday";"July";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-05";"Sunday";"July";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-06";"Monday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-07";"Tuesday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-08";"Wednesday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-09";"Thursday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-10";"Friday";"July";"Winter";"false";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-11";"Saturday";"July";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-12";"Sunday";"July";"Winter";"true";"false";"true";"None";"1";"true";"historical";"true"
"2026-07-13";"Monday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-14";"Tuesday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-15";"Wednesday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-16";"Thursday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-17";"Friday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-18";"Saturday";"July";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-19";"Sunday";"July";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-20";"Monday";"July";"Winter";"false";"false";"false";"University graduation period";"1.15";"true";"historical";"true"
"2026-07-21";"Tuesday";"July";"Winter";"false";"false";"false";"University graduation period";"1.15";"true";"historical";"true"
"2026-07-22";"Wednesday";"July";"Winter";"false";"false";"false";"University graduation period";"1.15";"true";"historical";"true"
"2026-07-23";"Thursday";"July";"Winter";"false";"false";"false";"University graduation period";"1.15";"true";"historical";"true"
"2026-07-24";"Friday";"July";"Winter";"false";"false";"false";"University graduation period";"1.15";"true";"historical";"true"
"2026-07-25";"Saturday";"July";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-26";"Sunday";"July";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-27";"Monday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-28";"Tuesday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-29";"Wednesday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-30";"Thursday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-07-31";"Friday";"July";"Winter";"false";"false";"false";"None";"1";"true";"historical";"true"
"2026-08-01";"Saturday";"August";"Winter";"true";"false";"false";"None";"1";"true";"historical";"true"
"2026-08-02";"Sunday";"August";"Winter";"true";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-03";"Monday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-04";"Tuesday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-05";"Wednesday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-06";"Thursday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-07";"Friday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-08";"Saturday";"August";"Winter";"true";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-09";"Sunday";"August";"Winter";"true";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-10";"Monday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
"2026-08-11";"Tuesday";"August";"Winter";"false";"false";"false";"None";"1";"true";"forecast";"true"
