menu_item_id;menu_item_name;category;sale_price_aud _small;sale_price_aud _large;estimated_food_cost_aud_small;estimated_food_cost_aud_large;active;base_lunch_portions;base_dinner_portions
MI-044;Sodaly - Passionfruit;Drinks;4.9;;2.1;;TRUE;330;330
MI-045;Sodaly - Guava;Drinks;4.9;;2.1;;TRUE;330;330
MI-046;Sodaly - Raspberry;Drinks;4.9;;2.1;;TRUE;330;330
MI-047;Sparkling Water;Drinks;3.5;;1.1;;TRUE;500;500
MI-048;Specialty Soda - Gingerella;Drinks;4.9;;2.3;;TRUE;330;330
MI-049;Specialty Soda - Karma Cola;Drinks;4.9;;2.3;;TRUE;330;330
MI-050;Specialty Soda - Lemmy;Drinks;4.9;;2.3;;TRUE;330;330
MI-051;Still Water;Drinks;3;;0.9;;TRUE;600;600
MI-052;Yuzu Ginger Cha;Drinks;4.5;;1.9;;TRUE;304;304
MI-053;Avocado;Add-ons / Modifiers;2;;0.85;;TRUE;40;40
MI-054;63 deg egg;Add-ons / Modifiers;2.5;;0.55;;TRUE;50;50
MI-055;Extra Salad;Add-ons / Modifiers;2;;0.75;;TRUE;60;60
MI-056;Standard topping (kimchi, corn, edamame, nori, etc.);Add-ons / Modifiers;0.5;;0.16;;TRUE;35;35
MI-057;Extra Sauce (any);Add-ons / Modifiers;1.5;;0.4;;TRUE;30;30
MI-058;Extra Sous-vide / Seared Chicken;Add-ons / Modifiers;4;;1;;TRUE;80;80
MI-059;Extra Pan Seared Tofu;Add-ons / Modifiers;4;;0.62;;TRUE;65;65
MI-060;Extra Eggplant;Add-ons / Modifiers;4;;0.71;;TRUE;100;100
MI-061;Extra Falafels;Add-ons / Modifiers;5;;0.81;;TRUE;120;120
MI-062;Extra Karaage Chicken;Add-ons / Modifiers;5;;1.1;;TRUE;100;100
MI-063;Extra Tiger Prawns (I);Add-ons / Modifiers;5;;1.94;;TRUE;65;65
MI-064;Extra Aburi / Sashimi Salmon (A);Add-ons / Modifiers;6;;2.27;;TRUE;65;65
MI-065;Extra Sashimi Tuna (A);Add-ons / Modifiers;6;;2.2;;TRUE;65;65
MI-066;Extra Wagyu;Add-ons / Modifiers;6;;2.2;;TRUE;60;60
MI-067;Aburi Salmon Bowl;Signature Nosh Bowls;;;;;FALSE;331;481
;;;;;;;;;
