recipe_line_id;menu_item_id;menu_item_name;ingredient_id;ingredient_name;quantity_per_portion;unit;preparation_loss_pct;effective_quantity_per_portion;
RL-0126;MI-004;Miso Falalalafel - Large;BASE-003;Turmeric coconut rice;250;g;2%;255.102;
RL-0127;MI-004;Miso Falalalafel - Large;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0128;MI-004;Miso Falalalafel - Large;PROT-010;Miso beet falafel;6;ea;2%;6.122;
RL-0129;MI-004;Miso Falalalafel - Large;SAUC-003;Spicy mayo;40;g;3%;41.237;
RL-0130;MI-004;Miso Falalalafel - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0131;MI-004;Miso Falalalafel - Large;GARN-011;Pineapple;30;g;20%;37.5;
RL-0132;MI-004;Miso Falalalafel - Large;GARN-010;Avocado;40;g;25%;53.333;
RL-0133;MI-002;Tofu Teriyaki Bowl - Small;BASE-002;Cooked brown rice;150;g;2%;153.061;
RL-0134;MI-002;Tofu Teriyaki Bowl - Small;LEAF-003;Kale;30;g;10%;33.333;
RL-0135;MI-002;Tofu Teriyaki Bowl - Small;PROT-009;Pan-seared tofu;65;g;3%;67.01;
RL-0136;MI-002;Tofu Teriyaki Bowl - Small;SAUC-001;Teriyaki sauce;30;g;3%;30.928;
RL-0137;MI-002;Tofu Teriyaki Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0138;MI-002;Tofu Teriyaki Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0139;MI-002;Tofu Teriyaki Bowl - Small;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0140;MI-002;Tofu Teriyaki Bowl - Small;GARN-004;Nori strips;2;g;0%;2;
RL-0141;MI-002;Tofu Teriyaki Bowl - Large;BASE-002;Cooked brown rice;250;g;2%;255.102;
RL-0142;MI-002;Tofu Teriyaki Bowl - Large;LEAF-003;Kale;40;g;10%;44.444;
RL-0143;MI-002;Tofu Teriyaki Bowl - Large;PROT-009;Pan-seared tofu;95;g;3%;97.938;
RL-0144;MI-002;Tofu Teriyaki Bowl - Large;SAUC-001;Teriyaki sauce;40;g;3%;41.237;
RL-0145;MI-002;Tofu Teriyaki Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0146;MI-002;Tofu Teriyaki Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0147;MI-002;Tofu Teriyaki Bowl - Large;GARN-003;Crispy shallots;1;spoon;2%;1.02;
RL-0148;MI-002;Tofu Teriyaki Bowl - Large;GARN-004;Nori strips;2;g;0%;2;
RL-0149;MI-009;Power Meal - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0150;MI-009;Power Meal - Small;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0151;MI-009;Power Meal - Small;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0152;MI-009;Power Meal - Small;PROT-003;Karaage chicken;80;g;3%;82.474;
RL-0153;MI-009;Power Meal - Small;PROT-005;Aburi salmon;50;g;12%;56.818;
RL-0154;MI-009;Power Meal - Small;SAUC-007;Yuzu kosho mayo;30;g;3%;30.928;
RL-0155;MI-009;Power Meal - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0156;MI-009;Power Meal - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0157;MI-009;Power Meal - Small;GARN-009;Lemon wedge;1;ea;0%;1;
RL-0158;MI-009;Power Meal - Small;GARN-008;Tamagoyaki;1;ea;3%;1.031;
RL-0159;MI-009;Power Meal - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0160;MI-009;Power Meal - Large;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0161;MI-009;Power Meal - Large;LEAF-001;Mixed leaf salad;15;g;8%;16.304;
RL-0162;MI-009;Power Meal - Large;PROT-003;Karaage chicken;100;g;3%;103.093;
RL-0163;MI-009;Power Meal - Large;PROT-005;Aburi salmon;60;g;12%;68.182;
RL-0164;MI-009;Power Meal - Large;SAUC-007;Yuzu kosho mayo;40;g;3%;41.237;
RL-0165;MI-009;Power Meal - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0166;MI-009;Power Meal - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0167;MI-009;Power Meal - Large;GARN-009;Lemon wedge;1;ea;0%;1;
RL-0168;MI-009;Power Meal - Large;GARN-008;Tamagoyaki;1;ea;3%;1.031;
RL-0169;MI-010;Salmon Yuzu Bowl - Small;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0170;MI-010;Salmon Yuzu Bowl - Small;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0171;MI-010;Salmon Yuzu Bowl - Small;LEAF-001;Mixed leaf salad;30;g;8%;32.609;
RL-0172;MI-010;Salmon Yuzu Bowl - Small;PROT-005;Aburi salmon;65;g;12%;73.864;
RL-0173;MI-010;Salmon Yuzu Bowl - Small;SAUC-007;Yuzu kosho mayo;30;g;3%;30.928;
RL-0174;MI-010;Salmon Yuzu Bowl - Small;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0175;MI-010;Salmon Yuzu Bowl - Small;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0176;MI-010;Salmon Yuzu Bowl - Small;GARN-005;Nori sheet;1;ea;0%;1;
RL-0177;MI-010;Salmon Yuzu Bowl - Small;GARN-009;Lemon wedge;1;ea;0%;1;
RL-0178;MI-010;Salmon Yuzu Bowl - Small;GARN-008;Tamagoyaki;1;ea;3%;1.031;
RL-0179;MI-010;Salmon Yuzu Bowl - Large;BASE-001;Cooked jasmine rice;250;g;2%;255.102;
RL-0180;MI-010;Salmon Yuzu Bowl - Large;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0181;MI-010;Salmon Yuzu Bowl - Large;LEAF-001;Mixed leaf salad;40;g;8%;43.478;
RL-0182;MI-010;Salmon Yuzu Bowl - Large;PROT-005;Aburi salmon;95;g;12%;107.955;
RL-0183;MI-010;Salmon Yuzu Bowl - Large;SAUC-007;Yuzu kosho mayo;40;g;3%;41.237;
RL-0184;MI-010;Salmon Yuzu Bowl - Large;GARN-001;Edamame;0.25;cup;3%;0.258;
RL-0185;MI-010;Salmon Yuzu Bowl - Large;GARN-002;Pickled ginger;10;g;2%;10.204;
RL-0186;MI-010;Salmon Yuzu Bowl - Large;GARN-005;Nori sheet;1;ea;0%;1;
RL-0187;MI-010;Salmon Yuzu Bowl - Large;GARN-009;Lemon wedge;1;ea;0%;1;
RL-0188;MI-010;Salmon Yuzu Bowl - Large;GARN-008;Tamagoyaki;1;ea;3%;1.031;
RL-0189;MI-011;Karaage Bento;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0190;MI-011;Karaage Bento;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0191;MI-011;Karaage Bento;SAUC-006;Creamy roasted sesame;35;g;3%;36.082;
RL-0192;MI-011;Karaage Bento;LEAF-004;Classic slaw;45;g;5%;47.368;
RL-0193;MI-011;Karaage Bento;GARN-013;Crushed walnuts;2;ea;2%;2.041;
RL-0194;MI-011;Karaage Bento;PROT-003;Karaage chicken;100;g;3%;103.093;
RL-0195;MI-011;Karaage Bento;SAUC-007;Yuzu kosho mayo;30;g;3%;30.928;
RL-0196;MI-011;Karaage Bento;GARN-007;Half-boiled egg;1;ea;5%;1.053;
RL-0197;MI-011;Karaage Bento;GARN-012;Cucumber slice;2;slice;5%;2.105;
RL-0198;MI-012;Salmon Aburi Bento;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0199;MI-012;Salmon Aburi Bento;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0200;MI-012;Salmon Aburi Bento;SAUC-006;Creamy roasted sesame;35;g;3%;36.082;
RL-0201;MI-012;Salmon Aburi Bento;LEAF-004;Classic slaw;45;g;5%;47.368;
RL-0202;MI-012;Salmon Aburi Bento;GARN-013;Crushed walnuts;2;ea;2%;2.041;
RL-0203;MI-012;Salmon Aburi Bento;PROT-005;Aburi salmon;90;g;12%;102.273;
RL-0204;MI-012;Salmon Aburi Bento;SAUC-004;Sweet miso sauce;20;g;3%;20.619;
RL-0205;MI-012;Salmon Aburi Bento;SEAS-002;Furikake;2;g;0%;2;
RL-0206;MI-012;Salmon Aburi Bento;GARN-007;Half-boiled egg;1;ea;5%;1.053;
RL-0207;MI-012;Salmon Aburi Bento;GARN-012;Cucumber slice;2;slice;5%;2.105;
RL-0208;MI-013;Tofu Bento;BASE-001;Cooked jasmine rice;150;g;2%;153.061;
RL-0209;MI-013;Tofu Bento;SEAS-001;Aonori seasoning;2;g;0%;2;
RL-0210;MI-013;Tofu Bento;SAUC-008;Bao sauce;35;g;3%;36.082;
RL-0211;MI-013;Tofu Bento;LEAF-004;Classic slaw;45;g;5%;47.368;
RL-0212;MI-013;Tofu Bento;GARN-013;Crushed walnuts;2;ea;2%;2.041;
RL-0213;MI-013;Tofu Bento;PROT-009;Pan-seared tofu;130;g;3%;134.021;
RL-0214;MI-013;Tofu Bento;SAUC-009;Warm cashew satay;30;g;3%;30.928;
RL-0215;MI-013;Tofu Bento;GARN-012;Cucumber slice;2;slice;5%;2.105;
RL-0216;MI-014;Create Your Own - Sous-vide Chicken;PROT-002;Sous-vide chicken;80;g;5%;84.211;
RL-0217;MI-015;Create Your Own - Seared Chicken;PROT-001;Seared chicken;80;g;5%;84.211;
RL-0218;MI-016;Create Your Own - Pan-seared Tofu;PROT-009;Pan-seared tofu;65;g;3%;67.01;
RL-0219;MI-017;Create Your Own - Crispy Eggplant;PROT-011;Crispy eggplant;100;g;5%;105.263;
RL-0220;MI-018;Create Your Own - Miso Beet Falafel;PROT-010;Miso beet falafel;4;ea;2%;4.082;
RL-0221;MI-019;Create Your Own - Tiger Prawns (I);PROT-008;Tiger prawns;65;g;8%;70.652;
RL-0222;MI-020;Create Your Own - Karaage Chicken;PROT-003;Karaage chicken;100;g;3%;103.093;
RL-0223;MI-021;Create Your Own - Sashimi Salmon (A);PROT-006;Sashimi salmon;65;g;12%;73.864;
RL-0224;MI-022;Create Your Own - Sashimi Tuna (A);PROT-007;Sashimi tuna;65;g;10%;72.222;
RL-0225;MI-023;Create Your Own - Flame-seared Salmon (A);PROT-005;Aburi salmon;65;g;12%;73.864;
RL-0226;MI-024;Create Your Own - Flame-seared Wagyu;PROT-004;Flame-seared wagyu;60;g;8%;65.217;
RL-0227;MI-025;Create Your Own - No Protein;PROT-012;No protein selected;0;ea;0%;0;
RL-0228;MI-026;Miso Soup;MISC-001;Miso paste (pre-packaged);1;pack;0%;1;
RL-0229;MI-026;Miso Soup;MISC-002;Water;250;ml;0%;250;
RL-0230;MI-027;Raw Balls - Peanut Butter;SNCK-001;Raw ball - Peanut Butter;1;ea;0%;1;
RL-0231;MI-028;Raw Balls - Choc Brownie;SNCK-002;Raw ball - Choc Brownie;1;ea;0%;1;
RL-0232;MI-029;Raw Balls - Coconut Cacao;SNCK-003;Raw ball - Coconut Cacao;1;ea;0%;1;
RL-0233;MI-030;Raw Balls - Hazelnut;SNCK-004;Raw ball - Hazelnut;1;ea;0%;1;
RL-0234;MI-031;Raw Balls - Apricot Delight;SNCK-005;Raw ball - Apricot Delight;1;ea;0%;1;
RL-0235;MI-032;myDeal - $5 Crispy Chicken Bites;PROT-003;Karaage chicken;90;g;3%;92.784;
RL-0236;MI-033;Coconut Water;DRNK-001;Coconut water 330ml;1;ea;0%;1;
RL-0237;MI-034;Cold Pressed Juice - Watermelon Lime;DRNK-002;Cold pressed juice - Watermelon Lime 300ml;1;ea;0%;1;
RL-0238;MI-035;Cold Pressed Juice - Classic OJ;DRNK-003;Cold pressed juice - Classic OJ 300ml;1;ea;0%;1;
RL-0239;MI-036;Cold Pressed Juice - Pineapple Mint;DRNK-004;Cold pressed juice - Pineapple Mint 300ml;1;ea;0%;1;
RL-0240;MI-037;Dash Sparkling Water - Lime;DRNK-005;Dash sparkling water - Lime 330ml;1;ea;0%;1;
RL-0241;MI-038;Dash Sparkling Water - Raspberry;DRNK-006;Dash sparkling water - Raspberry 330ml;1;ea;0%;1;
RL-0242;MI-039;Dash Sparkling Water - Peach;DRNK-007;Dash sparkling water - Peach 330ml;1;ea;0%;1;
RL-0243;MI-040;Kombucha - Ginger Lemon;DRNK-008;Kombucha - Ginger Lemon 330ml;1;ea;0%;1;
RL-0244;MI-041;Kombucha - Lemon Lime Mint;DRNK-009;Kombucha - Lemon Lime Mint 330ml;1;ea;0%;1;
RL-0245;MI-042;Kombucha - Peach;DRNK-010;Kombucha - Peach 330ml;1;ea;0%;1;
RL-0246;MI-043;Kombucha - Raspberry Lemonade;DRNK-011;Kombucha - Raspberry Lemonade 330ml;1;ea;0%;1;
RL-0247;MI-044;Sodaly - Passionfruit;DRNK-012;Sodaly - Passionfruit 330ml;1;ea;0%;1;
RL-0248;MI-045;Sodaly - Guava;DRNK-013;Sodaly - Guava 330ml;1;ea;0%;1;
RL-0249;MI-046;Sodaly - Raspberry;DRNK-014;Sodaly - Raspberry 330ml;1;ea;0%;1;
RL-0250;MI-047;Sparkling Water;DRNK-015;Sparkling water 500ml;1;ea;0%;1;
RL-0251;MI-048;Specialty Soda - Gingerella;DRNK-016;Specialty soda - Gingerella 330ml;1;ea;0%;1;
RL-0252;MI-049;Specialty Soda - Karma Cola;DRNK-017;Specialty soda - Karma Cola 330ml;1;ea;0%;1;
RL-0253;MI-050;Specialty Soda - Lemmy;DRNK-018;Specialty soda - Lemmy 330ml;1;ea;0%;1;
RL-0254;MI-051;Still Water;DRNK-019;Still water 600ml;1;ea;0%;1;
RL-0255;MI-052;Yuzu Ginger Cha;MISC-003;Fresh ginger;3;matchsticks;15%;3.529;
RL-0256;MI-052;Yuzu Ginger Cha;MISC-004;Yuzu jam;50;g;2%;51.02;
RL-0257;MI-052;Yuzu Ginger Cha;SEAS-003;Cinnamon;1;dash;0%;1;
RL-0258;MI-052;Yuzu Ginger Cha;MISC-002;Water;250;ml;0%;250;
RL-0259;MI-053;Avocado;GARN-010;Avocado;40;g;25%;53.333;
RL-0260;MI-054;63 deg egg;GARN-006;63-degree egg;1;ea;5%;1.053;
RL-0261;MI-055;Extra Salad;LEAF-001;Mixed leaf salad;60;g;8%;65.217;
RL-0262;MI-056;Standard topping (kimchi, corn, edamame, nori, etc.);GARN-014;Assorted topping (kimchi / corn / edamame / nori);0.25;cup;5%;0.263;
RL-0263;MI-057;Extra Sauce (any);SAUC-010;Assorted sauce;30;g;3%;30.928;
