"order_recommendation_id";"recommendation_date";"ingredient_id";"ingredient_name";"unit";"order_required";"forecast_demand_quantity";"usable_current_inventory_quantity";"safety_stock_quantity";"raw_order_requirement_quantity";"recommended_order_packs";"pack_size";"recommended_order_quantity";"projected_end_stock_after_order";"supplier_id";"supplier_name";"unit_cost_aud";"line_subtotal_aud";"supplier_delivery_fee_aud";"estimated_total_supplier_order_aud";"order_cutoff_time";"expected_delivery_date";"order_urgency";"recommendation_reason";"is_synthetic"
"ORD-0022";"2026-08-02";"DRNK-019";"Still water 600ml";"ea";"true";"464.32";"226";"68";"306.32";"13";"24";"312";"73.68";"SUP-DRINK";"Beverage Hub";"1.712";"534.14";"18";"552.14";"14:00:00";"2026-08-05";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0023";"2026-08-02";"GARN-001";"Edamame";"cup";"true";"884.862";"321.774";"128.71";"691.798";"87";"8";"696";"132.912";"SUP-PRODUCE";"Fresh Produce Direct";"1.485";"1033.56";"20";"1053.56";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0024";"2026-08-02";"GARN-002";"Pickled ginger";"g";"true";"31102.644";"11310";"4524";"24316.644";"25";"1000";"25000";"5207.356";"SUP-PRODUCE";"Fresh Produce Direct";"0.01045";"261.25";"20";"281.25";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0025";"2026-08-02";"GARN-003";"Crispy shallots";"spoon";"false";"1670.25";"3401";"243";"0";"0";"50";"0";"1730.75";"SUP-PANTRY";"Pantry Wholesale";"0.1296";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0026";"2026-08-02";"GARN-004";"Nori strips";"g";"false";"3982.422";"8109";"579";"0";"0";"1000";"0";"4126.578";"SUP-PANTRY";"Pantry Wholesale";"0.01122";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0027";"2026-08-02";"GARN-005";"Nori sheet";"ea";"false";"350.616";"714";"51";"0";"0";"12";"0";"363.384";"SUP-PANTRY";"Pantry Wholesale";"0.784";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0028";"2026-08-02";"GARN-006";"63-degree egg";"ea";"true";"397.338";"144.75";"58";"310.588";"26";"12";"312";"59.412";"SUP-PRODUCE";"Fresh Produce Direct";"0.611";"190.63";"20";"210.63";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0029";"2026-08-02";"GARN-007";"Half-boiled egg";"ea";"true";"696.97";"254.25";"102";"544.72";"46";"12";"552";"109.28";"SUP-PRODUCE";"Fresh Produce Direct";"0.6955";"383.92";"20";"403.92";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0030";"2026-08-02";"GARN-008";"Tamagoyaki";"ea";"true";"751.227";"273";"109";"587.227";"49";"12";"588";"109.773";"SUP-PRODUCE";"Fresh Produce Direct";"0.84";"493.92";"20";"513.92";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0031";"2026-08-02";"GARN-009";"Lemon wedge";"ea";"true";"728.689";"264.75";"106";"569.939";"48";"12";"576";"112.061";"SUP-PRODUCE";"Fresh Produce Direct";"0.808";"465.41";"20";"485.41";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0032";"2026-08-02";"GARN-010";"Avocado";"g";"true";"41051.625";"14928.75";"5971";"32093.875";"33";"1000";"33000";"6877.125";"SUP-PRODUCE";"Fresh Produce Direct";"0.01177";"388.41";"20";"408.41";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0033";"2026-08-02";"GARN-011";"Pineapple";"g";"true";"14445.6";"5253";"2101";"11293.6";"12";"1000";"12000";"2807.4";"SUP-PRODUCE";"Fresh Produce Direct";"0.01034";"124.08";"20";"144.08";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0034";"2026-08-02";"GARN-012";"Cucumber slice";"slice";"true";"2082.645";"759";"303";"1626.645";"33";"50";"1650";"326.355";"SUP-PRODUCE";"Fresh Produce Direct";"0.098";"161.7";"20";"181.7";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0035";"2026-08-02";"GARN-013";"Crushed walnuts";"ea";"false";"2018.89";"4119";"294";"0";"0";"12";"0";"2100.11";"SUP-PANTRY";"Pantry Wholesale";"0.816";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0036";"2026-08-02";"GARN-014";"Assorted topping (kimchi / corn / edamame / nori)";"cup";"false";"1140.412";"2322.317";"165.88";"0";"0";"8";"0";"1181.905";"SUP-PANTRY";"Pantry Wholesale";"1.59";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0037";"2026-08-02";"LEAF-001";"Mixed leaf salad";"g";"true";"301176.371";"109521.75";"43809";"235463.621";"236";"1000";"236000";"44345.379";"SUP-PRODUCE";"Fresh Produce Direct";"0.01224";"2888.64";"20";"2908.64";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0038";"2026-08-02";"LEAF-002";"Baby spinach";"g";"true";"11920.349";"4334.25";"1734";"9320.099";"10";"1000";"10000";"2413.901";"SUP-PRODUCE";"Fresh Produce Direct";"0.01176";"117.6";"20";"137.6";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0039";"2026-08-02";"LEAF-003";"Kale";"g";"true";"12234.944";"4448.25";"1779";"9565.694";"10";"1000";"10000";"2213.306";"SUP-PRODUCE";"Fresh Produce Direct";"0.01128";"112.8";"20";"132.8";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0040";"2026-08-02";"LEAF-004";"Classic slaw";"g";"true";"46859.449";"17071.5";"6829";"36616.949";"37";"1000";"37000";"7212.051";"SUP-PRODUCE";"Fresh Produce Direct";"0.01284";"475.08";"20";"495.08";"14:00:00";"2026-08-03";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0041";"2026-08-02";"MISC-001";"Miso paste (pre-packaged)";"pack";"true";"207.026";"101";"30";"136.026";"6";"24";"144";"37.974";"SUP-SAUCE";"Kitchen Essentials";"0.423";"60.91";"17";"77.91";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0042";"2026-08-02";"MISC-002";"Water";"ml";"false";"111311.5";"227063";"16219";"0";"0";"1000";"0";"115751.5";"SUP-PANTRY";"Pantry Wholesale";"0.00749";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0043";"2026-08-02";"MISC-003";"Fresh ginger";"matchsticks";"true";"840.775";"408";"123";"555.775";"6";"100";"600";"167.225";"SUP-SAUCE";"Kitchen Essentials";"0.0309";"18.54";"17";"35.54";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0044";"2026-08-02";"MISC-004";"Yuzu jam";"g";"true";"12154.08";"5904";"1771";"8021.08";"9";"1000";"9000";"2749.92";"SUP-SAUCE";"Kitchen Essentials";"0.00679";"61.11";"17";"78.11";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0045";"2026-08-02";"PROT-001";"Seared chicken";"g";"true";"64608.861";"23497.5";"9399";"50510.361";"26";"2000";"52000";"10888.639";"SUP-PROTEIN";"Metro Protein Supply";"0.01664";"865.28";"22";"887.28";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0046";"2026-08-02";"PROT-002";"Sous-vide chicken";"g";"true";"35735.578";"12999";"5200";"27936.578";"14";"2000";"28000";"5263.422";"SUP-PROTEIN";"Metro Protein Supply";"0.01728";"483.84";"22";"505.84";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0047";"2026-08-02";"PROT-003";"Karaage chicken";"g";"false";"162706.694";"189445";"23681";"0";"0";"2000";"0";"26738.306";"SUP-PROTEIN";"Metro Protein Supply";"0.0152";"0";"0";"0";"14:00:00";"2026-08-04";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0048";"2026-08-02";"PROT-004";"Flame-seared wagyu";"g";"true";"50849.71";"18491.25";"7396";"39754.46";"20";"2000";"40000";"7641.54";"SUP-PROTEIN";"Metro Protein Supply";"0.0606";"2424";"22";"2446";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0049";"2026-08-02";"PROT-005";"Aburi salmon";"g";"true";"114981.138";"41838.75";"16735";"89877.388";"45";"2000";"90000";"16857.612";"SUP-OCEAN";"OceanFresh Seafood";"0.03675";"3307.5";"24";"3331.5";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0050";"2026-08-02";"PROT-006";"Sashimi salmon";"g";"true";"72292.731";"26289.75";"10516";"56518.981";"29";"2000";"58000";"11997.019";"SUP-OCEAN";"OceanFresh Seafood";"0.0322";"1867.6";"24";"1891.6";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0051";"2026-08-02";"PROT-007";"Sashimi tuna";"g";"true";"56885.959";"20687.25";"8275";"44473.709";"23";"2000";"46000";"9801.291";"SUP-OCEAN";"OceanFresh Seafood";"0.03648";"1678.08";"24";"1702.08";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0052";"2026-08-02";"PROT-008";"Tiger prawns";"g";"false";"28482.361";"33148";"4143";"0";"0";"2000";"0";"4665.639";"SUP-OCEAN";"OceanFresh Seafood";"0.03264";"0";"0";"0";"14:00:00";"2026-08-04";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0053";"2026-08-02";"PROT-009";"Pan-seared tofu";"g";"true";"96488.216";"35118.75";"14048";"75417.466";"38";"2000";"76000";"14630.534";"SUP-PROTEIN";"Metro Protein Supply";"0.00954";"725.04";"22";"747.04";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0054";"2026-08-02";"PROT-010";"Miso beet falafel";"ea";"false";"4010.35";"4668";"584";"0";"0";"12";"0";"657.65";"SUP-PROTEIN";"Metro Protein Supply";"0.792";"0";"0";"0";"14:00:00";"2026-08-04";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0055";"2026-08-02";"PROT-011";"Crispy eggplant";"g";"false";"89875.124";"104592";"13074";"0";"0";"2000";"0";"14716.876";"SUP-PROTEIN";"Metro Protein Supply";"0.00855";"0";"0";"0";"14:00:00";"2026-08-04";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0056";"2026-08-02";"SAUC-001";"Teriyaki sauce";"g";"true";"47370.464";"22966";"6890";"31294.464";"32";"1000";"32000";"7595.536";"SUP-SAUCE";"Kitchen Essentials";"0.0102";"326.4";"17";"343.4";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0057";"2026-08-02";"SAUC-002";"Japanese mayo";"g";"true";"3439.682";"1668";"500";"2271.682";"3";"1000";"3000";"1228.318";"SUP-SAUCE";"Kitchen Essentials";"0.0098";"29.4";"17";"46.4";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0058";"2026-08-02";"SAUC-003";"Spicy mayo";"g";"true";"17282.63";"8380";"2514";"11416.63";"12";"1000";"12000";"3097.37";"SUP-SAUCE";"Kitchen Essentials";"0.0094";"112.8";"17";"129.8";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0059";"2026-08-02";"SAUC-004";"Sweet miso sauce";"g";"true";"18731.968";"9089";"2727";"12369.968";"13";"1000";"13000";"3357.032";"SUP-SAUCE";"Kitchen Essentials";"0.0107";"139.1";"17";"156.1";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0060";"2026-08-02";"SAUC-005";"Shoyu";"g";"true";"12786.115";"6198";"1860";"8448.115";"9";"1000";"9000";"2411.885";"SUP-SAUCE";"Kitchen Essentials";"0.0103";"92.7";"17";"109.7";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0061";"2026-08-02";"SAUC-006";"Creamy roasted sesame";"g";"true";"35442.788";"17205";"5161";"23398.788";"24";"1000";"24000";"5762.212";"SUP-SAUCE";"Kitchen Essentials";"0.0099";"237.6";"17";"254.6";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0062";"2026-08-02";"SAUC-007";"Yuzu kosho mayo";"g";"true";"36655.435";"17784";"5335";"24206.435";"25";"1000";"25000";"6128.565";"SUP-SAUCE";"Kitchen Essentials";"0.0095";"237.5";"17";"254.5";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0063";"2026-08-02";"SAUC-008";"Bao sauce";"g";"true";"11803.657";"5735";"1720";"7788.657";"8";"1000";"8000";"1931.343";"SUP-SAUCE";"Kitchen Essentials";"0.0104";"83.2";"17";"100.2";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0064";"2026-08-02";"SAUC-009";"Warm cashew satay";"g";"true";"10117.421";"4915";"1475";"6677.421";"7";"1000";"7000";"1797.579";"SUP-SAUCE";"Kitchen Essentials";"0.01";"70";"17";"87";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0065";"2026-08-02";"SAUC-010";"Assorted sauce";"g";"true";"133959.342";"64951";"19485";"88493.342";"89";"1000";"89000";"19991.658";"SUP-SAUCE";"Kitchen Essentials";"0.0093";"827.7";"17";"844.7";"14:00:00";"2026-08-04";"High";"Forecast demand plus safety stock exceeds usable inventory";"true"
"ORD-0066";"2026-08-02";"SEAS-001";"Aonori seasoning";"g";"false";"3435.888";"7005";"500";"0";"0";"1000";"0";"3569.112";"SUP-PANTRY";"Pantry Wholesale";"0.02112";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0067";"2026-08-02";"SEAS-002";"Furikake";"g";"false";"1363.016";"2778";"250";"0";"0";"1000";"0";"1414.984";"SUP-PANTRY";"Pantry Wholesale";"0.02024";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0068";"2026-08-02";"SEAS-003";"Cinnamon";"dash";"false";"238.22";"486";"35";"0";"0";"100";"0";"247.78";"SUP-PANTRY";"Pantry Wholesale";"0.021";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0069";"2026-08-02";"SNCK-001";"Raw ball - Peanut Butter";"ea";"false";"38.943";"80";"6";"0";"0";"12";"0";"41.057";"SUP-PANTRY";"Pantry Wholesale";"1.296";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0070";"2026-08-02";"SNCK-002";"Raw ball - Choc Brownie";"ea";"false";"37.851";"77";"6";"0";"0";"12";"0";"39.149";"SUP-PANTRY";"Pantry Wholesale";"1.3635";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0071";"2026-08-02";"SNCK-003";"Raw ball - Coconut Cacao";"ea";"false";"38.218";"78";"6";"0";"0";"12";"0";"39.782";"SUP-PANTRY";"Pantry Wholesale";"1.4175";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0072";"2026-08-02";"SNCK-004";"Raw ball - Hazelnut";"ea";"false";"37.877";"77";"6";"0";"0";"12";"0";"39.123";"SUP-PANTRY";"Pantry Wholesale";"1.458";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
"ORD-0073";"2026-08-02";"SNCK-005";"Raw ball - Apricot Delight";"ea";"false";"38.965";"80";"6";"0";"0";"12";"0";"41.035";"SUP-PANTRY";"Pantry Wholesale";"1.2825";"0";"0";"0";"14:00:00";"2026-08-05";"Low";"Current inventory covers forecast demand and safety stock";"true"
