"source_row_number;""menu_item_id"";""menu_item_name_source"";""menu_item_name_clean"";""category"";""sale_price_aud_small"";""sale_price_aud_large"";""estimated_food_cost_aud_small"";""estimated_food_cost_aud_large"";""active"";""menu_tag_codes"";""tag_gf"";""tag_v"";""tag_vg"";""tag_a"";""tag_i"";""base_lunch_portions"";""base_dinner_portions"";""source_file"""
"12;""MI-011"";""Karaage Bento"";""Karaage Bento"";""Protein Bento"";""13.9"";"""";""5.04"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""436"";""436"";""Recipe and menu data_1_1(1).xlsx"""
"13;""MI-012"";""Salmon Aburi Bento (A)"";""Salmon Aburi Bento"";""Protein Bento"";""14.9"";"""";""6.15"";"""";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""418"";""418"";""Recipe and menu data_1_1(1).xlsx"""
"14;""MI-013"";""Tofu Bento"";""Tofu Bento"";""Protein Bento"";""12.9"";"""";""4.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""416"";""416"";""Recipe and menu data_1_1(1).xlsx"""
"15;""MI-014"";""Create Your Own - Sous-vide Chicken"";""Create Your Own - Sous-vide Chicken"";""Create Your Own Bowl"";""15.9"";""18.9"";""3.73"";""5.08"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""335"";""465"";""Recipe and menu data_1_1(1).xlsx"""
"16;""MI-015"";""Create Your Own - Seared Chicken"";""Create Your Own - Seared Chicken"";""Create Your Own Bowl"";""15.9"";""18.9"";""3.73"";""5.08"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""335"";""465"";""Recipe and menu data_1_1(1).xlsx"""
"17;""MI-016"";""Create Your Own - Pan-seared Tofu"";""Create Your Own - Pan-seared Tofu"";""Create Your Own Bowl"";""15.9"";""18.9"";""3.02"";""4.11"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""320"";""450"";""Recipe and menu data_1_1(1).xlsx"""
"18;""MI-017"";""Create Your Own - Crispy Eggplant"";""Create Your Own - Crispy Eggplant"";""Create Your Own Bowl"";""16.9"";""19.9"";""3.2"";""4.35"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""355"";""485"";""Recipe and menu data_1_1(1).xlsx"""
"19;""MI-018"";""Create Your Own - Miso Beet Falafel"";""Create Your Own - Miso Beet Falafel"";""Create Your Own Bowl"";""16.9"";""19.9"";""3.38"";""4.59"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""375"";""505"";""Recipe and menu data_1_1(1).xlsx"""
"20;""MI-019"";""Create Your Own - Tiger Prawns (I)"";""Create Your Own - Tiger Prawns"";""Create Your Own Bowl"";""16.9"";""19.9"";""4.64"";""6.29"";""true"";""I"";""false"";""false"";""false"";""false"";""true"";""320"";""450"";""Recipe and menu data_1_1(1).xlsx"""
"21;""MI-020"";""Create Your Own - Karaage Chicken"";""Create Your Own - Karaage Chicken"";""Create Your Own Bowl"";""17.9"";""20.9"";""3.91"";""5.32"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""355"";""485"";""Recipe and menu data_1_1(1).xlsx"""
"22;""MI-021"";""Create Your Own - Sashimi Salmon (A)"";""Create Your Own - Sashimi Salmon"";""Create Your Own Bowl"";""17.9"";""20.9"";""5.19"";""7.04"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""320"";""450"";""Recipe and menu data_1_1(1).xlsx"""
"23;""MI-022"";""Create Your Own - Sashimi Tuna (A)"";""Create Your Own - Sashimi Tuna"";""Create Your Own Bowl"";""17.9"";""20.9"";""5.01"";""6.79"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""320"";""450"";""Recipe and menu data_1_1(1).xlsx"""
"24;""MI-023"";""Create Your Own - Flame-seared Salmon (A)"";""Create Your Own - Flame-seared Salmon"";""Create Your Own Bowl"";""18.9"";""21.9"";""5.01"";""6.79"";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""320"";""450"";""Recipe and menu data_1_1(1).xlsx"""
"25;""MI-024"";""Create Your Own - Flame-seared Wagyu"";""Create Your Own - Flame-seared Wagyu"";""Create Your Own Bowl"";""18.9"";""21.9"";""5.01"";""6.79"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""315"";""445"";""Recipe and menu data_1_1(1).xlsx"""
"26;""MI-025"";""Create Your Own - No Protein"";""Create Your Own - No Protein"";""Create Your Own Bowl"";""12.9"";""15.9"";""2.4"";""3.09"";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""255"";""385"";""Recipe and menu data_1_1(1).xlsx"""
"27;""MI-026"";""Miso Soup"";""Miso Soup"";""Light Bites"";""2.5"";"""";""0.45"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""268"";""268"";""Recipe and menu data_1_1(1).xlsx"""
"28;""MI-027"";""Raw Balls - Peanut Butter"";""Raw Balls - Peanut Butter"";""Light Bites"";""4.2"";"""";""1.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""45"";""45"";""Recipe and menu data_1_1(1).xlsx"""
"29;""MI-028"";""Raw Balls - Choc Brownie"";""Raw Balls - Choc Brownie"";""Light Bites"";""4.2"";"""";""1.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""45"";""45"";""Recipe and menu data_1_1(1).xlsx"""
"30;""MI-029"";""Raw Balls - Coconut Cacao"";""Raw Balls - Coconut Cacao"";""Light Bites"";""4.2"";"""";""1.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""45"";""45"";""Recipe and menu data_1_1(1).xlsx"""
"31;""MI-030"";""Raw Balls - Hazelnut"";""Raw Balls - Hazelnut"";""Light Bites"";""4.2"";"""";""1.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""45"";""45"";""Recipe and menu data_1_1(1).xlsx"""
"32;""MI-031"";""Raw Balls - Apricot Delight"";""Raw Balls - Apricot Delight"";""Light Bites"";""4.2"";"""";""1.15"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""45"";""45"";""Recipe and menu data_1_1(1).xlsx"""
"33;""MI-032"";""myDeal - $5 Crispy Chicken Bites"";""myDeal - $5 Crispy Chicken Bites"";""Promotions"";""5"";"""";""1.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""90"";""90"";""Recipe and menu data_1_1(1).xlsx"""
"34;""MI-033"";""Coconut Water"";""Coconut Water"";""Drinks"";""4.2"";"""";""2"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"35;""MI-034"";""Cold Pressed Juice - Watermelon Lime"";""Cold Pressed Juice - Watermelon Lime"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""300"";""300"";""Recipe and menu data_1_1(1).xlsx"""
"36;""MI-035"";""Cold Pressed Juice - Classic OJ"";""Cold Pressed Juice - Classic OJ"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""300"";""300"";""Recipe and menu data_1_1(1).xlsx"""
"37;""MI-036"";""Cold Pressed Juice - Pineapple Mint"";""Cold Pressed Juice - Pineapple Mint"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""300"";""300"";""Recipe and menu data_1_1(1).xlsx"""
"38;""MI-037"";""Dash Sparkling Water - Lime"";""Dash Sparkling Water - Lime"";""Drinks"";""4"";"""";""1.55"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"39;""MI-038"";""Dash Sparkling Water - Raspberry"";""Dash Sparkling Water - Raspberry"";""Drinks"";""4"";"""";""1.55"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"40;""MI-039"";""Dash Sparkling Water - Peach"";""Dash Sparkling Water - Peach"";""Drinks"";""4"";"""";""1.55"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"41;""MI-040"";""Kombucha - Ginger Lemon"";""Kombucha - Ginger Lemon"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"42;""MI-041"";""Kombucha - Lemon Lime Mint"";""Kombucha - Lemon Lime Mint"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"43;""MI-042"";""Kombucha - Peach"";""Kombucha - Peach"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"44;""MI-043"";""Kombucha - Raspberry Lemonade"";""Kombucha - Raspberry Lemonade"";""Drinks"";""5.5"";"""";""2.6"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"45;""MI-044"";""Sodaly - Passionfruit"";""Sodaly - Passionfruit"";""Drinks"";""4.9"";"""";""2.1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"46;""MI-045"";""Sodaly - Guava"";""Sodaly - Guava"";""Drinks"";""4.9"";"""";""2.1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"47;""MI-046"";""Sodaly - Raspberry"";""Sodaly - Raspberry"";""Drinks"";""4.9"";"""";""2.1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"48;""MI-047"";""Sparkling Water"";""Sparkling Water"";""Drinks"";""3.5"";"""";""1.1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""500"";""500"";""Recipe and menu data_1_1(1).xlsx"""
"49;""MI-048"";""Specialty Soda - Gingerella"";""Specialty Soda - Gingerella"";""Drinks"";""4.9"";"""";""2.3"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"50;""MI-049"";""Specialty Soda - Karma Cola"";""Specialty Soda - Karma Cola"";""Drinks"";""4.9"";"""";""2.3"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"51;""MI-050"";""Specialty Soda - Lemmy"";""Specialty Soda - Lemmy"";""Drinks"";""4.9"";"""";""2.3"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""330"";""330"";""Recipe and menu data_1_1(1).xlsx"""
"52;""MI-051"";""Still Water"";""Still Water"";""Drinks"";""3"";"""";""0.9"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""600"";""600"";""Recipe and menu data_1_1(1).xlsx"""
"53;""MI-052"";""Yuzu Ginger Cha"";""Yuzu Ginger Cha"";""Drinks"";""4.5"";"""";""1.9"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""304"";""304"";""Recipe and menu data_1_1(1).xlsx"""
"54;""MI-053"";""Avocado"";""Avocado"";""Add-ons / Modifiers"";""2"";"""";""0.85"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""40"";""40"";""Recipe and menu data_1_1(1).xlsx"""
"55;""MI-054"";""63 deg egg"";""63 deg egg"";""Add-ons / Modifiers"";""2.5"";"""";""0.55"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""50"";""50"";""Recipe and menu data_1_1(1).xlsx"""
"56;""MI-055"";""Extra Salad"";""Extra Salad"";""Add-ons / Modifiers"";""2"";"""";""0.75"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""60"";""60"";""Recipe and menu data_1_1(1).xlsx"""
"57;""MI-056"";""Standard topping (kimchi"; corn; edamame; nori;" etc.)"";""Standard topping (kimchi"; corn; edamame; nori;" etc.)"";""Add-ons / Modifiers"";""0.5"";"""";""0.16"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""35"";""35"";""Recipe and menu data_1_1(1).xlsx"""
"58;""MI-057"";""Extra Sauce (any)"";""Extra Sauce (any)"";""Add-ons / Modifiers"";""1.5"";"""";""0.4"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""30"";""30"";""Recipe and menu data_1_1(1).xlsx"""
"59;""MI-058"";""Extra Sous-vide / Seared Chicken"";""Extra Sous-vide / Seared Chicken"";""Add-ons / Modifiers"";""4"";"""";""1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""80"";""80"";""Recipe and menu data_1_1(1).xlsx"""
"60;""MI-059"";""Extra Pan Seared Tofu"";""Extra Pan Seared Tofu"";""Add-ons / Modifiers"";""4"";"""";""0.62"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""65"";""65"";""Recipe and menu data_1_1(1).xlsx"""
"61;""MI-060"";""Extra Eggplant"";""Extra Eggplant"";""Add-ons / Modifiers"";""4"";"""";""0.71"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""100"";""100"";""Recipe and menu data_1_1(1).xlsx"""
"62;""MI-061"";""Extra Falafels"";""Extra Falafels"";""Add-ons / Modifiers"";""5"";"""";""0.81"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""120"";""120"";""Recipe and menu data_1_1(1).xlsx"""
"63;""MI-062"";""Extra Karaage Chicken"";""Extra Karaage Chicken"";""Add-ons / Modifiers"";""5"";"""";""1.1"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""100"";""100"";""Recipe and menu data_1_1(1).xlsx"""
"64;""MI-063"";""Extra Tiger Prawns (I)"";""Extra Tiger Prawns"";""Add-ons / Modifiers"";""5"";"""";""1.94"";"""";""true"";""I"";""false"";""false"";""false"";""false"";""true"";""65"";""65"";""Recipe and menu data_1_1(1).xlsx"""
"65;""MI-064"";""Extra Aburi / Sashimi Salmon (A)"";""Extra Aburi / Sashimi Salmon"";""Add-ons / Modifiers"";""6"";"""";""2.27"";"""";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""65"";""65"";""Recipe and menu data_1_1(1).xlsx"""
"66;""MI-065"";""Extra Sashimi Tuna (A)"";""Extra Sashimi Tuna"";""Add-ons / Modifiers"";""6"";"""";""2.2"";"""";""true"";""A"";""false"";""false"";""false"";""true"";""false"";""65"";""65"";""Recipe and menu data_1_1(1).xlsx"""
"67;""MI-066"";""Extra Wagyu"";""Extra Wagyu"";""Add-ons / Modifiers"";""6"";"""";""2.2"";"""";""true"";""None"";""false"";""false"";""false"";""false"";""false"";""60"";""60"";""Recipe and menu data_1_1(1).xlsx"""
"68;""MI-067"";""Aburi Salmon Bowl"";""Aburi Salmon Bowl"";""Signature Bowls"";"""";"""";"""";"""";""false"";""None"";""false"";""false"";""false"";""false"";""false"";""331"";""481"";""Recipe and menu data_1_1(1).xlsx"""
