"file_name;""field_order"";""field_name"";""data_type"";""required_for_join_or_model"";""description"""
"historical_sales.csv;""15"";""promotion_id"";""text"";""Yes"";""Promotion id."""
"historical_sales.csv;""16"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"current_inventory.csv;""1"";""restaurant_id"";""text"";""Yes"";""Restaurant id."""
"current_inventory.csv;""2"";""inventory_as_of_date"";""date"";""Yes"";""Inventory as of date."""
"current_inventory.csv;""3"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"current_inventory.csv;""4"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"current_inventory.csv;""5"";""category"";""text"";""Depends on feature"";""Category."""
"current_inventory.csv;""6"";""current_quantity"";""number"";""Depends on feature"";""Current quantity."""
"current_inventory.csv;""7"";""unit"";""text"";""Depends on feature"";""Unit."""
"current_inventory.csv;""8"";""safety_stock_quantity"";""number"";""Depends on feature"";""Safety stock quantity."""
"current_inventory.csv;""9"";""reorder_threshold_quantity"";""number"";""Depends on feature"";""Reorder threshold quantity."""
"current_inventory.csv;""10"";""unit_cost_aud"";""number"";""Depends on feature"";""Unit cost aud."""
"current_inventory.csv;""11"";""inventory_value_aud"";""number"";""Depends on feature"";""Inventory value aud."""
"current_inventory.csv;""12"";""storage_type"";""text"";""Depends on feature"";""Storage type."""
"current_inventory.csv;""13"";""storage_location"";""text"";""Depends on feature"";""Storage location."""
"current_inventory.csv;""14"";""last_count_timestamp"";""timestamp"";""Depends on feature"";""Last count timestamp."""
"current_inventory.csv;""15"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"inventory_batches_expiry.csv;""1"";""batch_id"";""text"";""Yes"";""Batch id."""
"inventory_batches_expiry.csv;""2"";""restaurant_id"";""text"";""Yes"";""Restaurant id."""
"inventory_batches_expiry.csv;""3"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"inventory_batches_expiry.csv;""4"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"inventory_batches_expiry.csv;""5"";""received_date"";""date"";""Yes"";""Received date."""
"inventory_batches_expiry.csv;""6"";""expiry_date"";""date"";""Yes"";""Expiry date."""
"inventory_batches_expiry.csv;""7"";""days_until_expiry"";""number"";""Depends on feature"";""Days until expiry."""
"inventory_batches_expiry.csv;""8"";""shelf_life_days"";""text"";""Depends on feature"";""Shelf life days."""
"inventory_batches_expiry.csv;""9"";""quantity_remaining"";""number"";""Depends on feature"";""Quantity remaining."""
"inventory_batches_expiry.csv;""10"";""unit"";""text"";""Depends on feature"";""Unit."""
"inventory_batches_expiry.csv;""11"";""unit_cost_aud"";""number"";""Depends on feature"";""Unit cost aud."""
"inventory_batches_expiry.csv;""12"";""batch_value_aud"";""number"";""Depends on feature"";""Batch value aud."""
"inventory_batches_expiry.csv;""13"";""storage_type"";""text"";""Depends on feature"";""Storage type."""
"inventory_batches_expiry.csv;""14"";""storage_location"";""text"";""Depends on feature"";""Storage location."""
"inventory_batches_expiry.csv;""15"";""stock_rotation_priority"";""text"";""Depends on feature"";""Stock rotation priority."""
"inventory_batches_expiry.csv;""16"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"reservations.csv;""1"";""date"";""date"";""Yes"";""Date."""
"reservations.csv;""2"";""service_period"";""text"";""Depends on feature"";""Service period."""
"reservations.csv;""3"";""record_type"";""text"";""Depends on feature"";""Record type."""
"reservations.csv;""4"";""bookings_count"";""number"";""Depends on feature"";""Bookings count."""
"reservations.csv;""5"";""reserved_covers"";""number"";""Depends on feature"";""Reserved covers."""
"reservations.csv;""6"";""cancellation_rate_pct"";""number"";""Depends on feature"";""Cancellation rate pct."""
"reservations.csv;""7"";""cancelled_covers"";""number"";""Depends on feature"";""Cancelled covers."""
"reservations.csv;""8"";""confirmed_covers"";""number"";""Depends on feature"";""Confirmed covers."""
"reservations.csv;""9"";""walk_in_covers_actual"";""number"";""Depends on feature"";""Walk in covers actual."""
"reservations.csv;""10"";""data_snapshot_date"";""date"";""Yes"";""Data snapshot date."""
"reservations.csv;""11"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"weather.csv;""1"";""date"";""date"";""Yes"";""Date."""
"weather.csv;""2"";""record_type"";""text"";""Depends on feature"";""Record type."""
"weather.csv;""3"";""minimum_temperature_c"";""number"";""Depends on feature"";""Minimum temperature c."""
"weather.csv;""4"";""maximum_temperature_c"";""number"";""Depends on feature"";""Maximum temperature c."""
"weather.csv;""5"";""average_temperature_c"";""number"";""Depends on feature"";""Average temperature c."""
"weather.csv;""6"";""rain_probability_pct"";""number"";""Depends on feature"";""Rain probability pct."""
"weather.csv;""7"";""rainfall_mm"";""number"";""Depends on feature"";""Rainfall mm."""
"weather.csv;""8"";""condition"";""text"";""Depends on feature"";""Condition."""
"weather.csv;""9"";""is_hot_day"";""boolean"";""Depends on feature"";""Is hot day."""
"weather.csv;""10"";""is_cold_day"";""boolean"";""Depends on feature"";""Is cold day."""
"weather.csv;""11"";""forecast_horizon_days"";""number"";""Depends on feature"";""Forecast horizon days."""
"weather.csv;""12"";""location"";""text"";""Depends on feature"";""Location."""
"weather.csv;""13"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"local_events.csv;""1"";""event_id"";""text"";""Yes"";""Event id."""
"local_events.csv;""2"";""event_date"";""date"";""Yes"";""Event date."""
"local_events.csv;""3"";""event_type"";""text"";""Depends on feature"";""Event type."""
"local_events.csv;""4"";""event_name"";""text"";""Depends on feature"";""Event name."""
"local_events.csv;""5"";""venue_name"";""text"";""Depends on feature"";""Venue name."""
"local_events.csv;""6"";""start_time"";""time"";""Depends on feature"";""Start time."""
"local_events.csv;""7"";""end_time"";""time"";""Depends on feature"";""End time."""
"local_events.csv;""8"";""service_period_impacted"";""text"";""Depends on feature"";""Service period impacted."""
"local_events.csv;""9"";""distance_from_restaurant_km"";""number"";""Depends on feature"";""Distance from restaurant km."""
"local_events.csv;""10"";""estimated_attendance"";""number"";""Depends on feature"";""Estimated attendance."""
"local_events.csv;""11"";""demand_relevance_score"";""number"";""Depends on feature"";""Demand relevance score."""
"local_events.csv;""12"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"calendar_context.csv;""1"";""date"";""date"";""Yes"";""Date."""
"calendar_context.csv;""2"";""day_of_week"";""text"";""Depends on feature"";""Day of week."""
"calendar_context.csv;""3"";""month"";""text"";""Depends on feature"";""Month."""
"calendar_context.csv;""4"";""season"";""text"";""Depends on feature"";""Season."""
"calendar_context.csv;""5"";""is_weekend"";""boolean"";""Depends on feature"";""Is weekend."""
"calendar_context.csv;""6"";""is_public_holiday"";""boolean"";""Depends on feature"";""Is public holiday."""
"calendar_context.csv;""7"";""is_school_holiday"";""boolean"";""Depends on feature"";""Is school holiday."""
"calendar_context.csv;""8"";""special_occasion"";""text"";""Depends on feature"";""Special occasion."""
"calendar_context.csv;""9"";""special_occasion_demand_factor"";""number"";""Depends on feature"";""Special occasion demand factor."""
"calendar_context.csv;""10"";""restaurant_open"";""boolean"";""Depends on feature"";""Restaurant open."""
"calendar_context.csv;""11"";""data_status"";""text"";""Depends on feature"";""Data status."""
"calendar_context.csv;""12"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"suppliers.csv;""1"";""supplier_offer_id"";""text"";""Yes"";""Supplier offer id."""
"suppliers.csv;""2"";""supplier_id"";""text"";""Yes"";""Supplier id."""
"suppliers.csv;""3"";""supplier_name"";""text"";""Depends on feature"";""Supplier name."""
"suppliers.csv;""4"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"suppliers.csv;""5"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"suppliers.csv;""6"";""is_primary_supplier"";""boolean"";""Depends on feature"";""Is primary supplier."""
"suppliers.csv;""7"";""pack_size"";""number"";""Depends on feature"";""Pack size."""
"suppliers.csv;""8"";""unit"";""text"";""Depends on feature"";""Unit."""
"suppliers.csv;""9"";""minimum_order_packs"";""text"";""Depends on feature"";""Minimum order packs."""
"suppliers.csv;""10"";""minimum_order_quantity"";""number"";""Depends on feature"";""Minimum order quantity."""
"suppliers.csv;""11"";""unit_cost_aud"";""number"";""Depends on feature"";""Unit cost aud."""
"suppliers.csv;""12"";""pack_cost_aud"";""number"";""Depends on feature"";""Pack cost aud."""
"suppliers.csv;""13"";""delivery_fee_aud"";""number"";""Depends on feature"";""Delivery fee aud."""
"suppliers.csv;""14"";""free_delivery_threshold_aud"";""text"";""Depends on feature"";""Free delivery threshold aud."""
"suppliers.csv;""15"";""lead_time_days"";""number"";""Depends on feature"";""Lead time days."""
"suppliers.csv;""16"";""delivery_days"";""text"";""Depends on feature"";""Delivery days."""
"suppliers.csv;""17"";""order_cutoff_time"";""time"";""Depends on feature"";""Order cutoff time."""
"suppliers.csv;""18"";""reliability_score_pct"";""number"";""Depends on feature"";""Reliability score pct."""
"suppliers.csv;""19"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"promotion_history.csv;""1"";""promotion_id"";""text"";""Yes"";""Promotion id."""
"promotion_history.csv;""2"";""promotion_date"";""date"";""Yes"";""Promotion date."""
"promotion_history.csv;""3"";""service_period"";""text"";""Depends on feature"";""Service period."""
"promotion_history.csv;""4"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"promotion_history.csv;""5"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"promotion_history.csv;""6"";""menu_variant_name"";""text"";""Depends on feature"";""Menu variant name."""
"promotion_history.csv;""7"";""targeted_ingredient_id"";""text"";""Yes"";""Targeted ingredient id."""
"promotion_history.csv;""8"";""targeted_ingredient_name"";""text"";""Depends on feature"";""Targeted ingredient name."""
"promotion_history.csv;""9"";""discount_pct"";""number"";""Depends on feature"";""Discount pct."""
"promotion_history.csv;""10"";""baseline_portions"";""number"";""Depends on feature"";""Baseline portions."""
"promotion_history.csv;""11"";""actual_portions_sold"";""number"";""Depends on feature"";""Actual portions sold."""
"promotion_history.csv;""12"";""uplift_pct"";""number"";""Depends on feature"";""Uplift pct."""
"promotion_history.csv;""13"";""at_risk_quantity"";""number"";""Depends on feature"";""At risk quantity."""
"promotion_history.csv;""14"";""unit"";""text"";""Depends on feature"";""Unit."""
"promotion_history.csv;""15"";""estimated_waste_avoided_quantity"";""number"";""Depends on feature"";""Estimated waste avoided quantity."""
"promotion_history.csv;""16"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"model_input_table.csv;""1"";""data_split"";""text"";""Depends on feature"";""Data split."""
"model_input_table.csv;""2"";""date"";""date"";""Yes"";""Date."""
"model_input_table.csv;""3"";""service_period"";""text"";""Depends on feature"";""Service period."""
"model_input_table.csv;""4"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"model_input_table.csv;""5"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"model_input_table.csv;""6"";""menu_item_name"";""text"";""Depends on feature"";""Menu item name."""
"model_input_table.csv;""7"";""portion_size"";""text"";""Depends on feature"";""Portion size."""
"model_input_table.csv;""8"";""category"";""text"";""Depends on feature"";""Category."""
"model_input_table.csv;""9"";""day_of_week"";""text"";""Depends on feature"";""Day of week."""
"model_input_table.csv;""10"";""month"";""text"";""Depends on feature"";""Month."""
"model_input_table.csv;""11"";""season"";""text"";""Depends on feature"";""Season."""
"model_input_table.csv;""12"";""is_weekend"";""boolean"";""Depends on feature"";""Is weekend."""
"model_input_table.csv;""13"";""is_public_holiday"";""boolean"";""Depends on feature"";""Is public holiday."""
"model_input_table.csv;""14"";""is_school_holiday"";""boolean"";""Depends on feature"";""Is school holiday."""
"model_input_table.csv;""15"";""special_occasion"";""text"";""Depends on feature"";""Special occasion."""
"model_input_table.csv;""16"";""average_temperature_c"";""number"";""Depends on feature"";""Average temperature c."""
"model_input_table.csv;""17"";""maximum_temperature_c"";""number"";""Depends on feature"";""Maximum temperature c."""
"model_input_table.csv;""18"";""rain_probability_pct"";""number"";""Depends on feature"";""Rain probability pct."""
"model_input_table.csv;""19"";""rainfall_mm"";""number"";""Depends on feature"";""Rainfall mm."""
"model_input_table.csv;""20"";""weather_condition"";""text"";""Depends on feature"";""Weather condition."""
"model_input_table.csv;""21"";""is_hot_day"";""boolean"";""Depends on feature"";""Is hot day."""
"model_input_table.csv;""22"";""is_cold_day"";""boolean"";""Depends on feature"";""Is cold day."""
"model_input_table.csv;""23"";""confirmed_reservation_covers"";""number"";""Depends on feature"";""Confirmed reservation covers."""
"model_input_table.csv;""24"";""event_count"";""number"";""Depends on feature"";""Event count."""
"model_input_table.csv;""25"";""event_types"";""text"";""Depends on feature"";""Event types."""
"model_input_table.csv;""26"";""total_event_attendance"";""number"";""Depends on feature"";""Total event attendance."""
"model_input_table.csv;""27"";""nearest_event_distance_km"";""number"";""Depends on feature"";""Nearest event distance km."""
"model_input_table.csv;""28"";""maximum_event_relevance_score"";""number"";""Depends on feature"";""Maximum event relevance score."""
"model_input_table.csv;""29"";""promotion_active"";""boolean"";""Depends on feature"";""Promotion active."""
"model_input_table.csv;""30"";""promotion_discount_pct"";""number"";""Depends on feature"";""Promotion discount pct."""
"model_input_table.csv;""31"";""lag_7_day_quantity"";""number"";""Depends on feature"";""Lag 7 day quantity."""
"model_input_table.csv;""32"";""rolling_28_day_average"";""text"";""Depends on feature"";""Rolling 28 day average."""
"model_input_table.csv;""33"";""quantity_sold_target"";""number"";""Yes"";""Quantity sold target."""
"model_input_table.csv;""34"";""dine_in_quantity_actual"";""number"";""Depends on feature"";""Dine in quantity actual."""
"model_input_table.csv;""35"";""takeaway_quantity_actual"";""number"";""Depends on feature"";""Takeaway quantity actual."""
"model_input_table.csv;""36"";""delivery_quantity_actual"";""number"";""Depends on feature"";""Delivery quantity actual."""
"model_input_table.csv;""37"";""gross_sales_aud_actual"";""number"";""Depends on feature"";""Gross sales aud actual."""
"model_input_table.csv;""38"";""net_sales_aud_actual"";""number"";""Depends on feature"";""Net sales aud actual."""
"model_input_table.csv;""39"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"demand_forecast.csv;""1"";""forecast_id"";""text"";""Yes"";""Forecast id."""
"demand_forecast.csv;""2"";""forecast_generated_date"";""date"";""Yes"";""Forecast generated date."""
"demand_forecast.csv;""3"";""forecast_date"";""date"";""Yes"";""Forecast date."""
"demand_forecast.csv;""4"";""forecast_horizon_days"";""number"";""Depends on feature"";""Forecast horizon days."""
"demand_forecast.csv;""5"";""service_period"";""text"";""Depends on feature"";""Service period."""
"demand_forecast.csv;""6"";""menu_item_id"";""text"";""Yes"";""Menu item id."""
"demand_forecast.csv;""7"";""menu_variant_id"";""text"";""Yes"";""Menu variant id."""
"demand_forecast.csv;""8"";""menu_item_name"";""text"";""Depends on feature"";""Menu item name."""
"demand_forecast.csv;""9"";""portion_size"";""text"";""Depends on feature"";""Portion size."""
"demand_forecast.csv;""10"";""category"";""text"";""Depends on feature"";""Category."""
"demand_forecast.csv;""11"";""baseline_portions"";""number"";""Depends on feature"";""Baseline portions."""
"demand_forecast.csv;""12"";""predicted_portions"";""number"";""Depends on feature"";""Predicted portions."""
"demand_forecast.csv;""13"";""lower_bound_portions"";""number"";""Depends on feature"";""Lower bound portions."""
"demand_forecast.csv;""14"";""upper_bound_portions"";""number"";""Depends on feature"";""Upper bound portions."""
"demand_forecast.csv;""15"";""forecast_confidence_pct"";""number"";""Depends on feature"";""Forecast confidence pct."""
"demand_forecast.csv;""16"";""confirmed_reservation_covers"";""number"";""Depends on feature"";""Confirmed reservation covers."""
"demand_forecast.csv;""17"";""weather_condition"";""text"";""Depends on feature"";""Weather condition."""
"demand_forecast.csv;""18"";""special_occasion"";""text"";""Depends on feature"";""Special occasion."""
"demand_forecast.csv;""19"";""event_types"";""text"";""Depends on feature"";""Event types."""
"demand_forecast.csv;""20"";""key_demand_drivers"";""text"";""Depends on feature"";""Key demand drivers."""
"demand_forecast.csv;""21"";""predicted_revenue_aud"";""number"";""Depends on feature"";""Predicted revenue aud."""
"demand_forecast.csv;""22"";""model_version"";""text"";""Depends on feature"";""Model version."""
"demand_forecast.csv;""23"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"ingredient_demand_forecast.csv;""1"";""forecast_date"";""date"";""Yes"";""Forecast date."""
"ingredient_demand_forecast.csv;""2"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"ingredient_demand_forecast.csv;""3"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"ingredient_demand_forecast.csv;""4"";""category"";""text"";""Depends on feature"";""Category."""
"ingredient_demand_forecast.csv;""5"";""unit"";""text"";""Depends on feature"";""Unit."""
"ingredient_demand_forecast.csv;""6"";""forecast_quantity_needed"";""number"";""Depends on feature"";""Forecast quantity needed."""
"ingredient_demand_forecast.csv;""7"";""lower_bound_quantity"";""number"";""Depends on feature"";""Lower bound quantity."""
"ingredient_demand_forecast.csv;""8"";""upper_bound_quantity"";""number"";""Depends on feature"";""Upper bound quantity."""
"ingredient_demand_forecast.csv;""9"";""cumulative_forecast_quantity"";""number"";""Depends on feature"";""Cumulative forecast quantity."""
"ingredient_demand_forecast.csv;""10"";""starting_inventory_quantity"";""number"";""Depends on feature"";""Starting inventory quantity."""
"ingredient_demand_forecast.csv;""11"";""projected_inventory_end_of_day_no_order"";""text"";""Depends on feature"";""Projected inventory end of day no order."""
"ingredient_demand_forecast.csv;""12"";""projected_expired_quantity_to_date"";""date"";""Yes"";""Projected expired quantity to date."""
"ingredient_demand_forecast.csv;""13"";""projected_unfilled_demand_quantity"";""number"";""Depends on feature"";""Projected unfilled demand quantity."""
"ingredient_demand_forecast.csv;""14"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"runout_predictions.csv;""1"";""prediction_as_of_date"";""date"";""Yes"";""Prediction as of date."""
"runout_predictions.csv;""2"";""ingredient_id"";""text"";""Yes"";""Ingredient id."""
"runout_predictions.csv;""3"";""ingredient_name"";""text"";""Depends on feature"";""Ingredient name."""
"runout_predictions.csv;""4"";""category"";""text"";""Depends on feature"";""Category."""
"runout_predictions.csv;""5"";""unit"";""text"";""Depends on feature"";""Unit."""
"runout_predictions.csv;""6"";""current_inventory_quantity"";""number"";""Depends on feature"";""Current inventory quantity."""
"runout_predictions.csv;""7"";""safety_stock_quantity"";""number"";""Depends on feature"";""Safety stock quantity."""
"runout_predictions.csv;""8"";""ten_day_forecast_demand_quantity"";""number"";""Depends on feature"";""Ten day forecast demand quantity."""
"runout_predictions.csv;""9"";""projected_expired_quantity"";""number"";""Depends on feature"";""Projected expired quantity."""
"runout_predictions.csv;""10"";""projected_unfilled_demand_quantity"";""number"";""Depends on feature"";""Projected unfilled demand quantity."""
"runout_predictions.csv;""11"";""projected_end_inventory_no_order"";""text"";""Depends on feature"";""Projected end inventory no order."""
"runout_predictions.csv;""12"";""estimated_stock_cover_days"";""text"";""Depends on feature"";""Estimated stock cover days."""
"runout_predictions.csv;""13"";""first_below_safety_date"";""date"";""Yes"";""First below safety date."""
"runout_predictions.csv;""14"";""predicted_stockout_date"";""date"";""Yes"";""Predicted stockout date."""
"runout_predictions.csv;""15"";""days_until_stockout"";""number"";""Depends on feature"";""Days until stockout."""
"runout_predictions.csv;""16"";""runout_risk_level"";""text"";""Depends on feature"";""Runout risk level."""
"runout_predictions.csv;""17"";""priority_score"";""number"";""Depends on feature"";""Priority score."""
"runout_predictions.csv;""18"";""affected_menu_variants"";""text"";""Depends on feature"";""Affected menu variants."""
"runout_predictions.csv;""19"";""recommended_action"";""text"";""Depends on feature"";""Recommended action."""
"runout_predictions.csv;""20"";""is_synthetic"";""boolean"";""Depends on feature"";""Is synthetic."""
"order_recommendations.csv;""1"";""order_recommendation_id"";""text"";""Yes"";""Order recommendation id."""
"order_recommendations.csv;""2"";""recommendation_date"";""date"";""Yes"";""Recommendation date."""
