"ingredient_id;""ingredient_name"";""ingredient_group_code"";""source_unit"";""storage_type"";""unit_cost_aud"";""inventory_tracked"";""recipe_line_count"";""menu_variant_count"";""active_menu_variant_count"";""operational_data_status"";""inventory_setup_note"";""source_file"""
"DRNK-012;""Sodaly - Passionfruit 330ml"";""DRNK"";""ea"";""fridge"";""1.616"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-013;""Sodaly - Guava 330ml"";""DRNK"";""ea"";""fridge"";""1.552"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-014;""Sodaly - Raspberry 330ml"";""DRNK"";""ea"";""fridge"";""1.488"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-015;""Sparkling water 500ml"";""DRNK"";""ea"";""fridge"";""1.696"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-016;""Specialty soda - Gingerella 330ml"";""DRNK"";""ea"";""fridge"";""1.632"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-017;""Specialty soda - Karma Cola 330ml"";""DRNK"";""ea"";""fridge"";""1.568"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-018;""Specialty soda - Lemmy 330ml"";""DRNK"";""ea"";""fridge"";""1.504"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"DRNK-019;""Still water 600ml"";""DRNK"";""ea"";""fridge"";""1.712"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-001;""Edamame"";""GARN"";""cup"";""fridge"";""1.485"";""true"";""22"";""22"";""20"";""Synthetic operational assumption"";""Track stock and supplier quantities in cup"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-002;""Pickled ginger"";""GARN"";""g"";""fridge"";""0.01045"";""true"";""20"";""20"";""18"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-003;""Crispy shallots"";""GARN"";""spoon"";""dry"";""0.1296"";""true"";""12"";""12"";""10"";""Synthetic operational assumption"";""Track stock and supplier quantities in spoon"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-004;""Nori strips"";""GARN"";""g"";""dry"";""0.01122"";""true"";""14"";""14"";""12"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-005;""Nori sheet"";""GARN"";""ea"";""dry"";""0.784"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-006;""63-degree egg"";""GARN"";""ea"";""fridge"";""0.611"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-007;""Half-boiled egg"";""GARN"";""ea"";""fridge"";""0.6955"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-008;""Tamagoyaki"";""GARN"";""ea"";""fridge"";""0.84"";""true"";""4"";""4"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-009;""Lemon wedge"";""GARN"";""ea"";""fridge"";""0.808"";""true"";""4"";""4"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-010;""Avocado"";""GARN"";""g"";""fridge"";""0.01177"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-011;""Pineapple"";""GARN"";""g"";""fridge"";""0.01034"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-012;""Cucumber slice"";""GARN"";""slice"";""fridge"";""0.098"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in slice"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-013;""Crushed walnuts"";""GARN"";""ea"";""dry"";""0.816"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"GARN-014;""Assorted topping (kimchi / corn / edamame / nori)"";""GARN"";""cup"";""dry"";""1.59"";""true"";""25"";""25"";""25"";""Synthetic operational assumption"";""Track stock and supplier quantities in cup"";""Recipe and menu data_1_1(1).xlsx"""
"LEAF-001;""Mixed leaf salad"";""LEAF"";""g"";""fridge"";""0.01224"";""true"";""41"";""41"";""41"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"LEAF-002;""Baby spinach"";""LEAF"";""g"";""fridge"";""0.01176"";""true"";""4"";""4"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"LEAF-003;""Kale"";""LEAF"";""g"";""fridge"";""0.01128"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"LEAF-004;""Classic slaw"";""LEAF"";""g"";""fridge"";""0.01284"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"MISC-001;""Miso paste (pre-packaged)"";""MISC"";""pack"";""fridge"";""0.423"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in pack"";""Recipe and menu data_1_1(1).xlsx"""
"MISC-002;""Water"";""MISC"";""ml"";""dry"";""0.00749"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in ml"";""Recipe and menu data_1_1(1).xlsx"""
"MISC-003;""Fresh ginger"";""MISC"";""matchsticks"";""fridge"";""0.0309"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in matchsticks"";""Recipe and menu data_1_1(1).xlsx"""
"MISC-004;""Yuzu jam"";""MISC"";""g"";""fridge"";""0.00679"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-001;""Seared chicken"";""PROT"";""g"";""fridge"";""0.01664"";""true"";""4"";""4"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-002;""Sous-vide chicken"";""PROT"";""g"";""fridge"";""0.01728"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-003;""Karaage chicken"";""PROT"";""g"";""freezer"";""0.0152"";""true"";""9"";""9"";""9"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-004;""Flame-seared wagyu"";""PROT"";""g"";""fridge"";""0.0606"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-005;""Aburi salmon"";""PROT"";""g"";""fridge"";""0.03675"";""true"";""9"";""9"";""7"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-006;""Sashimi salmon"";""PROT"";""g"";""fridge"";""0.0322"";""true"";""7"";""7"";""7"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-007;""Sashimi tuna"";""PROT"";""g"";""fridge"";""0.03648"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-008;""Tiger prawns"";""PROT"";""g"";""freezer"";""0.03264"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-009;""Pan-seared tofu"";""PROT"";""g"";""fridge"";""0.00954"";""true"";""6"";""6"";""6"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-010;""Miso beet falafel"";""PROT"";""ea"";""freezer"";""0.792"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-011;""Crispy eggplant"";""PROT"";""g"";""freezer"";""0.00855"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"PROT-012;""No protein selected"";""PROT"";""ea"";""other"";""0"";""false"";""2"";""2"";""2"";""Non-consumable placeholder"";""Keep for recipe choice logic but exclude from inventory and purchasing"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-001;""Teriyaki sauce"";""SAUC"";""g"";""fridge"";""0.0102"";""true"";""8"";""8"";""8"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-002;""Japanese mayo"";""SAUC"";""g"";""fridge"";""0.0098"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-003;""Spicy mayo"";""SAUC"";""g"";""fridge"";""0.0094"";""true"";""4"";""4"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-004;""Sweet miso sauce"";""SAUC"";""g"";""fridge"";""0.0107"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-005;""Shoyu"";""SAUC"";""g"";""fridge"";""0.0103"";""true"";""2"";""2"";""2"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-006;""Creamy roasted sesame"";""SAUC"";""g"";""fridge"";""0.0099"";""true"";""6"";""6"";""4"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-007;""Yuzu kosho mayo"";""SAUC"";""g"";""fridge"";""0.0095"";""true"";""5"";""5"";""5"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-008;""Bao sauce"";""SAUC"";""g"";""fridge"";""0.0104"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-009;""Warm cashew satay"";""SAUC"";""g"";""fridge"";""0.01"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SAUC-010;""Assorted sauce"";""SAUC"";""g"";""fridge"";""0.0093"";""true"";""25"";""25"";""25"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SEAS-001;""Aonori seasoning"";""SEAS"";""g"";""dry"";""0.02112"";""true"";""7"";""7"";""7"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SEAS-002;""Furikake"";""SEAS"";""g"";""dry"";""0.02024"";""true"";""3"";""3"";""3"";""Synthetic operational assumption"";""Track stock and supplier quantities in g"";""Recipe and menu data_1_1(1).xlsx"""
"SEAS-003;""Cinnamon"";""SEAS"";""dash"";""dry"";""0.021"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in dash"";""Recipe and menu data_1_1(1).xlsx"""
"SNCK-001;""Raw ball - Peanut Butter"";""SNCK"";""ea"";""dry"";""1.296"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"SNCK-002;""Raw ball - Choc Brownie"";""SNCK"";""ea"";""dry"";""1.3635"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"SNCK-003;""Raw ball - Coconut Cacao"";""SNCK"";""ea"";""dry"";""1.4175"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"SNCK-004;""Raw ball - Hazelnut"";""SNCK"";""ea"";""dry"";""1.458"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
"SNCK-005;""Raw ball - Apricot Delight"";""SNCK"";""ea"";""dry"";""1.2825"";""true"";""1"";""1"";""1"";""Synthetic operational assumption"";""Track stock and supplier quantities in ea"";""Recipe and menu data_1_1(1).xlsx"""
