"sales_record_id;""restaurant_id"";""date"";""service_period"";""channel"";""menu_item_id"";""menu_variant_id"";""menu_item_name"";""portion_size"";""quantity_sold"";""unit_price_aud"";""discount_pct"";""gross_sales_aud"";""net_sales_aud"";""promotion_id"";""is_synthetic"""
"SALE-20260510-L-MI-003-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-003"";""MI-003-LARGE"";""Miso Eggplant Bowl - Large"";""Large"";""1"";""18.9"";""0"";""18.9"";""18.9"";"""";""true"""
"SALE-20260510-L-MI-003-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-003"";""MI-003-LARGE"";""Miso Eggplant Bowl - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-004-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-004"";""MI-004-SMALL"";""Miso Falalalafel - Small"";""Small"";""5"";""15.9"";""0"";""79.5"";""79.5"";"""";""true"""
"SALE-20260510-L-MI-004-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-004"";""MI-004-SMALL"";""Miso Falalalafel - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-004-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-004"";""MI-004-SMALL"";""Miso Falalalafel - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-004-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-004"";""MI-004-LARGE"";""Miso Falalalafel - Large"";""Large"";""4"";""18.9"";""0"";""75.6"";""75.6"";"""";""true"""
"SALE-20260510-L-MI-004-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-004"";""MI-004-LARGE"";""Miso Falalalafel - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-004-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-004"";""MI-004-LARGE"";""Miso Falalalafel - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-005-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-005"";""MI-005-SMALL"";""Sashimi Bowl - Small"";""Small"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
"SALE-20260510-L-MI-005-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-005"";""MI-005-SMALL"";""Sashimi Bowl - Small"";""Small"";""1"";""17.9"";""0"";""17.9"";""17.9"";"""";""true"""
"SALE-20260510-L-MI-005-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-005"";""MI-005-SMALL"";""Sashimi Bowl - Small"";""Small"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-005-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-005"";""MI-005-LARGE"";""Sashimi Bowl - Large"";""Large"";""3"";""20.9"";""0"";""62.7"";""62.7"";"""";""true"""
"SALE-20260510-L-MI-005-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-005"";""MI-005-LARGE"";""Sashimi Bowl - Large"";""Large"";""1"";""20.9"";""0"";""20.9"";""20.9"";"""";""true"""
"SALE-20260510-L-MI-005-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-005"";""MI-005-LARGE"";""Sashimi Bowl - Large"";""Large"";""2"";""20.9"";""0"";""41.8"";""41.8"";"""";""true"""
"SALE-20260510-L-MI-006-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-006"";""MI-006-SMALL"";""Poke Bowl - Small"";""Small"";""4"";""16.9"";""0"";""67.6"";""67.6"";"""";""true"""
"SALE-20260510-L-MI-006-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-006"";""MI-006-SMALL"";""Poke Bowl - Small"";""Small"";""1"";""16.9"";""0"";""16.9"";""16.9"";"""";""true"""
"SALE-20260510-L-MI-006-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-006"";""MI-006-SMALL"";""Poke Bowl - Small"";""Small"";""2"";""16.9"";""0"";""33.8"";""33.8"";"""";""true"""
"SALE-20260510-L-MI-006-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-006"";""MI-006-LARGE"";""Poke Bowl - Large"";""Large"";""3"";""19.9"";""0"";""59.7"";""59.7"";"""";""true"""
"SALE-20260510-L-MI-006-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-006"";""MI-006-LARGE"";""Poke Bowl - Large"";""Large"";""1"";""19.9"";""0"";""19.9"";""19.9"";"""";""true"""
"SALE-20260510-L-MI-006-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-006"";""MI-006-LARGE"";""Poke Bowl - Large"";""Large"";""2"";""19.9"";""0"";""39.8"";""39.8"";"""";""true"""
"SALE-20260510-L-MI-007-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-007"";""MI-007-SMALL"";""Wagyu Beef Bowl - Small"";""Small"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
"SALE-20260510-L-MI-007-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-007"";""MI-007-SMALL"";""Wagyu Beef Bowl - Small"";""Small"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-007-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-007"";""MI-007-SMALL"";""Wagyu Beef Bowl - Small"";""Small"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-007-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-007"";""MI-007-LARGE"";""Wagyu Beef Bowl - Large"";""Large"";""4"";""20.9"";""0"";""83.6"";""83.6"";"""";""true"""
"SALE-20260510-L-MI-007-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-007"";""MI-007-LARGE"";""Wagyu Beef Bowl - Large"";""Large"";""2"";""20.9"";""0"";""41.8"";""41.8"";"""";""true"""
"SALE-20260510-L-MI-007-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-007"";""MI-007-LARGE"";""Wagyu Beef Bowl - Large"";""Large"";""2"";""20.9"";""0"";""41.8"";""41.8"";"""";""true"""
"SALE-20260510-L-MI-008-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-008"";""MI-008-SMALL"";""Karaage Chicken Bowl - Small"";""Small"";""3"";""16.9"";""0"";""50.7"";""50.7"";"""";""true"""
"SALE-20260510-L-MI-008-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-008"";""MI-008-SMALL"";""Karaage Chicken Bowl - Small"";""Small"";""1"";""16.9"";""0"";""16.9"";""16.9"";"""";""true"""
"SALE-20260510-L-MI-008-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-008"";""MI-008-SMALL"";""Karaage Chicken Bowl - Small"";""Small"";""2"";""16.9"";""0"";""33.8"";""33.8"";"""";""true"""
"SALE-20260510-L-MI-008-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-008"";""MI-008-LARGE"";""Karaage Chicken Bowl - Large"";""Large"";""3"";""19.9"";""0"";""59.7"";""59.7"";"""";""true"""
"SALE-20260510-L-MI-008-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-008"";""MI-008-LARGE"";""Karaage Chicken Bowl - Large"";""Large"";""1"";""19.9"";""0"";""19.9"";""19.9"";"""";""true"""
"SALE-20260510-L-MI-008-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-008"";""MI-008-LARGE"";""Karaage Chicken Bowl - Large"";""Large"";""2"";""19.9"";""0"";""39.8"";""39.8"";"""";""true"""
"SALE-20260510-L-MI-009-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-009"";""MI-009-SMALL"";""Power Meal - Small"";""Small"";""4"";""18.9"";""0"";""75.6"";""75.6"";"""";""true"""
"SALE-20260510-L-MI-009-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-009"";""MI-009-SMALL"";""Power Meal - Small"";""Small"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-009-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-009"";""MI-009-SMALL"";""Power Meal - Small"";""Small"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-009-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-009"";""MI-009-LARGE"";""Power Meal - Large"";""Large"";""4"";""21.9"";""0"";""87.6"";""87.6"";"""";""true"""
"SALE-20260510-L-MI-009-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-009"";""MI-009-LARGE"";""Power Meal - Large"";""Large"";""2"";""21.9"";""0"";""43.8"";""43.8"";"""";""true"""
"SALE-20260510-L-MI-009-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-009"";""MI-009-LARGE"";""Power Meal - Large"";""Large"";""2"";""21.9"";""0"";""43.8"";""43.8"";"""";""true"""
"SALE-20260510-L-MI-010-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-010"";""MI-010-SMALL"";""Salmon Yuzu Bowl - Small"";""Small"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
"SALE-20260510-L-MI-010-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-010"";""MI-010-SMALL"";""Salmon Yuzu Bowl - Small"";""Small"";""1"";""17.9"";""0"";""17.9"";""17.9"";"""";""true"""
"SALE-20260510-L-MI-010-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-010"";""MI-010-SMALL"";""Salmon Yuzu Bowl - Small"";""Small"";""2"";""17.9"";""0"";""35.8"";""35.8"";"""";""true"""
"SALE-20260510-L-MI-010-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-010"";""MI-010-LARGE"";""Salmon Yuzu Bowl - Large"";""Large"";""3"";""20.9"";""0"";""62.7"";""62.7"";"""";""true"""
"SALE-20260510-L-MI-010-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-010"";""MI-010-LARGE"";""Salmon Yuzu Bowl - Large"";""Large"";""1"";""20.9"";""0"";""20.9"";""20.9"";"""";""true"""
"SALE-20260510-L-MI-010-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-010"";""MI-010-LARGE"";""Salmon Yuzu Bowl - Large"";""Large"";""2"";""20.9"";""0"";""41.8"";""41.8"";"""";""true"""
"SALE-20260510-L-MI-011-STANDARD-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-011"";""MI-011-STANDARD"";""Karaage Bento"";""Standard"";""10"";""13.9"";""0"";""139"";""139"";"""";""true"""
"SALE-20260510-L-MI-011-STANDARD-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-011"";""MI-011-STANDARD"";""Karaage Bento"";""Standard"";""4"";""13.9"";""0"";""55.6"";""55.6"";"""";""true"""
"SALE-20260510-L-MI-011-STANDARD-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-011"";""MI-011-STANDARD"";""Karaage Bento"";""Standard"";""4"";""13.9"";""0"";""55.6"";""55.6"";"""";""true"""
"SALE-20260510-L-MI-012-STANDARD-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-012"";""MI-012-STANDARD"";""Salmon Aburi Bento"";""Standard"";""9"";""14.9"";""0"";""134.1"";""134.1"";"""";""true"""
"SALE-20260510-L-MI-012-STANDARD-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-012"";""MI-012-STANDARD"";""Salmon Aburi Bento"";""Standard"";""3"";""14.9"";""0"";""44.7"";""44.7"";"""";""true"""
"SALE-20260510-L-MI-012-STANDARD-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-012"";""MI-012-STANDARD"";""Salmon Aburi Bento"";""Standard"";""4"";""14.9"";""0"";""59.6"";""59.6"";"""";""true"""
"SALE-20260510-L-MI-013-STANDARD-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-013"";""MI-013-STANDARD"";""Tofu Bento"";""Standard"";""8"";""12.9"";""0"";""103.2"";""103.2"";"""";""true"""
"SALE-20260510-L-MI-013-STANDARD-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-013"";""MI-013-STANDARD"";""Tofu Bento"";""Standard"";""3"";""12.9"";""0"";""38.7"";""38.7"";"""";""true"""
"SALE-20260510-L-MI-013-STANDARD-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-013"";""MI-013-STANDARD"";""Tofu Bento"";""Standard"";""3"";""12.9"";""0"";""38.7"";""38.7"";"""";""true"""
"SALE-20260510-L-MI-014-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-014"";""MI-014-SMALL"";""Create Your Own - Sous-vide Chicken - Small"";""Small"";""4"";""15.9"";""0"";""63.6"";""63.6"";"""";""true"""
"SALE-20260510-L-MI-014-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-014"";""MI-014-SMALL"";""Create Your Own - Sous-vide Chicken - Small"";""Small"";""1"";""15.9"";""0"";""15.9"";""15.9"";"""";""true"""
"SALE-20260510-L-MI-014-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-014"";""MI-014-SMALL"";""Create Your Own - Sous-vide Chicken - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-014-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-014"";""MI-014-LARGE"";""Create Your Own - Sous-vide Chicken - Large"";""Large"";""4"";""18.9"";""0"";""75.6"";""75.6"";"""";""true"""
"SALE-20260510-L-MI-014-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-014"";""MI-014-LARGE"";""Create Your Own - Sous-vide Chicken - Large"";""Large"";""1"";""18.9"";""0"";""18.9"";""18.9"";"""";""true"""
"SALE-20260510-L-MI-014-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-014"";""MI-014-LARGE"";""Create Your Own - Sous-vide Chicken - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-015-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-015"";""MI-015-SMALL"";""Create Your Own - Seared Chicken - Small"";""Small"";""3"";""15.9"";""0"";""47.7"";""47.7"";"""";""true"""
"SALE-20260510-L-MI-015-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-015"";""MI-015-SMALL"";""Create Your Own - Seared Chicken - Small"";""Small"";""1"";""15.9"";""0"";""15.9"";""15.9"";"""";""true"""
"SALE-20260510-L-MI-015-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-015"";""MI-015-SMALL"";""Create Your Own - Seared Chicken - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-015-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-015"";""MI-015-LARGE"";""Create Your Own - Seared Chicken - Large"";""Large"";""3"";""18.9"";""0"";""56.7"";""56.7"";"""";""true"""
"SALE-20260510-L-MI-015-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-015"";""MI-015-LARGE"";""Create Your Own - Seared Chicken - Large"";""Large"";""1"";""18.9"";""0"";""18.9"";""18.9"";"""";""true"""
"SALE-20260510-L-MI-015-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-015"";""MI-015-LARGE"";""Create Your Own - Seared Chicken - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-016-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-016"";""MI-016-SMALL"";""Create Your Own - Pan-seared Tofu - Small"";""Small"";""4"";""15.9"";""0"";""63.6"";""63.6"";"""";""true"""
"SALE-20260510-L-MI-016-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-016"";""MI-016-SMALL"";""Create Your Own - Pan-seared Tofu - Small"";""Small"";""1"";""15.9"";""0"";""15.9"";""15.9"";"""";""true"""
"SALE-20260510-L-MI-016-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-016"";""MI-016-SMALL"";""Create Your Own - Pan-seared Tofu - Small"";""Small"";""2"";""15.9"";""0"";""31.8"";""31.8"";"""";""true"""
"SALE-20260510-L-MI-016-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-016"";""MI-016-LARGE"";""Create Your Own - Pan-seared Tofu - Large"";""Large"";""4"";""18.9"";""0"";""75.6"";""75.6"";"""";""true"""
"SALE-20260510-L-MI-016-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-016"";""MI-016-LARGE"";""Create Your Own - Pan-seared Tofu - Large"";""Large"";""1"";""18.9"";""0"";""18.9"";""18.9"";"""";""true"""
"SALE-20260510-L-MI-016-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-016"";""MI-016-LARGE"";""Create Your Own - Pan-seared Tofu - Large"";""Large"";""2"";""18.9"";""0"";""37.8"";""37.8"";"""";""true"""
"SALE-20260510-L-MI-017-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-017"";""MI-017-SMALL"";""Create Your Own - Crispy Eggplant - Small"";""Small"";""4"";""16.9"";""0"";""67.6"";""67.6"";"""";""true"""
"SALE-20260510-L-MI-017-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-017"";""MI-017-SMALL"";""Create Your Own - Crispy Eggplant - Small"";""Small"";""1"";""16.9"";""0"";""16.9"";""16.9"";"""";""true"""
"SALE-20260510-L-MI-017-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-017"";""MI-017-SMALL"";""Create Your Own - Crispy Eggplant - Small"";""Small"";""2"";""16.9"";""0"";""33.8"";""33.8"";"""";""true"""
"SALE-20260510-L-MI-017-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-017"";""MI-017-LARGE"";""Create Your Own - Crispy Eggplant - Large"";""Large"";""4"";""19.9"";""0"";""79.6"";""79.6"";"""";""true"""
"SALE-20260510-L-MI-017-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-017"";""MI-017-LARGE"";""Create Your Own - Crispy Eggplant - Large"";""Large"";""1"";""19.9"";""0"";""19.9"";""19.9"";"""";""true"""
"SALE-20260510-L-MI-017-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-017"";""MI-017-LARGE"";""Create Your Own - Crispy Eggplant - Large"";""Large"";""2"";""19.9"";""0"";""39.8"";""39.8"";"""";""true"""
"SALE-20260510-L-MI-018-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-018"";""MI-018-SMALL"";""Create Your Own - Miso Beet Falafel - Small"";""Small"";""4"";""16.9"";""0"";""67.6"";""67.6"";"""";""true"""
"SALE-20260510-L-MI-018-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-018"";""MI-018-SMALL"";""Create Your Own - Miso Beet Falafel - Small"";""Small"";""1"";""16.9"";""0"";""16.9"";""16.9"";"""";""true"""
"SALE-20260510-L-MI-018-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-018"";""MI-018-SMALL"";""Create Your Own - Miso Beet Falafel - Small"";""Small"";""2"";""16.9"";""0"";""33.8"";""33.8"";"""";""true"""
"SALE-20260510-L-MI-018-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-018"";""MI-018-LARGE"";""Create Your Own - Miso Beet Falafel - Large"";""Large"";""3"";""19.9"";""0"";""59.7"";""59.7"";"""";""true"""
"SALE-20260510-L-MI-018-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-018"";""MI-018-LARGE"";""Create Your Own - Miso Beet Falafel - Large"";""Large"";""1"";""19.9"";""0"";""19.9"";""19.9"";"""";""true"""
"SALE-20260510-L-MI-018-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-018"";""MI-018-LARGE"";""Create Your Own - Miso Beet Falafel - Large"";""Large"";""2"";""19.9"";""0"";""39.8"";""39.8"";"""";""true"""
"SALE-20260510-L-MI-019-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-019"";""MI-019-SMALL"";""Create Your Own - Tiger Prawns - Small"";""Small"";""4"";""16.9"";""0"";""67.6"";""67.6"";"""";""true"""
"SALE-20260510-L-MI-019-SMALL-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-019"";""MI-019-SMALL"";""Create Your Own - Tiger Prawns - Small"";""Small"";""1"";""16.9"";""0"";""16.9"";""16.9"";"""";""true"""
"SALE-20260510-L-MI-019-SMALL-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-019"";""MI-019-SMALL"";""Create Your Own - Tiger Prawns - Small"";""Small"";""2"";""16.9"";""0"";""33.8"";""33.8"";"""";""true"""
"SALE-20260510-L-MI-019-LARGE-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-019"";""MI-019-LARGE"";""Create Your Own - Tiger Prawns - Large"";""Large"";""3"";""19.9"";""0"";""59.7"";""59.7"";"""";""true"""
"SALE-20260510-L-MI-019-LARGE-2;""REST001"";""2026-05-10"";""Lunch"";""Takeaway"";""MI-019"";""MI-019-LARGE"";""Create Your Own - Tiger Prawns - Large"";""Large"";""1"";""19.9"";""0"";""19.9"";""19.9"";"""";""true"""
"SALE-20260510-L-MI-019-LARGE-3;""REST001"";""2026-05-10"";""Lunch"";""Delivery"";""MI-019"";""MI-019-LARGE"";""Create Your Own - Tiger Prawns - Large"";""Large"";""2"";""19.9"";""0"";""39.8"";""39.8"";"""";""true"""
"SALE-20260510-L-MI-020-SMALL-1;""REST001"";""2026-05-10"";""Lunch"";""Dine-in"";""MI-020"";""MI-020-SMALL"";""Create Your Own - Karaage Chicken - Small"";""Small"";""4"";""17.9"";""0"";""71.6"";""71.6"";"""";""true"""
