"supplier_offer_id;""supplier_id"";""supplier_name"";""ingredient_id"";""ingredient_name"";""is_primary_supplier"";""pack_size"";""unit"";""minimum_order_packs"";""minimum_order_quantity"";""unit_cost_aud"";""pack_cost_aud"";""delivery_fee_aud"";""free_delivery_threshold_aud"";""lead_time_days"";""delivery_days"";""order_cutoff_time"";""reliability_score_pct"";""is_synthetic"""
"SUP-DRINK-DRNK-008;""SUP-DRINK"";""Beverage Hub"";""DRNK-008"";""Kombucha - Ginger Lemon 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.52"";""36.48"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-009;""SUP-DRINK"";""Beverage Hub"";""DRNK-009"";""Kombucha - Lemon Lime Mint 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.584"";""38.02"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-010;""SUP-DRINK"";""Beverage Hub"";""DRNK-010"";""Kombucha - Peach 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.472"";""35.33"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-011;""SUP-DRINK"";""Beverage Hub"";""DRNK-011"";""Kombucha - Raspberry Lemonade 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.68"";""40.32"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-012;""SUP-DRINK"";""Beverage Hub"";""DRNK-012"";""Sodaly - Passionfruit 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.616"";""38.78"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-013;""SUP-DRINK"";""Beverage Hub"";""DRNK-013"";""Sodaly - Guava 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.552"";""37.25"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-014;""SUP-DRINK"";""Beverage Hub"";""DRNK-014"";""Sodaly - Raspberry 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.488"";""35.71"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-015;""SUP-DRINK"";""Beverage Hub"";""DRNK-015"";""Sparkling water 500ml"";""true"";""24"";""ea"";""2"";""48"";""1.696"";""40.7"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-016;""SUP-DRINK"";""Beverage Hub"";""DRNK-016"";""Specialty soda - Gingerella 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.632"";""39.17"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-017;""SUP-DRINK"";""Beverage Hub"";""DRNK-017"";""Specialty soda - Karma Cola 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.568"";""37.63"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-018;""SUP-DRINK"";""Beverage Hub"";""DRNK-018"";""Specialty soda - Lemmy 330ml"";""true"";""24"";""ea"";""2"";""48"";""1.504"";""36.1"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-DRINK-DRNK-019;""SUP-DRINK"";""Beverage Hub"";""DRNK-019"";""Still water 600ml"";""true"";""24"";""ea"";""2"";""48"";""1.712"";""41.09"";""18"";""250"";""3"";""Mon|Thu"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-001;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-001"";""Edamame"";""true"";""8"";""cup"";""2"";""16"";""1.485"";""11.88"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-002;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-002"";""Pickled ginger"";""true"";""1000"";""g"";""2"";""2000"";""0.01045"";""10.45"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-GARN-003;""SUP-PANTRY"";""Pantry Wholesale"";""GARN-003"";""Crispy shallots"";""true"";""50"";""spoon"";""2"";""100"";""0.1296"";""6.48"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-GARN-004;""SUP-PANTRY"";""Pantry Wholesale"";""GARN-004"";""Nori strips"";""true"";""1000"";""g"";""2"";""2000"";""0.01122"";""11.22"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-GARN-005;""SUP-PANTRY"";""Pantry Wholesale"";""GARN-005"";""Nori sheet"";""true"";""12"";""ea"";""2"";""24"";""0.784"";""9.41"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-006;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-006"";""63-degree egg"";""true"";""12"";""ea"";""2"";""24"";""0.611"";""7.33"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-007;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-007"";""Half-boiled egg"";""true"";""12"";""ea"";""2"";""24"";""0.6955"";""8.35"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-008;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-008"";""Tamagoyaki"";""true"";""12"";""ea"";""2"";""24"";""0.84"";""10.08"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-009;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-009"";""Lemon wedge"";""true"";""12"";""ea"";""2"";""24"";""0.808"";""9.7"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-010;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-010"";""Avocado"";""true"";""1000"";""g"";""2"";""2000"";""0.01177"";""11.77"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-011;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-011"";""Pineapple"";""true"";""1000"";""g"";""2"";""2000"";""0.01034"";""10.34"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-GARN-012;""SUP-PRODUCE"";""Fresh Produce Direct"";""GARN-012"";""Cucumber slice"";""true"";""50"";""slice"";""2"";""100"";""0.098"";""4.9"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-GARN-013;""SUP-PANTRY"";""Pantry Wholesale"";""GARN-013"";""Crushed walnuts"";""true"";""12"";""ea"";""2"";""24"";""0.816"";""9.79"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-GARN-014;""SUP-PANTRY"";""Pantry Wholesale"";""GARN-014"";""Assorted topping (kimchi / corn / edamame / nori)"";""true"";""8"";""cup"";""2"";""16"";""1.59"";""12.72"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-LEAF-001;""SUP-PRODUCE"";""Fresh Produce Direct"";""LEAF-001"";""Mixed leaf salad"";""true"";""1000"";""g"";""2"";""2000"";""0.01224"";""12.24"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-LEAF-002;""SUP-PRODUCE"";""Fresh Produce Direct"";""LEAF-002"";""Baby spinach"";""true"";""1000"";""g"";""2"";""2000"";""0.01176"";""11.76"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-LEAF-003;""SUP-PRODUCE"";""Fresh Produce Direct"";""LEAF-003"";""Kale"";""true"";""1000"";""g"";""2"";""2000"";""0.01128"";""11.28"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-PRODUCE-LEAF-004;""SUP-PRODUCE"";""Fresh Produce Direct"";""LEAF-004"";""Classic slaw"";""true"";""1000"";""g"";""2"";""2000"";""0.01284"";""12.84"";""20"";""250"";""1"";""Mon|Tue|Wed|Thu|Fri|Sat"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-MISC-001;""SUP-SAUCE"";""Kitchen Essentials"";""MISC-001"";""Miso paste (pre-packaged)"";""true"";""24"";""pack"";""2"";""48"";""0.423"";""10.15"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-MISC-002;""SUP-PANTRY"";""Pantry Wholesale"";""MISC-002"";""Water"";""true"";""1000"";""ml"";""2"";""2000"";""0.00749"";""7.49"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-MISC-003;""SUP-SAUCE"";""Kitchen Essentials"";""MISC-003"";""Fresh ginger"";""true"";""100"";""matchsticks"";""2"";""200"";""0.0309"";""3.09"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-MISC-004;""SUP-SAUCE"";""Kitchen Essentials"";""MISC-004"";""Yuzu jam"";""true"";""1000"";""g"";""2"";""2000"";""0.00679"";""6.79"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-001;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-001"";""Seared chicken"";""true"";""2000"";""g"";""1"";""2000"";""0.01664"";""33.28"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-002;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-002"";""Sous-vide chicken"";""true"";""2000"";""g"";""1"";""2000"";""0.01728"";""34.56"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-003;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-003"";""Karaage chicken"";""true"";""2000"";""g"";""1"";""2000"";""0.0152"";""30.4"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-004;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-004"";""Flame-seared wagyu"";""true"";""2000"";""g"";""1"";""2000"";""0.0606"";""121.2"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-OCEAN-PROT-005;""SUP-OCEAN"";""OceanFresh Seafood"";""PROT-005"";""Aburi salmon"";""true"";""2000"";""g"";""1"";""2000"";""0.03675"";""73.5"";""24"";""250"";""2"";""Tue|Thu|Sat"";""14:00:00"";""94"";""true"""
"SUP-OCEAN-PROT-006;""SUP-OCEAN"";""OceanFresh Seafood"";""PROT-006"";""Sashimi salmon"";""true"";""2000"";""g"";""1"";""2000"";""0.0322"";""64.4"";""24"";""250"";""2"";""Tue|Thu|Sat"";""14:00:00"";""94"";""true"""
"SUP-OCEAN-PROT-007;""SUP-OCEAN"";""OceanFresh Seafood"";""PROT-007"";""Sashimi tuna"";""true"";""2000"";""g"";""1"";""2000"";""0.03648"";""72.96"";""24"";""250"";""2"";""Tue|Thu|Sat"";""14:00:00"";""94"";""true"""
"SUP-OCEAN-PROT-008;""SUP-OCEAN"";""OceanFresh Seafood"";""PROT-008"";""Tiger prawns"";""true"";""2000"";""g"";""1"";""2000"";""0.03264"";""65.28"";""24"";""250"";""2"";""Tue|Thu|Sat"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-009;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-009"";""Pan-seared tofu"";""true"";""2000"";""g"";""1"";""2000"";""0.00954"";""19.08"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-010;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-010"";""Miso beet falafel"";""true"";""12"";""ea"";""1"";""12"";""0.792"";""9.5"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PROTEIN-PROT-011;""SUP-PROTEIN"";""Metro Protein Supply"";""PROT-011"";""Crispy eggplant"";""true"";""2000"";""g"";""1"";""2000"";""0.00855"";""17.1"";""22"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-001;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-001"";""Teriyaki sauce"";""true"";""1000"";""g"";""2"";""2000"";""0.0102"";""10.2"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-002;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-002"";""Japanese mayo"";""true"";""1000"";""g"";""2"";""2000"";""0.0098"";""9.8"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-003;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-003"";""Spicy mayo"";""true"";""1000"";""g"";""2"";""2000"";""0.0094"";""9.4"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-004;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-004"";""Sweet miso sauce"";""true"";""1000"";""g"";""2"";""2000"";""0.0107"";""10.7"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-005;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-005"";""Shoyu"";""true"";""1000"";""g"";""2"";""2000"";""0.0103"";""10.3"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-006;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-006"";""Creamy roasted sesame"";""true"";""1000"";""g"";""2"";""2000"";""0.0099"";""9.9"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-007;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-007"";""Yuzu kosho mayo"";""true"";""1000"";""g"";""2"";""2000"";""0.0095"";""9.5"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-008;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-008"";""Bao sauce"";""true"";""1000"";""g"";""2"";""2000"";""0.0104"";""10.4"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-009;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-009"";""Warm cashew satay"";""true"";""1000"";""g"";""2"";""2000"";""0.01"";""10"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-SAUCE-SAUC-010;""SUP-SAUCE"";""Kitchen Essentials"";""SAUC-010"";""Assorted sauce"";""true"";""1000"";""g"";""2"";""2000"";""0.0093"";""9.3"";""17"";""250"";""2"";""Mon|Wed|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SEAS-001;""SUP-PANTRY"";""Pantry Wholesale"";""SEAS-001"";""Aonori seasoning"";""true"";""1000"";""g"";""2"";""2000"";""0.02112"";""21.12"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SEAS-002;""SUP-PANTRY"";""Pantry Wholesale"";""SEAS-002"";""Furikake"";""true"";""1000"";""g"";""2"";""2000"";""0.02024"";""20.24"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SEAS-003;""SUP-PANTRY"";""Pantry Wholesale"";""SEAS-003"";""Cinnamon"";""true"";""100"";""dash"";""2"";""200"";""0.021"";""2.1"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SNCK-001;""SUP-PANTRY"";""Pantry Wholesale"";""SNCK-001"";""Raw ball - Peanut Butter"";""true"";""12"";""ea"";""2"";""24"";""1.296"";""15.55"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SNCK-002;""SUP-PANTRY"";""Pantry Wholesale"";""SNCK-002"";""Raw ball - Choc Brownie"";""true"";""12"";""ea"";""2"";""24"";""1.3635"";""16.36"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SNCK-003;""SUP-PANTRY"";""Pantry Wholesale"";""SNCK-003"";""Raw ball - Coconut Cacao"";""true"";""12"";""ea"";""2"";""24"";""1.4175"";""17.01"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SNCK-004;""SUP-PANTRY"";""Pantry Wholesale"";""SNCK-004"";""Raw ball - Hazelnut"";""true"";""12"";""ea"";""2"";""24"";""1.458"";""17.5"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
"SUP-PANTRY-SNCK-005;""SUP-PANTRY"";""Pantry Wholesale"";""SNCK-005"";""Raw ball - Apricot Delight"";""true"";""12"";""ea"";""2"";""24"";""1.2825"";""15.39"";""15"";""250"";""3"";""Tue|Fri"";""14:00:00"";""94"";""true"""
