"date;""service_period"";""record_type"";""bookings_count"";""reserved_covers"";""cancellation_rate_pct"";""cancelled_covers"";""confirmed_covers"";""walk_in_covers_actual"";""data_snapshot_date"";""is_synthetic"""
"2026-06-06;""Lunch"";""actual"";""20"";""49"";""8"";""4"";""45"";""10"";""2026-08-01"";""true"""
"2026-06-06;""Dinner"";""actual"";""27"";""64"";""8"";""5"";""59"";""13"";""2026-08-01"";""true"""
"2026-06-07;""Lunch"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-06-07;""Dinner"";""actual"";""22"";""53"";""8"";""4"";""49"";""11"";""2026-08-01"";""true"""
"2026-06-08;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-06-08;""Dinner"";""actual"";""16"";""38"";""8"";""3"";""35"";""8"";""2026-08-01"";""true"""
"2026-06-09;""Lunch"";""actual"";""10"";""23"";""8"";""2"";""21"";""5"";""2026-08-01"";""true"""
"2026-06-09;""Dinner"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-06-10;""Lunch"";""actual"";""13"";""30"";""8"";""2"";""28"";""6"";""2026-08-01"";""true"""
"2026-06-10;""Dinner"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-06-11;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-06-11;""Dinner"";""actual"";""23"";""54"";""8"";""4"";""50"";""11"";""2026-08-01"";""true"""
"2026-06-12;""Lunch"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-06-12;""Dinner"";""actual"";""26"";""63"";""8"";""5"";""58"";""13"";""2026-08-01"";""true"""
"2026-06-13;""Lunch"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-06-13;""Dinner"";""actual"";""40"";""96"";""8"";""8"";""88"";""19"";""2026-08-01"";""true"""
"2026-06-14;""Lunch"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-06-14;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-06-15;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-06-15;""Dinner"";""actual"";""15"";""37"";""8"";""3"";""34"";""7"";""2026-08-01"";""true"""
"2026-06-16;""Lunch"";""actual"";""13"";""30"";""8"";""2"";""28"";""6"";""2026-08-01"";""true"""
"2026-06-16;""Dinner"";""actual"";""21"";""50"";""8"";""4"";""46"";""10"";""2026-08-01"";""true"""
"2026-06-17;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-06-17;""Dinner"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-06-18;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-06-18;""Dinner"";""actual"";""25"";""61"";""8"";""5"";""56"";""12"";""2026-08-01"";""true"""
"2026-06-19;""Lunch"";""actual"";""15"";""37"";""8"";""3"";""34"";""7"";""2026-08-01"";""true"""
"2026-06-19;""Dinner"";""actual"";""32"";""76"";""8"";""6"";""70"";""15"";""2026-08-01"";""true"""
"2026-06-20;""Lunch"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-06-20;""Dinner"";""actual"";""26"";""62"";""8"";""5"";""57"";""13"";""2026-08-01"";""true"""
"2026-06-21;""Lunch"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-06-21;""Dinner"";""actual"";""28"";""66"";""8"";""5"";""61"";""13"";""2026-08-01"";""true"""
"2026-06-22;""Lunch"";""actual"";""11"";""26"";""8"";""2"";""24"";""5"";""2026-08-01"";""true"""
"2026-06-22;""Dinner"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-06-23;""Lunch"";""actual"";""9"";""22"";""8"";""2"";""20"";""4"";""2026-08-01"";""true"""
"2026-06-23;""Dinner"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-06-24;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-06-24;""Dinner"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-06-25;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-06-25;""Dinner"";""actual"";""22"";""53"";""8"";""4"";""49"";""11"";""2026-08-01"";""true"""
"2026-06-26;""Lunch"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-06-26;""Dinner"";""actual"";""24"";""58"";""8"";""5"";""53"";""12"";""2026-08-01"";""true"""
"2026-06-27;""Lunch"";""actual"";""16"";""39"";""8"";""3"";""36"";""8"";""2026-08-01"";""true"""
"2026-06-27;""Dinner"";""actual"";""30"";""73"";""8"";""6"";""67"";""15"";""2026-08-01"";""true"""
"2026-06-28;""Lunch"";""actual"";""18"";""43"";""8"";""3"";""40"";""9"";""2026-08-01"";""true"""
"2026-06-28;""Dinner"";""actual"";""22"";""53"";""8"";""4"";""49"";""11"";""2026-08-01"";""true"""
"2026-06-29;""Lunch"";""actual"";""10"";""24"";""8"";""2"";""22"";""5"";""2026-08-01"";""true"""
"2026-06-29;""Dinner"";""actual"";""15"";""37"";""8"";""3"";""34"";""7"";""2026-08-01"";""true"""
"2026-06-30;""Lunch"";""actual"";""11"";""27"";""8"";""2"";""25"";""6"";""2026-08-01"";""true"""
"2026-06-30;""Dinner"";""actual"";""17"";""40"";""8"";""3"";""37"";""8"";""2026-08-01"";""true"""
"2026-07-01;""Lunch"";""actual"";""11"";""26"";""8"";""2"";""24"";""5"";""2026-08-01"";""true"""
"2026-07-01;""Dinner"";""actual"";""16"";""38"";""8"";""3"";""35"";""8"";""2026-08-01"";""true"""
"2026-07-02;""Lunch"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-07-02;""Dinner"";""actual"";""25"";""60"";""8"";""5"";""55"";""12"";""2026-08-01"";""true"""
"2026-07-03;""Lunch"";""actual"";""14"";""33"";""8"";""3"";""30"";""7"";""2026-08-01"";""true"""
"2026-07-03;""Dinner"";""actual"";""25"";""59"";""8"";""5"";""54"";""12"";""2026-08-01"";""true"""
"2026-07-04;""Lunch"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-07-04;""Dinner"";""actual"";""26"";""63"";""8"";""5"";""58"";""13"";""2026-08-01"";""true"""
"2026-07-05;""Lunch"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-07-05;""Dinner"";""actual"";""26"";""63"";""8"";""5"";""58"";""13"";""2026-08-01"";""true"""
"2026-07-06;""Lunch"";""actual"";""9"";""22"";""8"";""2"";""20"";""4"";""2026-08-01"";""true"""
"2026-07-06;""Dinner"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-07-07;""Lunch"";""actual"";""11"";""26"";""8"";""2"";""24"";""5"";""2026-08-01"";""true"""
"2026-07-07;""Dinner"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-07-08;""Lunch"";""actual"";""10"";""24"";""8"";""2"";""22"";""5"";""2026-08-01"";""true"""
"2026-07-08;""Dinner"";""actual"";""23"";""55"";""8"";""4"";""51"";""11"";""2026-08-01"";""true"""
"2026-07-09;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-07-09;""Dinner"";""actual"";""22"";""52"";""8"";""4"";""48"";""11"";""2026-08-01"";""true"""
"2026-07-10;""Lunch"";""actual"";""14"";""33"";""8"";""3"";""30"";""7"";""2026-08-01"";""true"""
"2026-07-10;""Dinner"";""actual"";""24"";""57"";""8"";""5"";""52"";""11"";""2026-08-01"";""true"""
"2026-07-11;""Lunch"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-07-11;""Dinner"";""actual"";""35"";""83"";""8"";""7"";""76"";""17"";""2026-08-01"";""true"""
"2026-07-12;""Lunch"";""actual"";""15"";""35"";""8"";""3"";""32"";""7"";""2026-08-01"";""true"""
"2026-07-12;""Dinner"";""actual"";""25"";""59"";""8"";""5"";""54"";""12"";""2026-08-01"";""true"""
"2026-07-13;""Lunch"";""actual"";""10"";""23"";""8"";""2"";""21"";""5"";""2026-08-01"";""true"""
"2026-07-13;""Dinner"";""actual"";""16"";""38"";""8"";""3"";""35"";""8"";""2026-08-01"";""true"""
"2026-07-14;""Lunch"";""actual"";""8"";""20"";""8"";""2"";""18"";""4"";""2026-08-01"";""true"""
"2026-07-14;""Dinner"";""actual"";""13"";""30"";""8"";""2"";""28"";""6"";""2026-08-01"";""true"""
"2026-07-15;""Lunch"";""actual"";""10"";""23"";""8"";""2"";""21"";""5"";""2026-08-01"";""true"""
"2026-07-15;""Dinner"";""actual"";""16"";""38"";""8"";""3"";""35"";""8"";""2026-08-01"";""true"""
"2026-07-16;""Lunch"";""actual"";""14"";""33"";""8"";""3"";""30"";""7"";""2026-08-01"";""true"""
"2026-07-16;""Dinner"";""actual"";""22"";""53"";""8"";""4"";""49"";""11"";""2026-08-01"";""true"""
"2026-07-17;""Lunch"";""actual"";""17"";""41"";""8"";""3"";""38"";""8"";""2026-08-01"";""true"""
"2026-07-17;""Dinner"";""actual"";""32"";""76"";""8"";""6"";""70"";""15"";""2026-08-01"";""true"""
"2026-07-18;""Lunch"";""actual"";""18"";""42"";""8"";""3"";""39"";""9"";""2026-08-01"";""true"""
"2026-07-18;""Dinner"";""actual"";""28"";""68"";""8"";""5"";""63"";""14"";""2026-08-01"";""true"""
"2026-07-19;""Lunch"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-07-19;""Dinner"";""actual"";""20"";""49"";""8"";""4"";""45"";""10"";""2026-08-01"";""true"""
"2026-07-20;""Lunch"";""actual"";""11"";""27"";""8"";""2"";""25"";""6"";""2026-08-01"";""true"""
"2026-07-20;""Dinner"";""actual"";""17"";""40"";""8"";""3"";""37"";""8"";""2026-08-01"";""true"""
"2026-07-21;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-07-21;""Dinner"";""actual"";""19"";""46"";""8"";""4"";""42"";""9"";""2026-08-01"";""true"""
"2026-07-22;""Lunch"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-07-22;""Dinner"";""actual"";""23"";""55"";""8"";""4"";""51"";""11"";""2026-08-01"";""true"""
"2026-07-23;""Lunch"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-07-23;""Dinner"";""actual"";""23"";""54"";""8"";""4"";""50"";""11"";""2026-08-01"";""true"""
"2026-07-24;""Lunch"";""actual"";""16"";""38"";""8"";""3"";""35"";""8"";""2026-08-01"";""true"""
"2026-07-24;""Dinner"";""actual"";""33"";""78"";""8"";""6"";""72"";""16"";""2026-08-01"";""true"""
"2026-07-25;""Lunch"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-07-25;""Dinner"";""actual"";""30"";""71"";""8"";""6"";""65"";""14"";""2026-08-01"";""true"""
"2026-07-26;""Lunch"";""actual"";""14"";""33"";""8"";""3"";""30"";""7"";""2026-08-01"";""true"""
"2026-07-26;""Dinner"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-07-27;""Lunch"";""actual"";""12"";""29"";""8"";""2"";""27"";""6"";""2026-08-01"";""true"""
"2026-07-27;""Dinner"";""actual"";""17"";""40"";""8"";""3"";""37"";""8"";""2026-08-01"";""true"""
"2026-07-28;""Lunch"";""actual"";""10"";""25"";""8"";""2"";""23"";""5"";""2026-08-01"";""true"""
"2026-07-28;""Dinner"";""actual"";""14"";""34"";""8"";""3"";""31"";""7"";""2026-08-01"";""true"""
"2026-07-29;""Lunch"";""actual"";""15"";""36"";""8"";""3"";""33"";""7"";""2026-08-01"";""true"""
"2026-07-29;""Dinner"";""actual"";""20"";""48"";""8"";""4"";""44"";""10"";""2026-08-01"";""true"""
"2026-07-30;""Lunch"";""actual"";""13"";""32"";""8"";""3"";""29"";""6"";""2026-08-01"";""true"""
"2026-07-30;""Dinner"";""actual"";""24"";""57"";""8"";""5"";""52"";""11"";""2026-08-01"";""true"""
"2026-07-31;""Lunch"";""actual"";""19"";""45"";""8"";""4"";""41"";""9"";""2026-08-01"";""true"""
"2026-07-31;""Dinner"";""actual"";""27"";""64"";""8"";""5"";""59"";""13"";""2026-08-01"";""true"""
"2026-08-01;""Lunch"";""actual"";""20"";""48"";""8"";""4"";""44"";""10"";""2026-08-01"";""true"""
"2026-08-01;""Dinner"";""actual"";""30"";""71"";""8"";""6"";""65"";""14"";""2026-08-01"";""true"""
"2026-08-02;""Lunch"";""forecast"";""13"";""32"";""8"";""3"";""29"";"""";""2026-08-01"";""true"""
"2026-08-02;""Dinner"";""forecast"";""25"";""60"";""8"";""5"";""55"";"""";""2026-08-01"";""true"""
"2026-08-03;""Lunch"";""forecast"";""9"";""22"";""8"";""2"";""20"";"""";""2026-08-01"";""true"""
"2026-08-03;""Dinner"";""forecast"";""16"";""38"";""8"";""3"";""35"";"""";""2026-08-01"";""true"""
"2026-08-04;""Lunch"";""forecast"";""12"";""29"";""8"";""2"";""27"";"""";""2026-08-01"";""true"""
"2026-08-04;""Dinner"";""forecast"";""17"";""41"";""8"";""3"";""38"";"""";""2026-08-01"";""true"""
"2026-08-05;""Lunch"";""forecast"";""9"";""22"";""8"";""2"";""20"";"""";""2026-08-01"";""true"""
"2026-08-05;""Dinner"";""forecast"";""15"";""36"";""8"";""3"";""33"";"""";""2026-08-01"";""true"""
"2026-08-06;""Lunch"";""forecast"";""15"";""36"";""8"";""3"";""33"";"""";""2026-08-01"";""true"""
"2026-08-06;""Dinner"";""forecast"";""21"";""50"";""8"";""4"";""46"";"""";""2026-08-01"";""true"""
"2026-08-07;""Lunch"";""forecast"";""15"";""37"";""8"";""3"";""34"";"""";""2026-08-01"";""true"""
"2026-08-07;""Dinner"";""forecast"";""26"";""62"";""8"";""5"";""57"";"""";""2026-08-01"";""true"""
"2026-08-08;""Lunch"";""forecast"";""16"";""39"";""8"";""3"";""36"";"""";""2026-08-01"";""true"""
"2026-08-08;""Dinner"";""forecast"";""35"";""83"";""8"";""7"";""76"";"""";""2026-08-01"";""true"""
"2026-08-09;""Lunch"";""forecast"";""13"";""30"";""8"";""2"";""28"";"""";""2026-08-01"";""true"""
"2026-08-09;""Dinner"";""forecast"";""20"";""47"";""8"";""4"";""43"";"""";""2026-08-01"";""true"""
"2026-08-10;""Lunch"";""forecast"";""10"";""24"";""8"";""2"";""22"";"""";""2026-08-01"";""true"""
"2026-08-10;""Dinner"";""forecast"";""15"";""35"";""8"";""3"";""32"";"""";""2026-08-01"";""true"""
"2026-08-11;""Lunch"";""forecast"";""11"";""26"";""8"";""2"";""24"";"""";""2026-08-01"";""true"""
"2026-08-11;""Dinner"";""forecast"";""20"";""47"";""8"";""4"";""43"";"""";""2026-08-01"";""true"""
