"batch_id;""restaurant_id"";""ingredient_id"";""ingredient_name"";""received_date"";""expiry_date"";""days_until_expiry"";""shelf_life_days"";""quantity_remaining"";""unit"";""unit_cost_aud"";""batch_value_aud"";""storage_type"";""storage_location"";""stock_rotation_priority"";""is_synthetic"""
"LOT-MISC-001-1;""REST001"";""MISC-001"";""Miso paste (pre-packaged)"";""2026-07-25"";""2026-08-24"";""22"";""30"";""101"";""pack"";""0.423"";""42.72"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-MISC-002-1;""REST001"";""MISC-002"";""Water"";""2026-06-18"";""2026-12-15"";""135"";""180"";""227063"";""ml"";""0.00749"";""1700.7"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-MISC-003-1;""REST001"";""MISC-003"";""Fresh ginger"";""2026-07-25"";""2026-08-24"";""22"";""30"";""408"";""matchsticks"";""0.0309"";""12.61"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-MISC-004-1;""REST001"";""MISC-004"";""Yuzu jam"";""2026-07-25"";""2026-08-24"";""22"";""30"";""5904"";""g"";""0.00679"";""40.09"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-PROT-001-1;""REST001"";""PROT-001"";""Seared chicken"";""2026-07-29"";""2026-08-03"";""1"";""5"";""18798"";""g"";""0.01664"";""312.8"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-001-2;""REST001"";""PROT-001"";""Seared chicken"";""2026-08-01"";""2026-08-06"";""4"";""5"";""12532"";""g"";""0.01664"";""208.53"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-002-1;""REST001"";""PROT-002"";""Sous-vide chicken"";""2026-07-29"";""2026-08-03"";""1"";""5"";""10399"";""g"";""0.01728"";""179.69"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-002-2;""REST001"";""PROT-002"";""Sous-vide chicken"";""2026-08-01"";""2026-08-06"";""4"";""5"";""6933"";""g"";""0.01728"";""119.8"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-003-1;""REST001"";""PROT-003"";""Karaage chicken"";""2026-07-10"";""2026-10-08"";""67"";""90"";""189445"";""g"";""0.0152"";""2879.56"";""freezer"";""Freezer"";""Normal"";""true"""
"LOT-PROT-004-1;""REST001"";""PROT-004"";""Flame-seared wagyu"";""2026-07-29"";""2026-08-03"";""1"";""5"";""14793"";""g"";""0.0606"";""896.46"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-004-2;""REST001"";""PROT-004"";""Flame-seared wagyu"";""2026-08-01"";""2026-08-06"";""4"";""5"";""9862"";""g"";""0.0606"";""597.64"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-005-1;""REST001"";""PROT-005"";""Aburi salmon"";""2026-07-29"";""2026-08-03"";""1"";""5"";""33471"";""g"";""0.03675"";""1230.06"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-005-2;""REST001"";""PROT-005"";""Aburi salmon"";""2026-08-01"";""2026-08-06"";""4"";""5"";""22314"";""g"";""0.03675"";""820.04"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-006-1;""REST001"";""PROT-006"";""Sashimi salmon"";""2026-07-29"";""2026-08-03"";""1"";""5"";""21032"";""g"";""0.0322"";""677.23"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-006-2;""REST001"";""PROT-006"";""Sashimi salmon"";""2026-08-01"";""2026-08-06"";""4"";""5"";""14021"";""g"";""0.0322"";""451.48"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-007-1;""REST001"";""PROT-007"";""Sashimi tuna"";""2026-07-29"";""2026-08-03"";""1"";""5"";""16550"";""g"";""0.03648"";""603.74"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-007-2;""REST001"";""PROT-007"";""Sashimi tuna"";""2026-08-01"";""2026-08-06"";""4"";""5"";""11033"";""g"";""0.03648"";""402.48"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-008-1;""REST001"";""PROT-008"";""Tiger prawns"";""2026-07-10"";""2026-10-08"";""67"";""90"";""33148"";""g"";""0.03264"";""1081.95"";""freezer"";""Freezer"";""Normal"";""true"""
"LOT-PROT-009-1;""REST001"";""PROT-009"";""Pan-seared tofu"";""2026-07-29"";""2026-08-03"";""1"";""5"";""28095"";""g"";""0.00954"";""268.03"";""fridge"";""Walk-in fridge"";""Use first"";""true"""
"LOT-PROT-009-2;""REST001"";""PROT-009"";""Pan-seared tofu"";""2026-08-01"";""2026-08-06"";""4"";""5"";""18730"";""g"";""0.00954"";""178.68"";""fridge"";""Walk-in fridge"";""Use soon"";""true"""
"LOT-PROT-010-1;""REST001"";""PROT-010"";""Miso beet falafel"";""2026-07-10"";""2026-10-08"";""67"";""90"";""4668"";""ea"";""0.792"";""3697.06"";""freezer"";""Freezer"";""Normal"";""true"""
"LOT-PROT-011-1;""REST001"";""PROT-011"";""Crispy eggplant"";""2026-07-10"";""2026-10-08"";""67"";""90"";""104592"";""g"";""0.00855"";""894.26"";""freezer"";""Freezer"";""Normal"";""true"""
"LOT-SAUC-001-1;""REST001"";""SAUC-001"";""Teriyaki sauce"";""2026-07-25"";""2026-08-24"";""22"";""30"";""22966"";""g"";""0.0102"";""234.25"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-002-1;""REST001"";""SAUC-002"";""Japanese mayo"";""2026-07-25"";""2026-08-24"";""22"";""30"";""1668"";""g"";""0.0098"";""16.35"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-003-1;""REST001"";""SAUC-003"";""Spicy mayo"";""2026-07-25"";""2026-08-24"";""22"";""30"";""8380"";""g"";""0.0094"";""78.77"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-004-1;""REST001"";""SAUC-004"";""Sweet miso sauce"";""2026-07-25"";""2026-08-24"";""22"";""30"";""9089"";""g"";""0.0107"";""97.25"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-005-1;""REST001"";""SAUC-005"";""Shoyu"";""2026-07-25"";""2026-08-24"";""22"";""30"";""6198"";""g"";""0.0103"";""63.84"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-006-1;""REST001"";""SAUC-006"";""Creamy roasted sesame"";""2026-07-25"";""2026-08-24"";""22"";""30"";""17205"";""g"";""0.0099"";""170.33"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-007-1;""REST001"";""SAUC-007"";""Yuzu kosho mayo"";""2026-07-25"";""2026-08-24"";""22"";""30"";""17784"";""g"";""0.0095"";""168.95"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-008-1;""REST001"";""SAUC-008"";""Bao sauce"";""2026-07-25"";""2026-08-24"";""22"";""30"";""5735"";""g"";""0.0104"";""59.64"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-009-1;""REST001"";""SAUC-009"";""Warm cashew satay"";""2026-07-25"";""2026-08-24"";""22"";""30"";""4915"";""g"";""0.01"";""49.15"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SAUC-010-1;""REST001"";""SAUC-010"";""Assorted sauce"";""2026-07-25"";""2026-08-24"";""22"";""30"";""64951"";""g"";""0.0093"";""604.04"";""fridge"";""Walk-in fridge"";""Normal"";""true"""
"LOT-SEAS-001-1;""REST001"";""SEAS-001"";""Aonori seasoning"";""2026-06-18"";""2026-12-15"";""135"";""180"";""7005"";""g"";""0.02112"";""147.95"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SEAS-002-1;""REST001"";""SEAS-002"";""Furikake"";""2026-06-18"";""2026-12-15"";""135"";""180"";""2778"";""g"";""0.02024"";""56.23"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SEAS-003-1;""REST001"";""SEAS-003"";""Cinnamon"";""2026-06-18"";""2026-12-15"";""135"";""180"";""486"";""dash"";""0.021"";""10.21"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SNCK-001-1;""REST001"";""SNCK-001"";""Raw ball - Peanut Butter"";""2026-06-18"";""2026-12-15"";""135"";""180"";""80"";""ea"";""1.296"";""103.68"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SNCK-002-1;""REST001"";""SNCK-002"";""Raw ball - Choc Brownie"";""2026-06-18"";""2026-12-15"";""135"";""180"";""77"";""ea"";""1.3635"";""104.99"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SNCK-003-1;""REST001"";""SNCK-003"";""Raw ball - Coconut Cacao"";""2026-06-18"";""2026-12-15"";""135"";""180"";""78"";""ea"";""1.4175"";""110.57"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SNCK-004-1;""REST001"";""SNCK-004"";""Raw ball - Hazelnut"";""2026-06-18"";""2026-12-15"";""135"";""180"";""77"";""ea"";""1.458"";""112.27"";""dry"";""Dry store"";""Normal"";""true"""
"LOT-SNCK-005-1;""REST001"";""SNCK-005"";""Raw ball - Apricot Delight"";""2026-06-18"";""2026-12-15"";""135"";""180"";""80"";""ea"";""1.2825"";""102.6"";""dry"";""Dry store"";""Normal"";""true"""
