"date;""record_type"";""minimum_temperature_c"";""maximum_temperature_c"";""average_temperature_c"";""rain_probability_pct"";""rainfall_mm"";""condition"";""is_hot_day"";""is_cold_day"";""forecast_horizon_days"";""location"";""is_synthetic"""
"2026-05-10;""actual"";""13.1"";""24.1"";""17.1"";""62"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-02;""actual"";""9.3"";""19.4"";""13.3"";""80"";""4"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-03;""actual"";""10.6"";""18.4"";""14.6"";""44"";""1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-04;""actual"";""10.7"";""20.3"";""14.7"";""85"";""10.7"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-05;""actual"";""8.8"";""19.6"";""12.8"";""56"";""5.7"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-06;""actual"";""11.9"";""23.3"";""15.9"";""32"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-07;""actual"";""9.8"";""20.5"";""13.8"";""86"";""2.3"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-08;""actual"";""9.6"";""20"";""13.6"";""32"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-09;""actual"";""7.2"";""16.3"";""11.2"";""71"";""10.1"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-10;""actual"";""7.7"";""18.5"";""11.7"";""40"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-11;""actual"";""9.5"";""19"";""13.5"";""30"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-12;""actual"";""6.4"";""15.1"";""10.4"";""36"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-13;""actual"";""10.1"";""18.1"";""14.1"";""23"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-14;""actual"";""6.6"";""14.5"";""10.6"";""88"";""13.4"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-15;""actual"";""5.6"";""13.9"";""9.6"";""67"";""0"";""Cold and dry"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-16;""actual"";""7.3"";""15"";""11.3"";""60"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-17;""actual"";""6.9"";""15.6"";""10.9"";""31"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-18;""actual"";""4.3"";""12.6"";""8.3"";""89"";""4.4"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-19;""actual"";""6.6"";""14.4"";""10.6"";""75"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-20;""actual"";""8"";""16.2"";""12"";""81"";""3.7"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-21;""actual"";""7.4"";""18.2"";""11.4"";""38"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-22;""actual"";""6"";""16.3"";""10"";""78"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-23;""actual"";""1.7"";""11"";""5.7"";""77"";""14.5"";""Heavy rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-24;""actual"";""5.4"";""16.8"";""9.4"";""24"";""4.5"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-25;""actual"";""7.8"";""18"";""11.8"";""42"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-26;""actual"";""8.1"";""16.1"";""12.1"";""30"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-27;""actual"";""5.2"";""15.5"";""9.2"";""82"";""10.7"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-28;""actual"";""3.3"";""12.9"";""7.3"";""25"";""0"";""Cold and dry"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-29;""actual"";""8.5"";""16.4"";""12.5"";""53"";""4.1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-06-30;""actual"";""4.2"";""12.7"";""8.2"";""60"";""3.6"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-01;""actual"";""5"";""13.5"";""9"";""76"";""4.6"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-02;""actual"";""8.4"";""19"";""12.4"";""34"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-03;""actual"";""8.5"";""17.6"";""12.5"";""63"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-04;""actual"";""7.7"";""18.7"";""11.7"";""78"";""17.5"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-05;""actual"";""6.8"";""16.3"";""10.8"";""46"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-06;""actual"";""6.8"";""16.4"";""10.8"";""48"";""1.2"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-07;""actual"";""5.5"";""13.6"";""9.5"";""29"";""5"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-08;""actual"";""10.1"";""18.6"";""14.1"";""77"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-09;""actual"";""8.9"";""18.3"";""12.9"";""22"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-10;""actual"";""7.1"";""14.9"";""11.1"";""35"";""0.4"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-11;""actual"";""11"";""20.8"";""15"";""47"";""1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-12;""actual"";""10.2"";""19.4"";""14.2"";""87"";""7.1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-13;""actual"";""6.5"";""16.2"";""10.5"";""36"";""2.9"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-14;""actual"";""6.9"";""17.8"";""10.9"";""78"";""11.6"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-15;""actual"";""6.7"";""16.6"";""10.7"";""89"";""10.4"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-16;""actual"";""8.7"";""18"";""12.7"";""43"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-17;""actual"";""4.6"";""14.1"";""8.6"";""37"";""0.8"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-18;""actual"";""2.9"";""12.8"";""6.9"";""70"";""3.7"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-19;""actual"";""4.6"";""16"";""8.6"";""77"";""9.8"";""Heavy rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-20;""actual"";""5"";""16"";""9"";""88"";""6.9"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-21;""actual"";""2.4"";""13.2"";""6.4"";""70"";""6.7"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-22;""actual"";""7.1"";""16.9"";""11.1"";""42"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-23;""actual"";""3.7"";""12.2"";""7.7"";""87"";""12.3"";""Heavy rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-24;""actual"";""1.7"";""12"";""5.7"";""50"";""2.3"";""Rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-25;""actual"";""1.5"";""10.7"";""5.5"";""44"";""0"";""Cold and dry"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-26;""actual"";""4.9"";""13.6"";""8.9"";""80"";""14.3"";""Heavy rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-27;""actual"";""6.9"";""18.3"";""10.9"";""71"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-28;""actual"";""2.3"";""13.3"";""6.3"";""74"";""17.4"";""Heavy rain"";""false"";""true"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-29;""actual"";""8.5"";""16.4"";""12.5"";""57"";""0"";""Mild"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-30;""actual"";""8.1"";""17.5"";""12.1"";""71"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-07-31;""actual"";""6"";""16.3"";""10"";""84"";""0"";""Cloudy"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-08-01;""actual"";""5.8"";""15.3"";""9.8"";""74"";""6.1"";""Rain"";""false"";""false"";""0"";""Melbourne";" VIC"";""true"""
"2026-08-02;""forecast"";""9.5"";""21"";""13.5"";""42"";""0"";""Mild"";""false"";""false"";""1"";""Melbourne";" VIC"";""true"""
"2026-08-03;""forecast"";""6.5"";""14.7"";""10.5"";""81"";""0"";""Cloudy"";""false"";""false"";""2"";""Melbourne";" VIC"";""true"""
"2026-08-04;""forecast"";""9.3"";""18.8"";""13.3"";""68"";""6.3"";""Rain"";""false"";""false"";""3"";""Melbourne";" VIC"";""true"""
"2026-08-05;""forecast"";""12.5"";""22"";""16.5"";""88"";""9"";""Heavy rain"";""false"";""false"";""4"";""Melbourne";" VIC"";""true"""
"2026-08-06;""forecast"";""12.3"";""22.6"";""16.3"";""72"";""0"";""Cloudy"";""false"";""false"";""5"";""Melbourne";" VIC"";""true"""
"2026-08-07;""forecast"";""10.6"";""18.8"";""14.6"";""58"";""0"";""Mild"";""false"";""false"";""6"";""Melbourne";" VIC"";""true"""
"2026-08-08;""forecast"";""8.2"";""16.2"";""12.2"";""84"";""5"";""Rain"";""false"";""false"";""7"";""Melbourne";" VIC"";""true"""
"2026-08-09;""forecast"";""11.1"";""19"";""15.1"";""80"";""8.3"";""Heavy rain"";""false"";""false"";""8"";""Melbourne";" VIC"";""true"""
"2026-08-10;""forecast"";""11.5"";""20.5"";""15.5"";""22"";""6.4"";""Rain"";""false"";""false"";""9"";""Melbourne";" VIC"";""true"""
"2026-08-11;""forecast"";""11.5"";""22.5"";""15.5"";""31"";""0"";""Mild"";""false"";""false"";""10"";""Melbourne";" VIC"";""true"""
