"_id";"date";"num_of_event"
"EVT-00151";"2024-05-30";"1"
"EVT-00152";"2024-05-31";"2"
"EVT-00153";"2024-06-01";"0"
"EVT-00154";"2024-06-02";"0"
"EVT-00155";"2024-06-03";"0"
"EVT-00156";"2024-06-04";"1"
"EVT-00157";"2024-06-05";"1"
"EVT-00158";"2024-06-06";"0"
"EVT-00159";"2024-06-07";"0"
"EVT-00160";"2024-06-08";"0"
"EVT-00161";"2024-06-09";"0"
"EVT-00162";"2024-06-10";"1"
"EVT-00163";"2024-06-11";"0"
"EVT-00164";"2024-06-12";"0"
"EVT-00165";"2024-06-13";"2"
"EVT-00166";"2024-06-14";"1"
"EVT-00167";"2024-06-15";"2"
"EVT-00168";"2024-06-16";"1"
"EVT-00169";"2024-06-17";"0"
"EVT-00170";"2024-06-18";"0"
"EVT-00171";"2024-06-19";"0"
"EVT-00172";"2024-06-20";"1"
"EVT-00173";"2024-06-21";"1"
"EVT-00174";"2024-06-22";"3"
"EVT-00175";"2024-06-23";"2"
"EVT-00176";"2024-06-24";"0"
"EVT-00177";"2024-06-25";"0"
"EVT-00178";"2024-06-26";"0"
"EVT-00179";"2024-06-27";"0"
"EVT-00180";"2024-06-28";"0"
"EVT-00181";"2024-06-29";"3"
"EVT-00182";"2024-06-30";"0"
"EVT-00183";"2024-07-01";"0"
"EVT-00184";"2024-07-02";"0"
"EVT-00185";"2024-07-03";"0"
"EVT-00186";"2024-07-04";"0"
"EVT-00187";"2024-07-05";"0"
"EVT-00188";"2024-07-06";"2"
"EVT-00189";"2024-07-07";"1"
"EVT-00190";"2024-07-08";"2"
"EVT-00191";"2024-07-09";"0"
"EVT-00192";"2024-07-10";"0"
"EVT-00193";"2024-07-11";"1"
"EVT-00194";"2024-07-12";"0"
"EVT-00195";"2024-07-13";"3"
"EVT-00196";"2024-07-14";"1"
"EVT-00197";"2024-07-15";"1"
"EVT-00198";"2024-07-16";"0"
"EVT-00199";"2024-07-17";"1"
"EVT-00200";"2024-07-18";"1"
"EVT-00201";"2024-07-19";"0"
"EVT-00202";"2024-07-20";"2"
"EVT-00203";"2024-07-21";"1"
"EVT-00204";"2024-07-22";"0"
"EVT-00205";"2024-07-23";"0"
"EVT-00206";"2024-07-24";"0"
"EVT-00207";"2024-07-25";"1"
"EVT-00208";"2024-07-26";"1"
"EVT-00209";"2024-07-27";"0"
"EVT-00210";"2024-07-28";"1"
"EVT-00211";"2024-07-29";"0"
"EVT-00212";"2024-07-30";"0"
"EVT-00213";"2024-07-31";"1"
"EVT-00214";"2024-08-01";"0"
"EVT-00215";"2024-08-02";"0"
"EVT-00216";"2024-08-03";"1"
"EVT-00217";"2024-08-04";"3"
"EVT-00218";"2024-08-05";"0"
"EVT-00219";"2024-08-06";"0"
"EVT-00220";"2024-08-07";"0"
"EVT-00221";"2024-08-08";"0"
"EVT-00222";"2024-08-09";"0"
"EVT-00223";"2024-08-10";"1"
"EVT-00224";"2024-08-11";"1"
"EVT-00225";"2024-08-12";"0"
"EVT-00226";"2024-08-13";"0"
"EVT-00227";"2024-08-14";"0"
"EVT-00228";"2024-08-15";"0"
"EVT-00229";"2024-08-16";"0"
"EVT-00230";"2024-08-17";"0"
"EVT-00231";"2024-08-18";"2"
"EVT-00232";"2024-08-19";"0"
"EVT-00233";"2024-08-20";"0"
"EVT-00234";"2024-08-21";"0"
"EVT-00235";"2024-08-22";"0"
"EVT-00236";"2024-08-23";"1"
"EVT-00237";"2024-08-24";"1"
"EVT-00238";"2024-08-25";"1"
"EVT-00239";"2024-08-26";"1"
"EVT-00240";"2024-08-27";"0"
"EVT-00241";"2024-08-28";"1"
"EVT-00242";"2024-08-29";"0"
"EVT-00243";"2024-08-30";"0"
"EVT-00244";"2024-08-31";"0"
"EVT-00245";"2024-09-01";"0"
"EVT-00246";"2024-09-02";"0"
"EVT-00247";"2024-09-03";"0"
"EVT-00248";"2024-09-04";"0"
"EVT-00249";"2024-09-05";"1"
"EVT-00250";"2024-09-06";"0"
"EVT-00251";"2024-09-07";"1"
"EVT-00252";"2024-09-08";"0"
"EVT-00253";"2024-09-09";"0"
"EVT-00254";"2024-09-10";"1"
"EVT-00255";"2024-09-11";"0"
"EVT-00256";"2024-09-12";"0"
"EVT-00257";"2024-09-13";"0"
"EVT-00258";"2024-09-14";"2"
"EVT-00259";"2024-09-15";"0"
"EVT-00260";"2024-09-16";"1"
"EVT-00261";"2024-09-17";"0"
"EVT-00262";"2024-09-18";"0"
"EVT-00263";"2024-09-19";"0"
"EVT-00264";"2024-09-20";"0"
"EVT-00265";"2024-09-21";"1"
"EVT-00266";"2024-09-22";"0"
"EVT-00267";"2024-09-23";"0"
"EVT-00268";"2024-09-24";"0"
"EVT-00269";"2024-09-25";"1"
"EVT-00270";"2024-09-26";"0"
"EVT-00271";"2024-09-27";"0"
"EVT-00272";"2024-09-28";"1"
"EVT-00273";"2024-09-29";"0"
"EVT-00274";"2024-09-30";"1"
"EVT-00275";"2024-10-01";"0"
"EVT-00276";"2024-10-02";"0"
"EVT-00277";"2024-10-03";"0"
"EVT-00278";"2024-10-04";"0"
"EVT-00279";"2024-10-05";"3"
"EVT-00280";"2024-10-06";"3"
"EVT-00281";"2024-10-07";"1"
"EVT-00282";"2024-10-08";"2"
"EVT-00283";"2024-10-09";"0"
"EVT-00284";"2024-10-10";"1"
"EVT-00285";"2024-10-11";"1"
"EVT-00286";"2024-10-12";"0"
"EVT-00287";"2024-10-13";"2"
"EVT-00288";"2024-10-14";"0"
"EVT-00289";"2024-10-15";"0"
"EVT-00290";"2024-10-16";"0"
"EVT-00291";"2024-10-17";"0"
"EVT-00292";"2024-10-18";"1"
"EVT-00293";"2024-10-19";"2"
"EVT-00294";"2024-10-20";"0"
"EVT-00295";"2024-10-21";"0"
"EVT-00296";"2024-10-22";"0"
"EVT-00297";"2024-10-23";"0"
"EVT-00298";"2024-10-24";"1"
"EVT-00299";"2024-10-25";"0"
"EVT-00300";"2024-10-26";"1"
"EVT-00301";"2024-10-27";"2"
"EVT-00302";"2024-10-28";"1"
"EVT-00303";"2024-10-29";"0"
"EVT-00304";"2024-10-30";"0"
"EVT-00305";"2024-10-31";"0"
"EVT-00306";"2024-11-01";"0"
"EVT-00307";"2024-11-02";"0"
"EVT-00308";"2024-11-03";"1"
"EVT-00309";"2024-11-04";"1"
"EVT-00310";"2024-11-05";"0"
"EVT-00311";"2024-11-06";"1"
"EVT-00312";"2024-11-07";"0"
"EVT-00313";"2024-11-08";"0"
"EVT-00314";"2024-11-09";"3"
"EVT-00315";"2024-11-10";"3"
"EVT-00316";"2024-11-11";"0"
"EVT-00317";"2024-11-12";"0"
"EVT-00318";"2024-11-13";"0"
"EVT-00319";"2024-11-14";"1"
"EVT-00320";"2024-11-15";"0"
"EVT-00321";"2024-11-16";"2"
"EVT-00322";"2024-11-17";"0"
"EVT-00323";"2024-11-18";"2"
"EVT-00324";"2024-11-19";"0"
"EVT-00325";"2024-11-20";"0"
"EVT-00326";"2024-11-21";"1"
"EVT-00327";"2024-11-22";"0"
"EVT-00328";"2024-11-23";"3"
"EVT-00329";"2024-11-24";"1"
"EVT-00330";"2024-11-25";"0"
"EVT-00331";"2024-11-26";"1"
"EVT-00332";"2024-11-27";"0"
"EVT-00333";"2024-11-28";"0"
"EVT-00334";"2024-11-29";"1"
"EVT-00335";"2024-11-30";"3"
"EVT-00336";"2024-12-01";"0"
"EVT-00337";"2024-12-02";"1"
"EVT-00338";"2024-12-03";"0"
"EVT-00339";"2024-12-04";"0"
"EVT-00340";"2024-12-05";"0"
"EVT-00341";"2024-12-06";"1"
"EVT-00342";"2024-12-07";"1"
"EVT-00343";"2024-12-08";"1"
"EVT-00344";"2024-12-09";"0"
"EVT-00345";"2024-12-10";"1"
"EVT-00346";"2024-12-11";"1"
"EVT-00347";"2024-12-12";"1"
"EVT-00348";"2024-12-13";"0"
"EVT-00349";"2024-12-14";"1"
"EVT-00350";"2024-12-15";"2"
"EVT-00351";"2024-12-16";"0"
"EVT-00352";"2024-12-17";"0"
"EVT-00353";"2024-12-18";"0"
"EVT-00354";"2024-12-19";"1"
"EVT-00355";"2024-12-20";"1"
"EVT-00356";"2024-12-21";"1"
"EVT-00357";"2024-12-22";"1"
"EVT-00358";"2024-12-23";"0"
"EVT-00359";"2024-12-24";"1"
"EVT-00360";"2024-12-25";"0"
"EVT-00361";"2024-12-26";"1"
"EVT-00362";"2024-12-27";"0"
"EVT-00363";"2024-12-28";"2"
"EVT-00364";"2024-12-29";"3"
"EVT-00365";"2024-12-30";"0"
"EVT-00366";"2024-12-31";"0"
"EVT-00367";"2025-01-01";"1"
"EVT-00368";"2025-01-02";"0"
"EVT-00369";"2025-01-03";"0"
"EVT-00370";"2025-01-04";"1"
"EVT-00371";"2025-01-05";"1"
"EVT-00372";"2025-01-06";"0"
"EVT-00373";"2025-01-07";"0"
"EVT-00374";"2025-01-08";"1"
"EVT-00375";"2025-01-09";"0"
"EVT-00376";"2025-01-10";"0"
"EVT-00377";"2025-01-11";"0"
"EVT-00378";"2025-01-12";"0"
"EVT-00379";"2025-01-13";"1"
"EVT-00380";"2025-01-14";"0"
"EVT-00381";"2025-01-15";"0"
"EVT-00382";"2025-01-16";"1"
"EVT-00383";"2025-01-17";"0"
"EVT-00384";"2025-01-18";"0"
"EVT-00385";"2025-01-19";"0"
"EVT-00386";"2025-01-20";"0"
"EVT-00387";"2025-01-21";"0"
"EVT-00388";"2025-01-22";"1"
"EVT-00389";"2025-01-23";"1"
"EVT-00390";"2025-01-24";"1"
"EVT-00391";"2025-01-25";"0"
"EVT-00392";"2025-01-26";"2"
"EVT-00393";"2025-01-27";"0"
"EVT-00394";"2025-01-28";"0"
"EVT-00395";"2025-01-29";"1"
"EVT-00396";"2025-01-30";"0"
"EVT-00397";"2025-01-31";"0"
"EVT-00398";"2025-02-01";"0"
"EVT-00399";"2025-02-02";"2"
"EVT-00400";"2025-02-03";"0"
"EVT-00401";"2025-02-04";"0"
"EVT-00402";"2025-02-05";"0"
"EVT-00403";"2025-02-06";"2"
"EVT-00404";"2025-02-07";"0"
"EVT-00405";"2025-02-08";"0"
"EVT-00406";"2025-02-09";"0"
"EVT-00407";"2025-02-10";"2"
"EVT-00408";"2025-02-11";"0"
"EVT-00409";"2025-02-12";"1"
"EVT-00410";"2025-02-13";"0"
"EVT-00411";"2025-02-14";"0"
"EVT-00412";"2025-02-15";"1"
"EVT-00413";"2025-02-16";"0"
"EVT-00414";"2025-02-17";"0"
"EVT-00415";"2025-02-18";"0"
"EVT-00416";"2025-02-19";"0"
"EVT-00417";"2025-02-20";"1"
"EVT-00418";"2025-02-21";"2"
"EVT-00419";"2025-02-22";"1"
"EVT-00420";"2025-02-23";"1"
"EVT-00421";"2025-02-24";"1"
"EVT-00422";"2025-02-25";"0"
"EVT-00423";"2025-02-26";"1"
"EVT-00424";"2025-02-27";"1"
"EVT-00425";"2025-02-28";"0"
"EVT-00426";"2025-03-01";"0"
"EVT-00427";"2025-03-02";"0"
"EVT-00428";"2025-03-03";"1"
"EVT-00429";"2025-03-04";"0"
"EVT-00430";"2025-03-05";"0"
"EVT-00431";"2025-03-06";"1"
"EVT-00432";"2025-03-07";"1"
"EVT-00433";"2025-03-08";"1"
"EVT-00434";"2025-03-09";"2"
"EVT-00435";"2025-03-10";"1"
"EVT-00436";"2025-03-11";"0"
"EVT-00437";"2025-03-12";"1"
"EVT-00438";"2025-03-13";"0"
"EVT-00439";"2025-03-14";"0"
"EVT-00440";"2025-03-15";"1"
"EVT-00441";"2025-03-16";"1"
"EVT-00442";"2025-03-17";"0"
"EVT-00443";"2025-03-18";"1"
"EVT-00444";"2025-03-19";"0"
"EVT-00445";"2025-03-20";"1"
"EVT-00446";"2025-03-21";"0"
"EVT-00447";"2025-03-22";"1"
"EVT-00448";"2025-03-23";"5"
"EVT-00449";"2025-03-24";"0"
"EVT-00450";"2025-03-25";"0"
"EVT-00451";"2025-03-26";"0"
"EVT-00452";"2025-03-27";"1"
"EVT-00453";"2025-03-28";"0"
"EVT-00454";"2025-03-29";"0"
"EVT-00455";"2025-03-30";"2"
"EVT-00456";"2025-03-31";"0"
"EVT-00457";"2025-04-01";"0"
"EVT-00458";"2025-04-02";"1"
"EVT-00459";"2025-04-03";"0"
"EVT-00460";"2025-04-04";"0"
"EVT-00461";"2025-04-05";"1"
"EVT-00462";"2025-04-06";"2"
"EVT-00463";"2025-04-07";"1"
"EVT-00464";"2025-04-08";"1"
"EVT-00465";"2025-04-09";"1"
"EVT-00466";"2025-04-10";"0"
"EVT-00467";"2025-04-11";"1"
"EVT-00468";"2025-04-12";"1"
"EVT-00469";"2025-04-13";"3"
"EVT-00470";"2025-04-14";"0"
"EVT-00471";"2025-04-15";"1"
"EVT-00472";"2025-04-16";"0"
"EVT-00473";"2025-04-17";"0"
"EVT-00474";"2025-04-18";"0"
"EVT-00475";"2025-04-19";"2"
"EVT-00476";"2025-04-20";"0"
"EVT-00477";"2025-04-21";"0"
"EVT-00478";"2025-04-22";"0"
"EVT-00479";"2025-04-23";"0"
"EVT-00480";"2025-04-24";"0"
"EVT-00481";"2025-04-25";"0"
"EVT-00482";"2025-04-26";"1"
"EVT-00483";"2025-04-27";"1"
"EVT-00484";"2025-04-28";"0"
"EVT-00485";"2025-04-29";"0"
"EVT-00486";"2025-04-30";"0"
"EVT-00487";"2025-05-01";"0"
"EVT-00488";"2025-05-02";"0"
"EVT-00489";"2025-05-03";"3"
"EVT-00490";"2025-05-04";"1"
"EVT-00491";"2025-05-05";"0"
"EVT-00492";"2025-05-06";"0"
"EVT-00493";"2025-05-07";"1"
"EVT-00494";"2025-05-08";"0"
"EVT-00495";"2025-05-09";"0"
"EVT-00496";"2025-05-10";"2"
"EVT-00497";"2025-05-11";"0"
"EVT-00498";"2025-05-12";"0"
"EVT-00499";"2025-05-13";"1"
"EVT-00500";"2025-05-14";"0"
"EVT-00501";"2025-05-15";"0"
"EVT-00502";"2025-05-16";"0"
"EVT-00503";"2025-05-17";"4"
"EVT-00504";"2025-05-18";"0"
"EVT-00505";"2025-05-19";"2"
"EVT-00506";"2025-05-20";"1"
"EVT-00507";"2025-05-21";"0"
"EVT-00508";"2025-05-22";"0"
"EVT-00509";"2025-05-23";"0"
"EVT-00510";"2025-05-24";"2"
"EVT-00511";"2025-05-25";"1"
"EVT-00512";"2025-05-26";"0"
"EVT-00513";"2025-05-27";"1"
"EVT-00514";"2025-05-28";"0"
"EVT-00515";"2025-05-29";"0"
"EVT-00516";"2025-05-30";"0"
"EVT-00517";"2025-05-31";"0"
"EVT-00518";"2025-06-01";"1"
"EVT-00519";"2025-06-02";"0"
"EVT-00520";"2025-06-03";"0"
"EVT-00521";"2025-06-04";"0"
"EVT-00522";"2025-06-05";"0"
"EVT-00523";"2025-06-06";"0"
"EVT-00524";"2025-06-07";"0"
"EVT-00525";"2025-06-08";"1"
"EVT-00526";"2025-06-09";"0"
"EVT-00527";"2025-06-10";"0"
"EVT-00528";"2025-06-11";"0"
"EVT-00529";"2025-06-12";"1"
"EVT-00530";"2025-06-13";"0"
"EVT-00531";"2025-06-14";"2"
"EVT-00532";"2025-06-15";"2"
"EVT-00533";"2025-06-16";"0"
"EVT-00534";"2025-06-17";"0"
"EVT-00535";"2025-06-18";"1"
"EVT-00536";"2025-06-19";"1"
"EVT-00537";"2025-06-20";"0"
"EVT-00538";"2025-06-21";"2"
"EVT-00539";"2025-06-22";"1"
"EVT-00540";"2025-06-23";"0"
"EVT-00541";"2025-06-24";"1"
"EVT-00542";"2025-06-25";"0"
"EVT-00543";"2025-06-26";"1"
"EVT-00544";"2025-06-27";"0"
"EVT-00545";"2025-06-28";"1"
"EVT-00546";"2025-06-29";"0"
"EVT-00547";"2025-06-30";"0"
"EVT-00548";"2025-07-01";"1"
"EVT-00549";"2025-07-02";"0"
"EVT-00550";"2025-07-03";"0"
"EVT-00551";"2025-07-04";"0"
"EVT-00552";"2025-07-05";"1"
"EVT-00553";"2025-07-06";"2"
"EVT-00554";"2025-07-07";"0"
"EVT-00555";"2025-07-08";"0"
"EVT-00556";"2025-07-09";"0"
"EVT-00557";"2025-07-10";"0"
"EVT-00558";"2025-07-11";"0"
"EVT-00559";"2025-07-12";"0"
"EVT-00560";"2025-07-13";"1"
"EVT-00561";"2025-07-14";"0"
"EVT-00562";"2025-07-15";"0"
"EVT-00563";"2025-07-16";"0"
"EVT-00564";"2025-07-17";"0"
"EVT-00565";"2025-07-18";"1"
"EVT-00566";"2025-07-19";"0"
"EVT-00567";"2025-07-20";"1"
"EVT-00568";"2025-07-21";"0"
"EVT-00569";"2025-07-22";"0"
"EVT-00570";"2025-07-23";"0"
"EVT-00571";"2025-07-24";"0"
"EVT-00572";"2025-07-25";"0"
"EVT-00573";"2025-07-26";"0"
"EVT-00574";"2025-07-27";"0"
"EVT-00575";"2025-07-28";"2"
"EVT-00576";"2025-07-29";"0"
"EVT-00577";"2025-07-30";"1"
"EVT-00578";"2025-07-31";"0"
"EVT-00579";"2025-08-01";"0"
"EVT-00580";"2025-08-02";"1"
"EVT-00581";"2025-08-03";"2"
"EVT-00582";"2025-08-04";"0"
"EVT-00583";"2025-08-05";"0"
"EVT-00584";"2025-08-06";"0"
"EVT-00585";"2025-08-07";"1"
"EVT-00586";"2025-08-08";"0"
"EVT-00587";"2025-08-09";"1"
"EVT-00588";"2025-08-10";"3"
"EVT-00589";"2025-08-11";"0"
"EVT-00590";"2025-08-12";"0"
"EVT-00591";"2025-08-13";"0"
"EVT-00592";"2025-08-14";"0"
"EVT-00593";"2025-08-15";"0"
"EVT-00594";"2025-08-16";"0"
"EVT-00595";"2025-08-17";"1"
"EVT-00596";"2025-08-18";"0"
"EVT-00597";"2025-08-19";"1"
"EVT-00598";"2025-08-20";"0"
"EVT-00599";"2025-08-21";"1"
"EVT-00600";"2025-08-22";"0"
"EVT-00601";"2025-08-23";"2"
"EVT-00602";"2025-08-24";"1"
"EVT-00603";"2025-08-25";"0"
"EVT-00604";"2025-08-26";"0"
"EVT-00605";"2025-08-27";"0"
"EVT-00606";"2025-08-28";"0"
"EVT-00607";"2025-08-29";"0"
"EVT-00608";"2025-08-30";"3"
"EVT-00609";"2025-08-31";"1"
"EVT-00610";"2025-09-01";"0"
"EVT-00611";"2025-09-02";"1"
"EVT-00612";"2025-09-03";"0"
"EVT-00613";"2025-09-04";"0"
"EVT-00614";"2025-09-05";"0"
"EVT-00615";"2025-09-06";"0"
"EVT-00616";"2025-09-07";"3"
"EVT-00617";"2025-09-08";"0"
"EVT-00618";"2025-09-09";"1"
"EVT-00619";"2025-09-10";"0"
"EVT-00620";"2025-09-11";"0"
"EVT-00621";"2025-09-12";"0"
"EVT-00622";"2025-09-13";"0"
"EVT-00623";"2025-09-14";"0"
"EVT-00624";"2025-09-15";"2"
"EVT-00625";"2025-09-16";"0"
"EVT-00626";"2025-09-17";"0"
"EVT-00627";"2025-09-18";"0"
"EVT-00628";"2025-09-19";"0"
"EVT-00629";"2025-09-20";"1"
"EVT-00630";"2025-09-21";"3"
"EVT-00631";"2025-09-22";"0"
"EVT-00632";"2025-09-23";"1"
"EVT-00633";"2025-09-24";"0"
"EVT-00634";"2025-09-25";"1"
"EVT-00635";"2025-09-26";"0"
"EVT-00636";"2025-09-27";"0"
"EVT-00637";"2025-09-28";"1"
"EVT-00638";"2025-09-29";"2"
"EVT-00639";"2025-09-30";"0"
"EVT-00640";"2025-10-01";"0"
"EVT-00641";"2025-10-02";"0"
"EVT-00642";"2025-10-03";"0"
"EVT-00643";"2025-10-04";"0"
"EVT-00644";"2025-10-05";"2"
"EVT-00645";"2025-10-06";"2"
"EVT-00646";"2025-10-07";"0"
"EVT-00647";"2025-10-08";"0"
"EVT-00648";"2025-10-09";"0"
"EVT-00649";"2025-10-10";"0"
"EVT-00650";"2025-10-11";"1"
"EVT-00651";"2025-10-12";"1"
"EVT-00652";"2025-10-13";"0"
"EVT-00653";"2025-10-14";"1"
"EVT-00654";"2025-10-15";"0"
"EVT-00655";"2025-10-16";"0"
"EVT-00656";"2025-10-17";"0"
"EVT-00657";"2025-10-18";"1"
"EVT-00658";"2025-10-19";"1"
"EVT-00659";"2025-10-20";"0"
"EVT-00660";"2025-10-21";"0"
"EVT-00661";"2025-10-22";"0"
"EVT-00662";"2025-10-23";"0"
"EVT-00663";"2025-10-24";"1"
"EVT-00664";"2025-10-25";"4"
"EVT-00665";"2025-10-26";"1"
"EVT-00666";"2025-10-27";"0"
"EVT-00667";"2025-10-28";"0"
"EVT-00668";"2025-10-29";"0"
"EVT-00669";"2025-10-30";"0"
"EVT-00670";"2025-10-31";"0"
"EVT-00671";"2025-11-01";"0"
"EVT-00672";"2025-11-02";"3"
"EVT-00673";"2025-11-03";"0"
"EVT-00674";"2025-11-04";"0"
"EVT-00675";"2025-11-05";"0"
"EVT-00676";"2025-11-06";"0"
"EVT-00677";"2025-11-07";"0"
"EVT-00678";"2025-11-08";"1"
"EVT-00679";"2025-11-09";"0"
"EVT-00680";"2025-11-10";"1"
"EVT-00681";"2025-11-11";"0"
"EVT-00682";"2025-11-12";"0"
"EVT-00683";"2025-11-13";"0"
"EVT-00684";"2025-11-14";"1"
"EVT-00685";"2025-11-15";"0"
"EVT-00686";"2025-11-16";"1"
"EVT-00687";"2025-11-17";"0"
"EVT-00688";"2025-11-18";"0"
"EVT-00689";"2025-11-19";"0"
"EVT-00690";"2025-11-20";"1"
"EVT-00691";"2025-11-21";"2"
"EVT-00692";"2025-11-22";"1"
"EVT-00693";"2025-11-23";"2"
"EVT-00694";"2025-11-24";"0"
"EVT-00695";"2025-11-25";"5"
"EVT-00696";"2025-11-26";"0"
"EVT-00697";"2025-11-27";"1"
"EVT-00698";"2025-11-28";"0"
