"_id";"menu_1";"menu_1_amount";"menu_2";"menu_2_amount";"menu_3";"menu_3_amount";"menu_4";"menu_4_amount";"menu_5";"menu_5_amount";"menu_6";"menu_6_amount";"menu_7";"menu_7_amount";"menu_8";"menu_8_amount";"menu_9";"menu_9_amount";"menu_10";"menu_10_amount";"menu_11";"menu_11_amount";"menu_12";"menu_12_amount";"menu_13";"menu_13_amount";"menu_14";"menu_14_amount";"menu_15";"menu_15_amount"
"MLI-00011";"Chicken Teriyaki Bowl";"25";"Sashimi Poke Bowl";"14";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"17";"Karaage Chicken Bowl";"21";"Tofu Bowl";"20";"Salmon Aburi Bowl";"19";"Miso soup";"9";"Bone Broth soup";"12";"Coconut water";"12";"Sparkling water";"20";"Yuzu tea";"7";"Specialty Soda";"12";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00012";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00013";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00014";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00015";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00016";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00017";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00018";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00019";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00020";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00021";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00022";"Chicken Teriyaki Bowl";"12";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"23";"Miso Falafel Bowl";"19";"Karaage Chicken Bowl";"15";"Tofu Bowl";"12";"Salmon Aburi Bowl";"18";"Miso soup";"9";"Bone Broth soup";"8";"Coconut water";"11";"Sparkling water";"14";"Yuzu tea";"9";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"8"
"MLI-00023";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00024";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00025";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00026";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00027";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00028";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00029";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00030";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00031";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00032";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00033";"Chicken Teriyaki Bowl";"16";"Sashimi Poke Bowl";"13";"Wagyu Beef Bowl";"16";"Miso Falafel Bowl";"9";"Karaage Chicken Bowl";"18";"Tofu Bowl";"5";"Salmon Aburi Bowl";"12";"Miso soup";"12";"Bone Broth soup";"8";"Coconut water";"6";"Sparkling water";"17";"Yuzu tea";"7";"Specialty Soda";"15";"Hot Chocolate";"5";"Still waterr";"13"
"MLI-00034";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00035";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00036";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00037";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00038";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00039";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00040";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00041";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00042";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00043";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00044";"Chicken Teriyaki Bowl";"26";"Sashimi Poke Bowl";"18";"Wagyu Beef Bowl";"10";"Miso Falafel Bowl";"5";"Karaage Chicken Bowl";"20";"Tofu Bowl";"15";"Salmon Aburi Bowl";"24";"Miso soup";"12";"Bone Broth soup";"1";"Coconut water";"13";"Sparkling water";"12";"Yuzu tea";"14";"Specialty Soda";"13";"Hot Chocolate";"9";"Still waterr";"9"
"MLI-00045";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00046";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00047";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00048";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00049";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00050";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00051";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00052";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00053";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00054";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00055";"Chicken Teriyaki Bowl";"34";"Sashimi Poke Bowl";"10";"Wagyu Beef Bowl";"22";"Miso Falafel Bowl";"21";"Karaage Chicken Bowl";"25";"Tofu Bowl";"20";"Salmon Aburi Bowl";"16";"Miso soup";"12";"Bone Broth soup";"10";"Coconut water";"14";"Sparkling water";"16";"Yuzu tea";"5";"Specialty Soda";"13";"Hot Chocolate";"3";"Still waterr";"21"
"MLI-00056";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00057";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00058";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00059";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00060";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00061";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
"MLI-00062";"Chicken Teriyaki Bowl";"32";"Sashimi Poke Bowl";"23";"Wagyu Beef Bowl";"36";"Miso Falafel Bowl";"22";"Karaage Chicken Bowl";"33";"Tofu Bowl";"19";"Salmon Aburi Bowl";"17";"Miso soup";"20";"Bone Broth soup";"14";"Coconut water";"24";"Sparkling water";"26";"Yuzu tea";"5";"Specialty Soda";"21";"Hot Chocolate";"6";"Still waterr";"19"
