"_id";"date";"total_reservation";"total_people"
"RES-00120";"2024-04-29";"15";"33"
"RES-00121";"2024-04-30";"32";"77"
"RES-00122";"2024-05-01";"22";"47"
"RES-00123";"2024-05-02";"21";"61"
"RES-00124";"2024-05-03";"17";"39"
"RES-00125";"2024-05-04";"41";"98"
"RES-00126";"2024-05-05";"38";"85"
"RES-00127";"2024-05-06";"14";"32"
"RES-00128";"2024-05-07";"19";"47"
"RES-00129";"2024-05-08";"17";"44"
"RES-00130";"2024-05-09";"21";"48"
"RES-00131";"2024-05-10";"10";"25"
"RES-00132";"2024-05-11";"39";"78"
"RES-00133";"2024-05-12";"26";"61"
"RES-00134";"2024-05-13";"22";"56"
"RES-00135";"2024-05-14";"23";"56"
"RES-00136";"2024-05-15";"18";"42"
"RES-00137";"2024-05-16";"19";"46"
"RES-00138";"2024-05-17";"21";"52"
"RES-00139";"2024-05-18";"38";"92"
"RES-00140";"2024-05-19";"28";"68"
"RES-00141";"2024-05-20";"20";"49"
"RES-00142";"2024-05-21";"13";"36"
"RES-00143";"2024-05-22";"18";"46"
"RES-00144";"2024-05-23";"18";"47"
"RES-00145";"2024-05-24";"19";"43"
"RES-00146";"2024-05-25";"25";"53"
"RES-00147";"2024-05-26";"31";"86"
"RES-00148";"2024-05-27";"13";"28"
"RES-00149";"2024-05-28";"30";"74"
"RES-00150";"2024-05-29";"17";"47"
"RES-00151";"2024-05-30";"20";"48"
"RES-00152";"2024-05-31";"18";"43"
"RES-00153";"2024-06-01";"26";"56"
"RES-00154";"2024-06-02";"28";"68"
"RES-00155";"2024-06-03";"19";"41"
"RES-00156";"2024-06-04";"26";"60"
"RES-00157";"2024-06-05";"23";"57"
"RES-00158";"2024-06-06";"19";"43"
"RES-00159";"2024-06-07";"12";"27"
"RES-00160";"2024-06-08";"25";"54"
"RES-00161";"2024-06-09";"22";"49"
"RES-00162";"2024-06-10";"25";"60"
"RES-00163";"2024-06-11";"19";"44"
"RES-00164";"2024-06-12";"22";"51"
"RES-00165";"2024-06-13";"23";"52"
"RES-00166";"2024-06-14";"23";"51"
"RES-00167";"2024-06-15";"38";"90"
"RES-00168";"2024-06-16";"32";"72"
"RES-00169";"2024-06-17";"18";"43"
"RES-00170";"2024-06-18";"17";"39"
"RES-00171";"2024-06-19";"18";"38"
"RES-00172";"2024-06-20";"21";"52"
"RES-00173";"2024-06-21";"22";"48"
"RES-00174";"2024-06-22";"37";"79"
"RES-00175";"2024-06-23";"38";"80"
"RES-00176";"2024-06-24";"11";"22"
"RES-00177";"2024-06-25";"13";"29"
"RES-00178";"2024-06-26";"19";"48"
"RES-00179";"2024-06-27";"19";"51"
"RES-00180";"2024-06-28";"15";"34"
"RES-00181";"2024-06-29";"50";"133"
"RES-00182";"2024-06-30";"34";"77"
"RES-00183";"2024-07-01";"9";"24"
"RES-00184";"2024-07-02";"16";"38"
"RES-00185";"2024-07-03";"16";"45"
"RES-00186";"2024-07-04";"15";"30"
"RES-00187";"2024-07-05";"15";"37"
"RES-00188";"2024-07-06";"40";"102"
"RES-00189";"2024-07-07";"39";"95"
"RES-00190";"2024-07-08";"29";"72"
"RES-00191";"2024-07-09";"19";"45"
"RES-00192";"2024-07-10";"17";"33"
"RES-00193";"2024-07-11";"24";"57"
"RES-00194";"2024-07-12";"19";"44"
"RES-00195";"2024-07-13";"49";"108"
"RES-00196";"2024-07-14";"32";"70"
"RES-00197";"2024-07-15";"17";"38"
"RES-00198";"2024-07-16";"19";"43"
"RES-00199";"2024-07-17";"28";"68"
"RES-00200";"2024-07-18";"29";"71"
"RES-00201";"2024-07-19";"18";"46"
"RES-00202";"2024-07-20";"34";"94"
"RES-00203";"2024-07-21";"31";"72"
"RES-00204";"2024-07-22";"16";"37"
"RES-00205";"2024-07-23";"17";"36"
"RES-00206";"2024-07-24";"21";"52"
"RES-00207";"2024-07-25";"21";"42"
"RES-00208";"2024-07-26";"27";"56"
"RES-00209";"2024-07-27";"24";"59"
"RES-00210";"2024-07-28";"40";"91"
"RES-00211";"2024-07-29";"14";"32"
"RES-00212";"2024-07-30";"15";"31"
"RES-00213";"2024-07-31";"18";"38"
"RES-00214";"2024-08-01";"17";"42"
"RES-00215";"2024-08-02";"17";"35"
"RES-00216";"2024-08-03";"31";"70"
"RES-00217";"2024-08-04";"40";"92"
"RES-00218";"2024-08-05";"21";"51"
"RES-00219";"2024-08-06";"17";"44"
"RES-00220";"2024-08-07";"21";"59"
"RES-00221";"2024-08-08";"15";"37"
"RES-00222";"2024-08-09";"11";"24"
"RES-00223";"2024-08-10";"35";"87"
"RES-00224";"2024-08-11";"32";"72"
"RES-00225";"2024-08-12";"16";"30"
"RES-00226";"2024-08-13";"19";"41"
"RES-00227";"2024-08-14";"16";"42"
"RES-00228";"2024-08-15";"13";"28"
"RES-00229";"2024-08-16";"25";"54"
"RES-00230";"2024-08-17";"27";"70"
"RES-00231";"2024-08-18";"30";"69"
"RES-00232";"2024-08-19";"16";"38"
"RES-00233";"2024-08-20";"16";"41"
"RES-00234";"2024-08-21";"20";"44"
"RES-00235";"2024-08-22";"16";"32"
"RES-00236";"2024-08-23";"25";"64"
"RES-00237";"2024-08-24";"34";"67"
"RES-00238";"2024-08-25";"34";"80"
"RES-00239";"2024-08-26";"21";"49"
"RES-00240";"2024-08-27";"15";"34"
"RES-00241";"2024-08-28";"28";"66"
"RES-00242";"2024-08-29";"16";"40"
"RES-00243";"2024-08-30";"20";"45"
"RES-00244";"2024-08-31";"30";"71"
"RES-00245";"2024-09-01";"24";"58"
"RES-00246";"2024-09-02";"18";"41"
"RES-00247";"2024-09-03";"19";"45"
"RES-00248";"2024-09-04";"13";"31"
"RES-00249";"2024-09-05";"26";"60"
"RES-00250";"2024-09-06";"15";"39"
"RES-00251";"2024-09-07";"28";"69"
"RES-00252";"2024-09-08";"20";"52"
"RES-00253";"2024-09-09";"13";"32"
"RES-00254";"2024-09-10";"26";"60"
"RES-00255";"2024-09-11";"17";"38"
"RES-00256";"2024-09-12";"19";"45"
"RES-00257";"2024-09-13";"16";"38"
"RES-00258";"2024-09-14";"37";"85"
"RES-00259";"2024-09-15";"34";"87"
"RES-00260";"2024-09-16";"20";"42"
"RES-00261";"2024-09-17";"20";"48"
"RES-00262";"2024-09-18";"16";"39"
"RES-00263";"2024-09-19";"17";"37"
"RES-00264";"2024-09-20";"20";"50"
"RES-00265";"2024-09-21";"36";"80"
"RES-00266";"2024-09-22";"30";"75"
"RES-00267";"2024-09-23";"18";"46"
"RES-00268";"2024-09-24";"16";"33"
"RES-00269";"2024-09-25";"25";"55"
"RES-00270";"2024-09-26";"21";"56"
"RES-00271";"2024-09-27";"21";"50"
"RES-00272";"2024-09-28";"35";"69"
"RES-00273";"2024-09-29";"28";"66"
"RES-00274";"2024-09-30";"25";"58"
"RES-00275";"2024-10-01";"17";"38"
"RES-00276";"2024-10-02";"18";"44"
"RES-00277";"2024-10-03";"15";"33"
"RES-00278";"2024-10-04";"11";"28"
"RES-00279";"2024-10-05";"40";"91"
"RES-00280";"2024-10-06";"44";"96"
"RES-00281";"2024-10-07";"22";"51"
"RES-00282";"2024-10-08";"32";"86"
"RES-00283";"2024-10-09";"21";"48"
"RES-00284";"2024-10-10";"24";"62"
"RES-00285";"2024-10-11";"17";"39"
"RES-00286";"2024-10-12";"33";"74"
"RES-00287";"2024-10-13";"37";"81"
"RES-00288";"2024-10-14";"15";"37"
"RES-00289";"2024-10-15";"12";"28"
"RES-00290";"2024-10-16";"17";"37"
"RES-00291";"2024-10-17";"19";"40"
"RES-00292";"2024-10-18";"21";"51"
"RES-00293";"2024-10-19";"34";"74"
"RES-00294";"2024-10-20";"29";"64"
"RES-00295";"2024-10-21";"19";"45"
"RES-00296";"2024-10-22";"15";"33"
"RES-00297";"2024-10-23";"15";"37"
"RES-00298";"2024-10-24";"19";"48"
"RES-00299";"2024-10-25";"14";"39"
"RES-00300";"2024-10-26";"24";"55"
"RES-00301";"2024-10-27";"36";"75"
"RES-00302";"2024-10-28";"24";"59"
"RES-00303";"2024-10-29";"10";"21"
"RES-00304";"2024-10-30";"20";"48"
"RES-00305";"2024-10-31";"20";"46"
"RES-00306";"2024-11-01";"17";"43"
"RES-00307";"2024-11-02";"26";"65"
"RES-00308";"2024-11-03";"32";"77"
"RES-00309";"2024-11-04";"13";"27"
"RES-00310";"2024-11-05";"30";"71"
"RES-00311";"2024-11-06";"20";"44"
"RES-00312";"2024-11-07";"21";"43"
"RES-00313";"2024-11-08";"16";"36"
"RES-00314";"2024-11-09";"43";"103"
"RES-00315";"2024-11-10";"43";"114"
"RES-00316";"2024-11-11";"19";"42"
"RES-00317";"2024-11-12";"23";"50"
"RES-00318";"2024-11-13";"11";"24"
"RES-00319";"2024-11-14";"22";"58"
"RES-00320";"2024-11-15";"17";"42"
"RES-00321";"2024-11-16";"33";"71"
"RES-00322";"2024-11-17";"27";"61"
"RES-00323";"2024-11-18";"26";"66"
"RES-00324";"2024-11-19";"16";"36"
"RES-00325";"2024-11-20";"16";"36"
"RES-00326";"2024-11-21";"23";"56"
"RES-00327";"2024-11-22";"20";"45"
"RES-00328";"2024-11-23";"41";"104"
"RES-00329";"2024-11-24";"29";"62"
"RES-00330";"2024-11-25";"18";"44"
"RES-00331";"2024-11-26";"24";"56"
"RES-00332";"2024-11-27";"17";"37"
"RES-00333";"2024-11-28";"15";"38"
"RES-00334";"2024-11-29";"22";"47"
"RES-00335";"2024-11-30";"43";"102"
"RES-00336";"2024-12-01";"27";"66"
"RES-00337";"2024-12-02";"15";"36"
"RES-00338";"2024-12-03";"25";"49"
"RES-00339";"2024-12-04";"13";"29"
"RES-00340";"2024-12-05";"20";"46"
"RES-00341";"2024-12-06";"25";"50"
"RES-00342";"2024-12-07";"29";"64"
"RES-00343";"2024-12-08";"35";"91"
"RES-00344";"2024-12-09";"15";"35"
"RES-00345";"2024-12-10";"17";"36"
"RES-00346";"2024-12-11";"24";"64"
"RES-00347";"2024-12-12";"22";"53"
"RES-00348";"2024-12-13";"20";"52"
"RES-00349";"2024-12-14";"31";"86"
"RES-00350";"2024-12-15";"43";"95"
"RES-00351";"2024-12-16";"19";"47"
"RES-00352";"2024-12-17";"21";"55"
"RES-00353";"2024-12-18";"17";"41"
"RES-00354";"2024-12-19";"26";"61"
"RES-00355";"2024-12-20";"26";"51"
"RES-00356";"2024-12-21";"27";"59"
"RES-00357";"2024-12-22";"35";"90"
"RES-00358";"2024-12-23";"18";"40"
"RES-00359";"2024-12-24";"22";"51"
"RES-00360";"2024-12-25";"22";"49"
"RES-00361";"2024-12-26";"25";"63"
"RES-00362";"2024-12-27";"14";"29"
"RES-00363";"2024-12-28";"39";"90"
"RES-00364";"2024-12-29";"38";"93"
"RES-00365";"2024-12-30";"23";"52"
"RES-00366";"2024-12-31";"19";"40"
"RES-00367";"2025-01-01";"33";"66"
"RES-00368";"2025-01-02";"20";"49"
"RES-00369";"2025-01-03";"15";"40"
"RES-00370";"2025-01-04";"39";"86"
"RES-00371";"2025-01-05";"33";"73"
"RES-00372";"2025-01-06";"20";"52"
"RES-00373";"2025-01-07";"12";"30"
"RES-00374";"2025-01-08";"22";"53"
"RES-00375";"2025-01-09";"20";"46"
"RES-00376";"2025-01-10";"18";"43"
"RES-00377";"2025-01-11";"22";"52"
"RES-00378";"2025-01-12";"29";"65"
"RES-00379";"2025-01-13";"25";"61"
"RES-00380";"2025-01-14";"13";"28"
"RES-00381";"2025-01-15";"19";"46"
"RES-00382";"2025-01-16";"25";"67"
"RES-00383";"2025-01-17";"18";"45"
"RES-00384";"2025-01-18";"29";"65"
"RES-00385";"2025-01-19";"27";"63"
"RES-00386";"2025-01-20";"16";"42"
"RES-00387";"2025-01-21";"17";"39"
"RES-00388";"2025-01-22";"18";"38"
"RES-00389";"2025-01-23";"19";"41"
"RES-00390";"2025-01-24";"23";"49"
"RES-00391";"2025-01-25";"22";"49"
"RES-00392";"2025-01-26";"50";"118"
"RES-00393";"2025-01-27";"14";"33"
"RES-00394";"2025-01-28";"12";"29"
"RES-00395";"2025-01-29";"20";"45"
"RES-00396";"2025-01-30";"14";"32"
"RES-00397";"2025-01-31";"18";"45"
"RES-00398";"2025-02-01";"28";"66"
"RES-00399";"2025-02-02";"38";"79"
"RES-00400";"2025-02-03";"10";"26"
"RES-00401";"2025-02-04";"21";"50"
"RES-00402";"2025-02-05";"23";"53"
"RES-00403";"2025-02-06";"25";"54"
"RES-00404";"2025-02-07";"15";"36"
"RES-00405";"2025-02-08";"33";"77"
"RES-00406";"2025-02-09";"26";"69"
"RES-00407";"2025-02-10";"26";"66"
"RES-00408";"2025-02-11";"12";"30"
"RES-00409";"2025-02-12";"26";"55"
"RES-00410";"2025-02-13";"22";"50"
"RES-00411";"2025-02-14";"22";"50"
"RES-00412";"2025-02-15";"31";"76"
"RES-00413";"2025-02-16";"30";"61"
"RES-00414";"2025-02-17";"17";"34"
"RES-00415";"2025-02-18";"17";"41"
"RES-00416";"2025-02-19";"23";"57"
"RES-00417";"2025-02-20";"21";"46"
"RES-00418";"2025-02-21";"25";"56"
"RES-00419";"2025-02-22";"27";"71"
"RES-00420";"2025-02-23";"42";"95"
"RES-00421";"2025-02-24";"22";"57"
"RES-00422";"2025-02-25";"13";"32"
"RES-00423";"2025-02-26";"24";"60"
"RES-00424";"2025-02-27";"20";"51"
"RES-00425";"2025-02-28";"12";"25"
"RES-00426";"2025-03-01";"28";"63"
"RES-00427";"2025-03-02";"27";"67"
"RES-00428";"2025-03-03";"19";"44"
"RES-00429";"2025-03-04";"19";"41"
"RES-00430";"2025-03-05";"22";"53"
"RES-00431";"2025-03-06";"22";"59"
"RES-00432";"2025-03-07";"18";"46"
"RES-00433";"2025-03-08";"36";"84"
"RES-00434";"2025-03-09";"43";"101"
"RES-00435";"2025-03-10";"17";"35"
"RES-00436";"2025-03-11";"11";"25"
"RES-00437";"2025-03-12";"29";"62"
"RES-00438";"2025-03-13";"17";"39"
"RES-00439";"2025-03-14";"23";"51"
"RES-00440";"2025-03-15";"36";"90"
"RES-00441";"2025-03-16";"37";"90"
"RES-00442";"2025-03-17";"11";"27"
"RES-00443";"2025-03-18";"26";"55"
"RES-00444";"2025-03-19";"20";"46"
"RES-00445";"2025-03-20";"25";"46"
"RES-00446";"2025-03-21";"15";"35"
"RES-00447";"2025-03-22";"38";"96"
"RES-00448";"2025-03-23";"49";"101"
"RES-00449";"2025-03-24";"13";"27"
"RES-00450";"2025-03-25";"6";"14"
"RES-00451";"2025-03-26";"18";"45"
"RES-00452";"2025-03-27";"17";"44"
"RES-00453";"2025-03-28";"19";"44"
"RES-00454";"2025-03-29";"30";"64"
"RES-00455";"2025-03-30";"41";"74"
"RES-00456";"2025-03-31";"23";"48"
"RES-00457";"2025-04-01";"14";"33"
"RES-00458";"2025-04-02";"29";"72"
"RES-00459";"2025-04-03";"15";"36"
"RES-00460";"2025-04-04";"17";"37"
"RES-00461";"2025-04-05";"34";"75"
"RES-00462";"2025-04-06";"38";"94"
"RES-00463";"2025-04-07";"30";"69"
"RES-00464";"2025-04-08";"26";"58"
"RES-00465";"2025-04-09";"16";"34"
"RES-00466";"2025-04-10";"14";"37"
"RES-00467";"2025-04-11";"19";"45"
"RES-00468";"2025-04-12";"31";"71"
"RES-00469";"2025-04-13";"44";"84"
"RES-00470";"2025-04-14";"9";"23"
"RES-00471";"2025-04-15";"19";"39"
"RES-00472";"2025-04-16";"15";"29"
"RES-00473";"2025-04-17";"13";"33"
"RES-00474";"2025-04-18";"28";"52"
"RES-00475";"2025-04-19";"33";"83"
"RES-00476";"2025-04-20";"26";"51"
"RES-00477";"2025-04-21";"23";"54"
"RES-00478";"2025-04-22";"17";"41"
"RES-00479";"2025-04-23";"19";"46"
"RES-00480";"2025-04-24";"12";"29"
"RES-00481";"2025-04-25";"22";"51"
"RES-00482";"2025-04-26";"30";"74"
"RES-00483";"2025-04-27";"35";"80"
"RES-00484";"2025-04-28";"22";"53"
"RES-00485";"2025-04-29";"19";"51"
"RES-00486";"2025-04-30";"19";"45"
"RES-00487";"2025-05-01";"11";"23"
"RES-00488";"2025-05-02";"27";"66"
"RES-00489";"2025-05-03";"45";"97"
"RES-00490";"2025-05-04";"32";"81"
"RES-00491";"2025-05-05";"25";"57"
"RES-00492";"2025-05-06";"18";"45"
"RES-00493";"2025-05-07";"23";"52"
"RES-00494";"2025-05-08";"11";"28"
"RES-00495";"2025-05-09";"12";"28"
"RES-00496";"2025-05-10";"44";"91"
"RES-00497";"2025-05-11";"35";"84"
"RES-00498";"2025-05-12";"10";"24"
"RES-00499";"2025-05-13";"29";"74"
"RES-00500";"2025-05-14";"22";"61"
"RES-00501";"2025-05-15";"18";"46"
"RES-00502";"2025-05-16";"21";"48"
"RES-00503";"2025-05-17";"47";"113"
"RES-00504";"2025-05-18";"26";"55"
"RES-00505";"2025-05-19";"27";"67"
"RES-00506";"2025-05-20";"21";"49"
"RES-00507";"2025-05-21";"16";"37"
"RES-00508";"2025-05-22";"18";"41"
"RES-00509";"2025-05-23";"14";"31"
"RES-00510";"2025-05-24";"38";"86"
"RES-00511";"2025-05-25";"28";"66"
"RES-00512";"2025-05-26";"11";"26"
"RES-00513";"2025-05-27";"22";"59"
"RES-00514";"2025-05-28";"17";"34"
"RES-00515";"2025-05-29";"20";"48"
"RES-00516";"2025-05-30";"18";"40"
"RES-00517";"2025-05-31";"28";"63"
"RES-00518";"2025-06-01";"30";"68"
"RES-00519";"2025-06-02";"13";"31"
"RES-00520";"2025-06-03";"20";"44"
"RES-00521";"2025-06-04";"19";"34"
"RES-00522";"2025-06-05";"15";"36"
"RES-00523";"2025-06-06";"16";"41"
"RES-00524";"2025-06-07";"30";"71"
"RES-00525";"2025-06-08";"32";"72"
"RES-00526";"2025-06-09";"25";"58"
"RES-00527";"2025-06-10";"14";"32"
"RES-00528";"2025-06-11";"12";"33"
"RES-00529";"2025-06-12";"24";"57"
"RES-00530";"2025-06-13";"18";"48"
"RES-00531";"2025-06-14";"34";"78"
"RES-00532";"2025-06-15";"33";"83"
"RES-00533";"2025-06-16";"16";"35"
"RES-00534";"2025-06-17";"13";"30"
"RES-00535";"2025-06-18";"25";"58"
"RES-00536";"2025-06-19";"21";"51"
"RES-00537";"2025-06-20";"16";"37"
"RES-00538";"2025-06-21";"41";"94"
"RES-00539";"2025-06-22";"40";"100"
"RES-00540";"2025-06-23";"16";"33"
"RES-00541";"2025-06-24";"26";"57"
"RES-00542";"2025-06-25";"15";"37"
"RES-00543";"2025-06-26";"18";"44"
"RES-00544";"2025-06-27";"24";"51"
"RES-00545";"2025-06-28";"33";"81"
"RES-00546";"2025-06-29";"20";"46"
"RES-00547";"2025-06-30";"20";"47"
"RES-00548";"2025-07-01";"23";"57"
"RES-00549";"2025-07-02";"15";"37"
"RES-00550";"2025-07-03";"21";"46"
"RES-00551";"2025-07-04";"15";"36"
"RES-00552";"2025-07-05";"34";"77"
"RES-00553";"2025-07-06";"39";"98"
"RES-00554";"2025-07-07";"5";"12"
"RES-00555";"2025-07-08";"15";"32"
"RES-00556";"2025-07-09";"12";"31"
"RES-00557";"2025-07-10";"18";"49"
"RES-00558";"2025-07-11";"20";"46"
"RES-00559";"2025-07-12";"27";"64"
"RES-00560";"2025-07-13";"39";"80"
"RES-00561";"2025-07-14";"16";"34"
"RES-00562";"2025-07-15";"22";"46"
"RES-00563";"2025-07-16";"19";"47"
"RES-00564";"2025-07-17";"13";"30"
"RES-00565";"2025-07-18";"19";"49"
"RES-00566";"2025-07-19";"26";"66"
"RES-00567";"2025-07-20";"33";"88"
"RES-00568";"2025-07-21";"16";"31"
"RES-00569";"2025-07-22";"24";"55"
"RES-00570";"2025-07-23";"15";"39"
"RES-00571";"2025-07-24";"15";"38"
"RES-00572";"2025-07-25";"15";"34"
"RES-00573";"2025-07-26";"22";"50"
"RES-00574";"2025-07-27";"29";"69"
"RES-00575";"2025-07-28";"20";"43"
"RES-00576";"2025-07-29";"15";"32"
"RES-00577";"2025-07-30";"24";"58"
"RES-00578";"2025-07-31";"17";"38"
"RES-00579";"2025-08-01";"13";"30"
"RES-00580";"2025-08-02";"30";"71"
"RES-00581";"2025-08-03";"34";"70"
"RES-00582";"2025-08-04";"13";"30"
"RES-00583";"2025-08-05";"16";"41"
"RES-00584";"2025-08-06";"16";"37"
"RES-00585";"2025-08-07";"20";"44"
"RES-00586";"2025-08-08";"16";"35"
"RES-00587";"2025-08-09";"29";"65"
"RES-00588";"2025-08-10";"48";"118"
"RES-00589";"2025-08-11";"12";"28"
"RES-00590";"2025-08-12";"25";"58"
"RES-00591";"2025-08-13";"19";"48"
"RES-00592";"2025-08-14";"16";"39"
"RES-00593";"2025-08-15";"18";"40"
"RES-00594";"2025-08-16";"26";"60"
"RES-00595";"2025-08-17";"29";"62"
"RES-00596";"2025-08-18";"23";"56"
"RES-00597";"2025-08-19";"18";"37"
"RES-00598";"2025-08-20";"20";"51"
"RES-00599";"2025-08-21";"25";"60"
"RES-00600";"2025-08-22";"18";"43"
"RES-00601";"2025-08-23";"39";"87"
"RES-00602";"2025-08-24";"32";"73"
"RES-00603";"2025-08-25";"16";"34"
"RES-00604";"2025-08-26";"14";"36"
"RES-00605";"2025-08-27";"13";"30"
"RES-00606";"2025-08-28";"18";"51"
"RES-00607";"2025-08-29";"12";"28"
"RES-00608";"2025-08-30";"41";"98"
"RES-00609";"2025-08-31";"29";"66"
"RES-00610";"2025-09-01";"21";"52"
"RES-00611";"2025-09-02";"21";"48"
"RES-00612";"2025-09-03";"23";"54"
"RES-00613";"2025-09-04";"19";"49"
"RES-00614";"2025-09-05";"15";"36"
"RES-00615";"2025-09-06";"19";"40"
"RES-00616";"2025-09-07";"40";"89"
"RES-00617";"2025-09-08";"20";"48"
"RES-00618";"2025-09-09";"24";"65"
"RES-00619";"2025-09-10";"17";"43"
"RES-00620";"2025-09-11";"17";"42"
"RES-00621";"2025-09-12";"16";"41"
"RES-00622";"2025-09-13";"24";"64"
"RES-00623";"2025-09-14";"28";"67"
"RES-00624";"2025-09-15";"29";"68"
"RES-00625";"2025-09-16";"17";"43"
"RES-00626";"2025-09-17";"20";"38"
"RES-00627";"2025-09-18";"20";"49"
"RES-00628";"2025-09-19";"23";"54"
"RES-00629";"2025-09-20";"44";"92"
"RES-00630";"2025-09-21";"50";"114"
"RES-00631";"2025-09-22";"20";"45"
"RES-00632";"2025-09-23";"24";"66"
"RES-00633";"2025-09-24";"16";"39"
"RES-00634";"2025-09-25";"23";"58"
