"_id";"date";"menu_id";"amount_sold"
"SAL-0000081";"2024-01-06";"MI-006";"19"
"SAL-0000082";"2024-01-06";"MI-007";"17"
"SAL-0000083";"2024-01-06";"MI-008";"20"
"SAL-0000084";"2024-01-06";"MI-009";"14"
"SAL-0000085";"2024-01-06";"MI-010";"24"
"SAL-0000086";"2024-01-06";"MI-011";"26"
"SAL-0000087";"2024-01-06";"MI-012";"5"
"SAL-0000088";"2024-01-06";"MI-013";"21"
"SAL-0000089";"2024-01-06";"MI-014";"6"
"SAL-0000090";"2024-01-06";"MI-015";"19"
"SAL-0000091";"2024-01-07";"MI-001";"29"
"SAL-0000092";"2024-01-07";"MI-002";"17"
"SAL-0000093";"2024-01-07";"MI-003";"21"
"SAL-0000094";"2024-01-07";"MI-004";"12"
"SAL-0000095";"2024-01-07";"MI-005";"22"
"SAL-0000096";"2024-01-07";"MI-006";"22"
"SAL-0000097";"2024-01-07";"MI-007";"17"
"SAL-0000098";"2024-01-07";"MI-008";"20"
"SAL-0000099";"2024-01-07";"MI-009";"11"
"SAL-0000100";"2024-01-07";"MI-010";"9"
"SAL-0000101";"2024-01-07";"MI-011";"18"
"SAL-0000102";"2024-01-07";"MI-012";"10"
"SAL-0000103";"2024-01-07";"MI-013";"21"
"SAL-0000104";"2024-01-07";"MI-014";"10"
"SAL-0000105";"2024-01-07";"MI-015";"11"
"SAL-0000106";"2024-01-08";"MI-001";"16"
"SAL-0000107";"2024-01-08";"MI-002";"13"
"SAL-0000108";"2024-01-08";"MI-003";"6"
"SAL-0000109";"2024-01-08";"MI-004";"12"
"SAL-0000110";"2024-01-08";"MI-005";"18"
"SAL-0000111";"2024-01-08";"MI-006";"5"
"SAL-0000112";"2024-01-08";"MI-007";"11"
"SAL-0000113";"2024-01-08";"MI-008";"9"
"SAL-0000114";"2024-01-08";"MI-009";"4"
"SAL-0000115";"2024-01-08";"MI-010";"18"
"SAL-0000116";"2024-01-08";"MI-011";"14"
"SAL-0000117";"2024-01-08";"MI-012";"9"
"SAL-0000118";"2024-01-08";"MI-013";"12"
"SAL-0000119";"2024-01-08";"MI-014";"2"
"SAL-0000120";"2024-01-08";"MI-015";"10"
"SAL-0000121";"2024-01-09";"MI-001";"7"
"SAL-0000122";"2024-01-09";"MI-002";"25"
"SAL-0000123";"2024-01-09";"MI-003";"23"
"SAL-0000124";"2024-01-09";"MI-004";"15"
"SAL-0000125";"2024-01-09";"MI-005";"13"
"SAL-0000126";"2024-01-09";"MI-006";"12"
"SAL-0000127";"2024-01-09";"MI-007";"12"
"SAL-0000128";"2024-01-09";"MI-008";"11"
"SAL-0000129";"2024-01-09";"MI-009";"2"
"SAL-0000130";"2024-01-09";"MI-010";"5"
"SAL-0000131";"2024-01-09";"MI-011";"12"
"SAL-0000132";"2024-01-09";"MI-012";"8"
"SAL-0000133";"2024-01-09";"MI-013";"15"
"SAL-0000134";"2024-01-09";"MI-014";"8"
"SAL-0000135";"2024-01-09";"MI-015";"12"
"SAL-0000136";"2024-01-10";"MI-001";"25"
"SAL-0000137";"2024-01-10";"MI-002";"18"
"SAL-0000138";"2024-01-10";"MI-003";"11"
"SAL-0000139";"2024-01-10";"MI-004";"17"
"SAL-0000140";"2024-01-10";"MI-005";"19"
"SAL-0000141";"2024-01-10";"MI-006";"7"
"SAL-0000142";"2024-01-10";"MI-007";"14"
"SAL-0000143";"2024-01-10";"MI-008";"9"
"SAL-0000144";"2024-01-10";"MI-009";"9"
"SAL-0000145";"2024-01-10";"MI-010";"11"
"SAL-0000146";"2024-01-10";"MI-011";"18"
"SAL-0000147";"2024-01-10";"MI-012";"4"
"SAL-0000148";"2024-01-10";"MI-013";"7"
"SAL-0000149";"2024-01-10";"MI-014";"4"
"SAL-0000150";"2024-01-10";"MI-015";"11"
"SAL-0000151";"2024-01-11";"MI-001";"29"
"SAL-0000152";"2024-01-11";"MI-002";"15"
"SAL-0000153";"2024-01-11";"MI-003";"14"
"SAL-0000154";"2024-01-11";"MI-004";"14"
"SAL-0000155";"2024-01-11";"MI-005";"36"
"SAL-0000156";"2024-01-11";"MI-006";"13"
"SAL-0000157";"2024-01-11";"MI-007";"21"
"SAL-0000158";"2024-01-11";"MI-008";"19"
"SAL-0000159";"2024-01-11";"MI-009";"10"
"SAL-0000160";"2024-01-11";"MI-010";"11"
"SAL-0000161";"2024-01-11";"MI-011";"17"
"SAL-0000162";"2024-01-11";"MI-012";"13"
"SAL-0000163";"2024-01-11";"MI-013";"12"
"SAL-0000164";"2024-01-11";"MI-014";"12"
"SAL-0000165";"2024-01-11";"MI-015";"18"
"SAL-0000166";"2024-01-12";"MI-001";"27"
"SAL-0000167";"2024-01-12";"MI-002";"23"
"SAL-0000168";"2024-01-12";"MI-003";"23"
"SAL-0000169";"2024-01-12";"MI-004";"21"
"SAL-0000170";"2024-01-12";"MI-005";"20"
"SAL-0000171";"2024-01-12";"MI-006";"10"
"SAL-0000172";"2024-01-12";"MI-007";"24"
"SAL-0000173";"2024-01-12";"MI-008";"15"
"SAL-0000174";"2024-01-12";"MI-009";"10"
"SAL-0000175";"2024-01-12";"MI-010";"11"
"SAL-0000176";"2024-01-12";"MI-011";"12"
"SAL-0000177";"2024-01-12";"MI-012";"5"
"SAL-0000178";"2024-01-12";"MI-013";"12"
"SAL-0000179";"2024-01-12";"MI-014";"12"
"SAL-0000180";"2024-01-12";"MI-015";"19"
"SAL-0000181";"2024-01-13";"MI-001";"35"
"SAL-0000182";"2024-01-13";"MI-002";"28"
"SAL-0000183";"2024-01-13";"MI-003";"26"
"SAL-0000184";"2024-01-13";"MI-004";"18"
"SAL-0000185";"2024-01-13";"MI-005";"43"
"SAL-0000186";"2024-01-13";"MI-006";"23"
"SAL-0000187";"2024-01-13";"MI-007";"29"
"SAL-0000188";"2024-01-13";"MI-008";"18"
"SAL-0000189";"2024-01-13";"MI-009";"14"
"SAL-0000190";"2024-01-13";"MI-010";"14"
"SAL-0000191";"2024-01-13";"MI-011";"23"
"SAL-0000192";"2024-01-13";"MI-012";"10"
"SAL-0000193";"2024-01-13";"MI-013";"14"
"SAL-0000194";"2024-01-13";"MI-014";"17"
"SAL-0000195";"2024-01-13";"MI-015";"18"
"SAL-0000196";"2024-01-14";"MI-001";"37"
"SAL-0000197";"2024-01-14";"MI-002";"15"
"SAL-0000198";"2024-01-14";"MI-003";"24"
"SAL-0000199";"2024-01-14";"MI-004";"18"
"SAL-0000200";"2024-01-14";"MI-005";"22"
"SAL-0000201";"2024-01-14";"MI-006";"17"
"SAL-0000202";"2024-01-14";"MI-007";"22"
"SAL-0000203";"2024-01-14";"MI-008";"14"
"SAL-0000204";"2024-01-14";"MI-009";"10"
"SAL-0000205";"2024-01-14";"MI-010";"19"
"SAL-0000206";"2024-01-14";"MI-011";"22"
"SAL-0000207";"2024-01-14";"MI-012";"7"
"SAL-0000208";"2024-01-14";"MI-013";"16"
"SAL-0000209";"2024-01-14";"MI-014";"9"
"SAL-0000210";"2024-01-14";"MI-015";"21"
"SAL-0000211";"2024-01-15";"MI-001";"15"
"SAL-0000212";"2024-01-15";"MI-002";"13"
"SAL-0000213";"2024-01-15";"MI-003";"20"
"SAL-0000214";"2024-01-15";"MI-004";"11"
"SAL-0000215";"2024-01-15";"MI-005";"14"
"SAL-0000216";"2024-01-15";"MI-006";"15"
"SAL-0000217";"2024-01-15";"MI-007";"14"
"SAL-0000218";"2024-01-15";"MI-008";"11"
"SAL-0000219";"2024-01-15";"MI-009";"0"
"SAL-0000220";"2024-01-15";"MI-010";"7"
"SAL-0000221";"2024-01-15";"MI-011";"10"
"SAL-0000222";"2024-01-15";"MI-012";"2"
"SAL-0000223";"2024-01-15";"MI-013";"4"
"SAL-0000224";"2024-01-15";"MI-014";"0"
"SAL-0000225";"2024-01-15";"MI-015";"9"
"SAL-0000226";"2024-01-16";"MI-001";"16"
"SAL-0000227";"2024-01-16";"MI-002";"28"
"SAL-0000228";"2024-01-16";"MI-003";"16"
"SAL-0000229";"2024-01-16";"MI-004";"11"
"SAL-0000230";"2024-01-16";"MI-005";"16"
"SAL-0000231";"2024-01-16";"MI-006";"12"
"SAL-0000232";"2024-01-16";"MI-007";"25"
"SAL-0000233";"2024-01-16";"MI-008";"2"
"SAL-0000234";"2024-01-16";"MI-009";"13"
"SAL-0000235";"2024-01-16";"MI-010";"10"
"SAL-0000236";"2024-01-16";"MI-011";"11"
"SAL-0000237";"2024-01-16";"MI-012";"4"
"SAL-0000238";"2024-01-16";"MI-013";"11"
"SAL-0000239";"2024-01-16";"MI-014";"7"
"SAL-0000240";"2024-01-16";"MI-015";"5"
"SAL-0000241";"2024-01-17";"MI-001";"24"
"SAL-0000242";"2024-01-17";"MI-002";"10"
"SAL-0000243";"2024-01-17";"MI-003";"11"
"SAL-0000244";"2024-01-17";"MI-004";"15"
"SAL-0000245";"2024-01-17";"MI-005";"18"
"SAL-0000246";"2024-01-17";"MI-006";"11"
"SAL-0000247";"2024-01-17";"MI-007";"18"
"SAL-0000248";"2024-01-17";"MI-008";"14"
"SAL-0000249";"2024-01-17";"MI-009";"8"
"SAL-0000250";"2024-01-17";"MI-010";"8"
"SAL-0000251";"2024-01-17";"MI-011";"16"
"SAL-0000252";"2024-01-17";"MI-012";"7"
"SAL-0000253";"2024-01-17";"MI-013";"14"
"SAL-0000254";"2024-01-17";"MI-014";"8"
"SAL-0000255";"2024-01-17";"MI-015";"12"
"SAL-0000256";"2024-01-18";"MI-001";"16"
"SAL-0000257";"2024-01-18";"MI-002";"21"
"SAL-0000258";"2024-01-18";"MI-003";"13"
"SAL-0000259";"2024-01-18";"MI-004";"14"
"SAL-0000260";"2024-01-18";"MI-005";"21"
"SAL-0000261";"2024-01-18";"MI-006";"11"
"SAL-0000262";"2024-01-18";"MI-007";"15"
"SAL-0000263";"2024-01-18";"MI-008";"7"
"SAL-0000264";"2024-01-18";"MI-009";"8"
"SAL-0000265";"2024-01-18";"MI-010";"8"
"SAL-0000266";"2024-01-18";"MI-011";"10"
"SAL-0000267";"2024-01-18";"MI-012";"8"
"SAL-0000268";"2024-01-18";"MI-013";"11"
"SAL-0000269";"2024-01-18";"MI-014";"14"
"SAL-0000270";"2024-01-18";"MI-015";"8"
"SAL-0000271";"2024-01-19";"MI-001";"25"
"SAL-0000272";"2024-01-19";"MI-002";"32"
"SAL-0000273";"2024-01-19";"MI-003";"15"
"SAL-0000274";"2024-01-19";"MI-004";"11"
"SAL-0000275";"2024-01-19";"MI-005";"35"
"SAL-0000276";"2024-01-19";"MI-006";"12"
"SAL-0000277";"2024-01-19";"MI-007";"20"
"SAL-0000278";"2024-01-19";"MI-008";"11"
"SAL-0000279";"2024-01-19";"MI-009";"7"
"SAL-0000280";"2024-01-19";"MI-010";"10"
"SAL-0000281";"2024-01-19";"MI-011";"10"
"SAL-0000282";"2024-01-19";"MI-012";"7"
"SAL-0000283";"2024-01-19";"MI-013";"11"
"SAL-0000284";"2024-01-19";"MI-014";"13"
"SAL-0000285";"2024-01-19";"MI-015";"10"
"SAL-0000286";"2024-01-20";"MI-001";"28"
"SAL-0000287";"2024-01-20";"MI-002";"21"
"SAL-0000288";"2024-01-20";"MI-003";"34"
"SAL-0000289";"2024-01-20";"MI-004";"23"
"SAL-0000290";"2024-01-20";"MI-005";"32"
"SAL-0000291";"2024-01-20";"MI-006";"21"
"SAL-0000292";"2024-01-20";"MI-007";"29"
"SAL-0000293";"2024-01-20";"MI-008";"16"
"SAL-0000294";"2024-01-20";"MI-009";"15"
"SAL-0000295";"2024-01-20";"MI-010";"19"
"SAL-0000296";"2024-01-20";"MI-011";"22"
"SAL-0000297";"2024-01-20";"MI-012";"17"
"SAL-0000298";"2024-01-20";"MI-013";"16"
"SAL-0000299";"2024-01-20";"MI-014";"9"
"SAL-0000300";"2024-01-20";"MI-015";"21"
"SAL-0000301";"2024-01-21";"MI-001";"25"
"SAL-0000302";"2024-01-21";"MI-002";"35"
"SAL-0000303";"2024-01-21";"MI-003";"19"
"SAL-0000304";"2024-01-21";"MI-004";"16"
"SAL-0000305";"2024-01-21";"MI-005";"31"
"SAL-0000306";"2024-01-21";"MI-006";"11"
"SAL-0000307";"2024-01-21";"MI-007";"27"
"SAL-0000308";"2024-01-21";"MI-008";"20"
"SAL-0000309";"2024-01-21";"MI-009";"11"
"SAL-0000310";"2024-01-21";"MI-010";"20"
"SAL-0000311";"2024-01-21";"MI-011";"23"
"SAL-0000312";"2024-01-21";"MI-012";"20"
"SAL-0000313";"2024-01-21";"MI-013";"19"
"SAL-0000314";"2024-01-21";"MI-014";"12"
"SAL-0000315";"2024-01-21";"MI-015";"17"
"SAL-0000316";"2024-01-22";"MI-001";"22"
"SAL-0000317";"2024-01-22";"MI-002";"19"
"SAL-0000318";"2024-01-22";"MI-003";"16"
"SAL-0000319";"2024-01-22";"MI-004";"3"
"SAL-0000320";"2024-01-22";"MI-005";"11"
"SAL-0000321";"2024-01-22";"MI-006";"10"
"SAL-0000322";"2024-01-22";"MI-007";"19"
"SAL-0000323";"2024-01-22";"MI-008";"10"
"SAL-0000324";"2024-01-22";"MI-009";"5"
"SAL-0000325";"2024-01-22";"MI-010";"7"
"SAL-0000326";"2024-01-22";"MI-011";"10"
"SAL-0000327";"2024-01-22";"MI-012";"8"
"SAL-0000328";"2024-01-22";"MI-013";"3"
"SAL-0000329";"2024-01-22";"MI-014";"3"
"SAL-0000330";"2024-01-22";"MI-015";"10"
"SAL-0000331";"2024-01-23";"MI-001";"13"
"SAL-0000332";"2024-01-23";"MI-002";"14"
"SAL-0000333";"2024-01-23";"MI-003";"17"
"SAL-0000334";"2024-01-23";"MI-004";"13"
"SAL-0000335";"2024-01-23";"MI-005";"23"
"SAL-0000336";"2024-01-23";"MI-006";"17"
"SAL-0000337";"2024-01-23";"MI-007";"14"
"SAL-0000338";"2024-01-23";"MI-008";"14"
"SAL-0000339";"2024-01-23";"MI-009";"7"
"SAL-0000340";"2024-01-23";"MI-010";"8"
"SAL-0000341";"2024-01-23";"MI-011";"12"
"SAL-0000342";"2024-01-23";"MI-012";"6"
"SAL-0000343";"2024-01-23";"MI-013";"7"
"SAL-0000344";"2024-01-23";"MI-014";"8"
"SAL-0000345";"2024-01-23";"MI-015";"7"
"SAL-0000346";"2024-01-24";"MI-001";"32"
"SAL-0000347";"2024-01-24";"MI-002";"16"
"SAL-0000348";"2024-01-24";"MI-003";"15"
"SAL-0000349";"2024-01-24";"MI-004";"6"
"SAL-0000350";"2024-01-24";"MI-005";"16"
"SAL-0000351";"2024-01-24";"MI-006";"9"
"SAL-0000352";"2024-01-24";"MI-007";"22"
"SAL-0000353";"2024-01-24";"MI-008";"4"
"SAL-0000354";"2024-01-24";"MI-009";"4"
"SAL-0000355";"2024-01-24";"MI-010";"11"
"SAL-0000356";"2024-01-24";"MI-011";"15"
"SAL-0000357";"2024-01-24";"MI-012";"8"
"SAL-0000358";"2024-01-24";"MI-013";"10"
"SAL-0000359";"2024-01-24";"MI-014";"7"
"SAL-0000360";"2024-01-24";"MI-015";"10"
"SAL-0000361";"2024-01-25";"MI-001";"21"
"SAL-0000362";"2024-01-25";"MI-002";"16"
"SAL-0000363";"2024-01-25";"MI-003";"16"
"SAL-0000364";"2024-01-25";"MI-004";"13"
"SAL-0000365";"2024-01-25";"MI-005";"21"
"SAL-0000366";"2024-01-25";"MI-006";"15"
"SAL-0000367";"2024-01-25";"MI-007";"19"
"SAL-0000368";"2024-01-25";"MI-008";"6"
"SAL-0000369";"2024-01-25";"MI-009";"11"
"SAL-0000370";"2024-01-25";"MI-010";"13"
"SAL-0000371";"2024-01-25";"MI-011";"12"
"SAL-0000372";"2024-01-25";"MI-012";"7"
"SAL-0000373";"2024-01-25";"MI-013";"14"
"SAL-0000374";"2024-01-25";"MI-014";"5"
"SAL-0000375";"2024-01-25";"MI-015";"15"
"SAL-0000376";"2024-01-26";"MI-001";"38"
"SAL-0000377";"2024-01-26";"MI-002";"18"
"SAL-0000378";"2024-01-26";"MI-003";"31"
"SAL-0000379";"2024-01-26";"MI-004";"20"
"SAL-0000380";"2024-01-26";"MI-005";"31"
"SAL-0000381";"2024-01-26";"MI-006";"8"
"SAL-0000382";"2024-01-26";"MI-007";"19"
"SAL-0000383";"2024-01-26";"MI-008";"19"
"SAL-0000384";"2024-01-26";"MI-009";"10"
"SAL-0000385";"2024-01-26";"MI-010";"11"
"SAL-0000386";"2024-01-26";"MI-011";"17"
"SAL-0000387";"2024-01-26";"MI-012";"12"
"SAL-0000388";"2024-01-26";"MI-013";"15"
"SAL-0000389";"2024-01-26";"MI-014";"13"
"SAL-0000390";"2024-01-26";"MI-015";"22"
"SAL-0000391";"2024-01-27";"MI-001";"25"
"SAL-0000392";"2024-01-27";"MI-002";"30"
"SAL-0000393";"2024-01-27";"MI-003";"24"
"SAL-0000394";"2024-01-27";"MI-004";"18"
"SAL-0000395";"2024-01-27";"MI-005";"30"
"SAL-0000396";"2024-01-27";"MI-006";"22"
"SAL-0000397";"2024-01-27";"MI-007";"17"
"SAL-0000398";"2024-01-27";"MI-008";"19"
"SAL-0000399";"2024-01-27";"MI-009";"10"
"SAL-0000400";"2024-01-27";"MI-010";"15"
"SAL-0000401";"2024-01-27";"MI-011";"20"
"SAL-0000402";"2024-01-27";"MI-012";"18"
"SAL-0000403";"2024-01-27";"MI-013";"11"
"SAL-0000404";"2024-01-27";"MI-014";"10"
"SAL-0000405";"2024-01-27";"MI-015";"28"
"SAL-0000406";"2024-01-28";"MI-001";"27"
"SAL-0000407";"2024-01-28";"MI-002";"19"
"SAL-0000408";"2024-01-28";"MI-003";"26"
"SAL-0000409";"2024-01-28";"MI-004";"22"
"SAL-0000410";"2024-01-28";"MI-005";"24"
"SAL-0000411";"2024-01-28";"MI-006";"10"
"SAL-0000412";"2024-01-28";"MI-007";"18"
"SAL-0000413";"2024-01-28";"MI-008";"15"
"SAL-0000414";"2024-01-28";"MI-009";"18"
"SAL-0000415";"2024-01-28";"MI-010";"19"
"SAL-0000416";"2024-01-28";"MI-011";"17"
"SAL-0000417";"2024-01-28";"MI-012";"15"
"SAL-0000418";"2024-01-28";"MI-013";"13"
"SAL-0000419";"2024-01-28";"MI-014";"11"
"SAL-0000420";"2024-01-28";"MI-015";"12"
"SAL-0000421";"2024-01-29";"MI-001";"20"
"SAL-0000422";"2024-01-29";"MI-002";"20"
"SAL-0000423";"2024-01-29";"MI-003";"18"
"SAL-0000424";"2024-01-29";"MI-004";"9"
"SAL-0000425";"2024-01-29";"MI-005";"21"
"SAL-0000426";"2024-01-29";"MI-006";"12"
"SAL-0000427";"2024-01-29";"MI-007";"14"
"SAL-0000428";"2024-01-29";"MI-008";"10"
"SAL-0000429";"2024-01-29";"MI-009";"6"
"SAL-0000430";"2024-01-29";"MI-010";"7"
"SAL-0000431";"2024-01-29";"MI-011";"13"
"SAL-0000432";"2024-01-29";"MI-012";"5"
"SAL-0000433";"2024-01-29";"MI-013";"15"
"SAL-0000434";"2024-01-29";"MI-014";"8"
"SAL-0000435";"2024-01-29";"MI-015";"8"
"SAL-0000436";"2024-01-30";"MI-001";"11"
"SAL-0000437";"2024-01-30";"MI-002";"11"
"SAL-0000438";"2024-01-30";"MI-003";"5"
"SAL-0000439";"2024-01-30";"MI-004";"15"
"SAL-0000440";"2024-01-30";"MI-005";"15"
"SAL-0000441";"2024-01-30";"MI-006";"9"
"SAL-0000442";"2024-01-30";"MI-007";"15"
"SAL-0000443";"2024-01-30";"MI-008";"10"
"SAL-0000444";"2024-01-30";"MI-009";"7"
"SAL-0000445";"2024-01-30";"MI-010";"6"
"SAL-0000446";"2024-01-30";"MI-011";"7"
"SAL-0000447";"2024-01-30";"MI-012";"5"
"SAL-0000448";"2024-01-30";"MI-013";"7"
"SAL-0000449";"2024-01-30";"MI-014";"5"
"SAL-0000450";"2024-01-30";"MI-015";"12"
"SAL-0000451";"2024-01-31";"MI-001";"20"
"SAL-0000452";"2024-01-31";"MI-002";"19"
"SAL-0000453";"2024-01-31";"MI-003";"16"
"SAL-0000454";"2024-01-31";"MI-004";"11"
"SAL-0000455";"2024-01-31";"MI-005";"15"
"SAL-0000456";"2024-01-31";"MI-006";"7"
"SAL-0000457";"2024-01-31";"MI-007";"18"
"SAL-0000458";"2024-01-31";"MI-008";"11"
"SAL-0000459";"2024-01-31";"MI-009";"5"
"SAL-0000460";"2024-01-31";"MI-010";"7"
"SAL-0000461";"2024-01-31";"MI-011";"12"
"SAL-0000462";"2024-01-31";"MI-012";"3"
"SAL-0000463";"2024-01-31";"MI-013";"10"
"SAL-0000464";"2024-01-31";"MI-014";"5"
"SAL-0000465";"2024-01-31";"MI-015";"13"
"SAL-0000466";"2024-02-01";"MI-001";"20"
"SAL-0000467";"2024-02-01";"MI-002";"10"
"SAL-0000468";"2024-02-01";"MI-003";"18"
"SAL-0000469";"2024-02-01";"MI-004";"10"
"SAL-0000470";"2024-02-01";"MI-005";"20"
"SAL-0000471";"2024-02-01";"MI-006";"21"
"SAL-0000472";"2024-02-01";"MI-007";"8"
"SAL-0000473";"2024-02-01";"MI-008";"16"
"SAL-0000474";"2024-02-01";"MI-009";"5"
"SAL-0000475";"2024-02-01";"MI-010";"19"
"SAL-0000476";"2024-02-01";"MI-011";"15"
"SAL-0000477";"2024-02-01";"MI-012";"2"
"SAL-0000478";"2024-02-01";"MI-013";"11"
"SAL-0000479";"2024-02-01";"MI-014";"8"
"SAL-0000480";"2024-02-01";"MI-015";"19"
"SAL-0000481";"2024-02-02";"MI-001";"23"
"SAL-0000482";"2024-02-02";"MI-002";"18"
"SAL-0000483";"2024-02-02";"MI-003";"23"
"SAL-0000484";"2024-02-02";"MI-004";"9"
"SAL-0000485";"2024-02-02";"MI-005";"28"
"SAL-0000486";"2024-02-02";"MI-006";"17"
"SAL-0000487";"2024-02-02";"MI-007";"23"
"SAL-0000488";"2024-02-02";"MI-008";"10"
"SAL-0000489";"2024-02-02";"MI-009";"7"
"SAL-0000490";"2024-02-02";"MI-010";"16"
"SAL-0000491";"2024-02-02";"MI-011";"16"
"SAL-0000492";"2024-02-02";"MI-012";"9"
"SAL-0000493";"2024-02-02";"MI-013";"16"
"SAL-0000494";"2024-02-02";"MI-014";"8"
"SAL-0000495";"2024-02-02";"MI-015";"11"
"SAL-0000496";"2024-02-03";"MI-001";"32"
"SAL-0000497";"2024-02-03";"MI-002";"28"
"SAL-0000498";"2024-02-03";"MI-003";"34"
"SAL-0000499";"2024-02-03";"MI-004";"20"
"SAL-0000500";"2024-02-03";"MI-005";"31"
"SAL-0000501";"2024-02-03";"MI-006";"16"
"SAL-0000502";"2024-02-03";"MI-007";"34"
"SAL-0000503";"2024-02-03";"MI-008";"25"
"SAL-0000504";"2024-02-03";"MI-009";"7"
"SAL-0000505";"2024-02-03";"MI-010";"19"
"SAL-0000506";"2024-02-03";"MI-011";"21"
"SAL-0000507";"2024-02-03";"MI-012";"13"
"SAL-0000508";"2024-02-03";"MI-013";"14"
"SAL-0000509";"2024-02-03";"MI-014";"12"
"SAL-0000510";"2024-02-03";"MI-015";"19"
"SAL-0000511";"2024-02-04";"MI-001";"32"
"SAL-0000512";"2024-02-04";"MI-002";"24"
"SAL-0000513";"2024-02-04";"MI-003";"16"
"SAL-0000514";"2024-02-04";"MI-004";"14"
"SAL-0000515";"2024-02-04";"MI-005";"28"
"SAL-0000516";"2024-02-04";"MI-006";"12"
