"_id";"date";"menu_1";"menu_1_price_after_discount";"menu_2";"menu_2_price_after_discount";"menu_3";"menu_3_price_after_discount";"menu_4";"menu_4_price_after_discount";"menu_5";"menu_5_price_after_discount";"menu_6";"menu_6_price_after_discount";"menu_7";"menu_7_price_after_discount";"menu_8";"menu_8_price_after_discount";"menu_9";"menu_9_price_after_discount";"menu_10";"menu_10_price_after_discount";"menu_11";"menu_11_price_after_discount";"menu_12";"menu_12_price_after_discount";"menu_13";"menu_13_price_after_discount";"menu_14";"menu_14_price_after_discount";"menu_15";"menu_15_price_after_discount";"total_reservation";"avg_temp";"rain";"public_holiday";"num_of_event"
"MLI-00011";"2024-01-01";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"14.18";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"32";"26.4";"true";"true";"2"
"MLI-00012";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00013";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00014";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00015";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00016";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00017";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00018";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00019";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00020";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00021";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00022";"2024-01-02";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"25.1";"false";"false";"1"
"MLI-00023";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00024";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00025";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00026";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00027";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00028";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00029";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00030";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00031";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00032";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00033";"2024-01-03";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"16";"25.5";"false";"false";"0"
"MLI-00034";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00035";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00036";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00037";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00038";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00039";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00040";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00041";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00042";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00043";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00044";"2024-01-04";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"23";"19.6";"false";"false";"1"
"MLI-00045";"2024-01-05";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"24.5";"false";"false";"0"
"MLI-00046";"2024-01-05";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"24.5";"false";"false";"0"
"MLI-00047";"2024-01-05";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"24.5";"false";"false";"0"
"MLI-00048";"2024-01-05";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"24.5";"false";"false";"0"
"MLI-00049";"2024-01-05";"Chicken Teriyaki Bowl";"14.09";"Sashimi Poke Bowl";"17.90";"Wagyu Beef Bowl";"16.90";"Miso Falafel Bowl";"17.90";"Karaage Chicken Bowl";"16.90";"Tofu Bowl";"18.90";"Salmon Aburi Bowl";"17.90";"Miso soup";"2.90";"Bone Broth soup";"2.90";"Coconut water";"4.90";"Sparkling water";"3.90";"Yuzu tea";"4.90";"Specialty Soda";"4.90";"Hot Chocolate";"4.90";"Still waterr";"3.50";"21";"24.5";"false";"false";"0"
